advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,11,1,,,,,0,3,BCX,snydj001,1,0,,owene001,0,F
,31,1,,,,,1,8,BBCBX,snydj001,1,0,,relad001,0,
,01,1,,,,,2,10,CX,snydj001,1,0,klesr001 grounds out. ,klesr001,0,G
,12,1,,,,,3,4,BCFX,willw001,1,0,moutj001 grounds out. ,moutj001,1,G
,12,1,,,,,4,8,CBFX,willw001,1,0,,lorem001,1,P
,22,1,jenkg001,,,,5,13,BSCBX,willw001,0,0,jenkg001 singles. ,jenkg001,1,
jenkg001 scores. ,00,1,,sexsr001,,,6,14,X,willw001,0,1,sexsr001 doubles. ,sexsr001,1,
,32,1,,sexsr001,,,7,20,BCBBCS,willw001,1,0,burnj001 strikes out. ,burnj001,1,
,11,2,,,,,8,13,CBX,snydj001,1,0,nevip001 grounds out. ,nevip001,0,G
,12,2,,,,,9,17,BCSC,snydj001,1,0,darrm001 strikes out. ,darrm001,0,
,00,2,,,,,10,18,X,snydj001,1,0,,jackd003,0,F
,31,2,,,,,11,25,BBFBX,willw001,1,0,casar001 grounds out. ,casar001,1,G
,12,2,,houst001,,,12,29,CCBX,willw001,0,0,houst001 doubles. ,houst001,1,
,22,2,,houst001,,,13,34,BBCFC,willw001,1,0,bellr002 strikes out. ,bellr002,1,
houst001 to 3B. ,02,2,,,houst001,snydj001,14,37,CCB,willw001,0,0,Wild Pitch. ,snydj001,1,
,12,2,,,houst001,,15,41,CCBS,willw001,1,0,snydj001 strikes out. ,snydj001,1,
,12,3,,,,,16,22,BSFS,snydj001,1,0,river002 strikes out. ,river002,0,
,32,3,,,,,17,29,CBSBFBX,snydj001,1,0,gonzw001 grounds out. ,gonzw001,0,G
,22,3,,,,,18,35,FBFBFX,snydj001,1,0,willw001 grounds out. ,willw001,0,G
,10,3,moutj001,,,,19,43,BX,willw001,0,0,moutj001 singles. ,moutj001,1,
,00,3,moutj001,,,,20,44,X,willw001,1,0,,lorem001,1,L
moutj001 to 3B. ,22,3,jenkg001,,moutj001,,21,50,SSBFBX,willw001,0,0,jenkg001 singles. ,jenkg001,1,
,22,3,jenkg001,,moutj001,,22,56,BCFFBS,willw001,1,0,sexsr001 strikes out. ,sexsr001,1,
,32,3,jenkg001,,moutj001,,23,63,BBBSFFX,willw001,1,0,burnj001 grounds out. ,burnj001,1,G
,00,4,,,,,24,36,X,snydj001,1,0,,owene001,0,F
,01,4,relad001,,,,25,38,CX,snydj001,0,0,relad001 reaches on error. ,relad001,0,
relad001 out. ,12,4,klesr001,,,,26,42,BFFX,snydj001,1,0,klesr001 reaches on fielder's choice. ,klesr001,0,
klesr001 to 2B. ,10,4,nevip001,klesr001,,,27,44,BX,snydj001,0,0,nevip001 singles. ,nevip001,0,
,22,4,nevip001,klesr001,,,28,50,SBSBFC,snydj001,1,0,darrm001 strikes out. ,darrm001,0,
,11,4,,,,,29,66,FBX,willw001,1,0,,casar001,1,F
,12,4,,,,,30,70,FBCX,willw001,1,0,,houst001,1,
,12,4,,,,,31,74,FFBX,willw001,1,0,bellr002 grounds out. ,bellr002,1,G
,10,5,,,,,32,52,BX,snydj001,1,0,,jackd003,0,F
,11,5,river002,,,,33,55,BSX,snydj001,0,0,river002 singles. ,river002,0,
,02,5,river002,,,,34,58,CFS,snydj001,1,0,gonzw001 strikes out. ,gonzw001,0,
,12,5,river002,,,,35,62,FCBC,snydj001,1,0,willw001 strikes out. ,willw001,0,
,32,5,,,,,36,81,FFFBBBX,willw001,1,0,,snydj001,1,F
,01,5,,,,,37,83,CX,willw001,1,0,,moutj001,1,F
,21,5,,,,,38,87,CBBX,willw001,1,0,,lorem001,1,F
,21,6,,,,,39,66,BCBX,snydj001,1,0,owene001 grounds out. ,owene001,0,G
,01,6,,,,,40,68,CX,snydj001,1,0,relad001 grounds out. ,relad001,0,G
,31,6,klesr001,,,,41,73,BFBBB,snydj001,0,0,klesr001 walks. ,klesr001,0,
,10,6,,klesr001,,nevip001,42,75,BC,snydj001,0,0,klesr001 steals 2B. ,nevip001,0,
klesr001 to 3B. ,11,6,,,klesr001,nevip001,43,78,BCB,snydj001,0,0,Wild Pitch. ,nevip001,0,
,21,6,,,klesr001,,44,82,BCBX,snydj001,1,0,,nevip001,0,F
,00,6,,,,,45,88,X,willw001,1,0,,jenkg001,1,F
,32,6,sexsr001,,,,46,95,SBBCFBB,willw001,0,0,sexsr001 walks. ,sexsr001,1,
,00,6,sexsr001,,,,47,96,X,willw001,1,0,,burnj001,1,F
sexsr001 to 2B. ,32,6,casar001,sexsr001,,,48,102,BBBCCB,willw001,0,0,casar001 walks. ,casar001,1,
,32,6,casar001,sexsr001,,,49,108,FFBBBX,willw001,1,0,houst001 grounds out. ,houst001,1,G
,00,7,,,,,50,83,X,snydj001,1,0,,darrm001,0,F
,12,7,jackd003,,,,51,87,BCFX,snydj001,0,0,jackd003 singles. ,jackd003,0,
,00,7,,,,,52,88,X,snydj001,2,0,Double Play. ,river002,0,
,22,7,bellr002,,,,53,113,BBCCX,willw001,0,0,bellr002 singles. ,bellr002,1,
bellr002 to 2B. ,10,7,,bellr002,,,55,115,BX,willw001,1,0,Sacrifice bunt by lopel002.,lopel002,1,
,01,7,moutj001,bellr002,,,56,117,SH,willw001,0,0,moutj001 hit by pitch. ,moutj001,1,
,00,7,moutj001,bellr002,,,57,118,X,willw001,1,0,,lorem001,1,F
,00,7,moutj001,bellr002,,,58,119,X,willw001,1,0,jenkg001 grounds out. ,jenkg001,1,G
,12,8,,,,,60,4,SSBX,weatd001,1,0,,gonzw001,0,F
,32,8,mabrj001,,,,62,11,BCFBFBB,weatd001,0,0,mabrj001 walks. ,mabrj001,0,
mabrj001 to 2B. ,11,8,owene001,mabrj001,,,63,14,CBX,weatd001,0,0,owene001 singles. ,owene001,0,
mabrj001 scores. owene001 to 3B. relad001 to 2B. ,01,8,,relad001,owene001,,64,16,CX,weatd001,0,1,relad001 singles. ,relad001,0,
