id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
bellr002,PIT200005120,1,4,5,5,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
lorem001,PIT200005120,2,6,5,5,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
burnj001,PIT200005120,3,9,5,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hernj001,PIT200005120,4,5,5,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,PIT,0,1,0
barkk001,PIT200005120,5,3,5,4,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
grism001,PIT200005120,6,8,4,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
moutl001,PIT200005120,7,7,4,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
blanh001,PIT200005120,8,2,4,4,1,0,1,4,1,0,0,0,1,0,0,0,0,1,0,0,0,PIT,0,1,0
haynj001,PIT200005120,9,1,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
delov001,PIT200005120,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bellr002,PIT200005130,1,4,5,4,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
lorem001,PIT200005130,2,6,5,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
burnj001,PIT200005130,3,9,5,1,1,3,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,PIT,0,1,0
hayec001,PIT200005130,4,3,5,4,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
grism001,PIT200005130,5,8,5,5,3,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hernj001,PIT200005130,6,5,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
moutl001,PIT200005130,7,7,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
blanh001,PIT200005130,8,2,4,4,2,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
