version,2
info,visteam,BAL
info,hometeam,MIN
info,site,MIN03
info,date,2000/04/16
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,wintm901
info,ump1b,culbf901
info,ump2b,welkb901
info,ump3b,froeb901
info,pitches,pitches
info,temp,72
info,winddir,ltor
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,128
info,attendance,14066
info,wp,ponss001
info,lp,maysj001
info,save,
start,andeb001,"Brady Anderson",0,1,8
start,bordm001,"Mike Bordick",0,2,6
start,surhb001,"B.J. Surhoff",0,3,7
start,bellj002,"Albert Belle",0,4,9
start,bainh001,"Harold Baines",0,5,10
start,conij001,"Jeff Conine",0,6,5
start,clarw001,"Will Clark",0,7,3
start,moraw001,"Willie Morales",0,8,2
start,garcj001,"Jesse Garcia",0,9,4
start,ponss001,"Sidney Ponson",0,0,1
start,walkt002,"Todd Walker",1,1,4
start,guzmc001,"Cristian Guzman",1,2,6
start,lawtm002,"Matt Lawton",1,3,9
start,ortid001,"David Ortiz",1,4,3
start,koskc001,"Corey Koskie",1,5,5
start,cummm001,"Midre Cummings",1,6,10
start,jensm001,"Marcus Jensen",1,7,2
start,jonej003,"Jacque Jones",1,8,7
start,huntt001,"Torii Hunter",1,9,8
start,maysj001,"Joe Mays",1,0,1
play,1,0,andeb001,22,BBCSX,HR/9
play,1,0,bordm001,20,BBX,S7/7S
play,1,0,surhb001,02,CFX,D9.1-3
play,1,0,bellj002,22,BFSBFX,S8.3-H;2-H
play,1,0,bainh001,00,X,43/G.1-3
play,1,0,conij001,01,FX,HR/7.3-H
play,1,0,clarw001,12,CBCC,K/C
play,1,0,moraw001,12,BSSX,63/G
play,1,1,walkt002,00,X,43/G
play,1,1,guzmc001,11,CBX,S8
play,1,1,lawtm002,31,BBFBB,W.1-2
play,1,1,ortid001,22,BBFCX,3/G.2-3;1-2
play,1,1,koskc001,12,CBSX,7/F7
play,2,0,garcj001,12,CBCS,K23
play,2,0,andeb001,12,CCBFS,K
play,2,0,bordm001,32,CSFBBFBX,9/L9
play,2,1,cummm001,22,CCBBFS,K
play,2,1,jensm001,32,BBSSBFX,8/F8
play,2,1,jonej003,02,FCS,K+WP.B-1
play,2,1,huntt001,00,H,HP.1-2
play,2,1,walkt002,00,B,WP.2-3;1-2
play,2,1,walkt002,31,BCBBX,7/F7
play,3,0,surhb001,00,X,3/G
play,3,0,bellj002,21,BCBX,S7
play,3,0,bainh001,00,X,7/F7
play,3,0,conij001,00,X,9/F9D
play,3,1,guzmc001,01,CX,43/G
play,3,1,lawtm002,01,CX,43/G
play,3,1,ortid001,22,CBCBX,S8
play,3,1,koskc001,30,BBBB,W.1-2
play,3,1,cummm001,00,X,8/F8
play,4,0,clarw001,11,CBX,63/G
play,4,0,moraw001,32,BBSSBFX,53/G
play,4,0,garcj001,00,X,63/G
play,4,1,jensm001,12,BFFX,31/G
play,4,1,jonej003,00,X,3/G
play,4,1,huntt001,11,BFX,43/G
play,5,0,andeb001,00,X,4/L4
play,5,0,bordm001,02,CCX,43/G
play,5,0,surhb001,20,BBX,3/G
play,5,1,walkt002,12,BFSX,43/G
play,5,1,guzmc001,10,BX,43/G
play,5,1,lawtm002,12,SBCFX,31/G
play,6,0,bellj002,00,X,S7
play,6,0,bainh001,12,CBFS,K
play,6,0,conij001,12,FCBX,9/F9S
play,6,0,clarw001,00,X,S9.1-3
play,6,0,moraw001,31,BBSBC,SB2
play,6,0,moraw001,32,BBSBCFS,K
play,6,1,ortid001,00,X,43/G
play,6,1,koskc001,21,BBCX,7/F7S
play,6,1,cummm001,00,X,43/G
play,7,0,garcj001,01,CX,43/G
play,7,0,andeb001,01,FX,43/G
play,7,0,bordm001,12,CFBC,K/C
play,7,1,jensm001,32,BBCBFX,S8
play,7,1,jonej003,32,BFFBFBS,K
play,7,1,huntt001,00,X,13/G.1-2
play,7,1,walkt002,00,X,7/F7
play,8,0,surhb001,12,FBFC,K/C
play,8,0,bellj002,12,BCCX,4/F4
play,8,0,bainh001,11,SBX,43/G
play,8,1,guzmc001,01,CX,3/BP3
play,8,1,lawtm002,12,FFBX,S8
play,8,1,ortid001,31,BBSBX,8/F8
play,8,1,koskc001,00,X,43/G
play,9,0,conij001,00,,NP
sub,guare001,"Eddie Guardado",1,0,1
play,9,0,conij001,01,CX,E6/TH
play,9,0,clarw001,02,CCFX,9/F9S
play,9,0,moraw001,12,BFSS,K
play,9,0,garcj001,01,FX,7/F7
play,9,1,cummm001,02,CSFS,K
play,9,1,jensm001,02,SCS,K
play,9,1,jonej003,00,X,63/G
data,er,ponss001,0
data,er,maysj001,5
data,er,guare001,0
