id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
longt002,0,1,8,5,5,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
tejam001,0,2,6,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
giamj001,0,3,3,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
saeno001,0,4,10,4,3,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
beckr002,0,4,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
staim001,0,5,9,4,4,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
piata001,0,6,5,4,4,2,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
grieb001,0,7,7,4,3,1,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1
chrir001,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
menef001,0,8,4,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
fasas001,0,9,2,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
guzmc001,1,1,6,5,5,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0
hockd001,1,2,5,5,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
lawtm002,1,3,7,5,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
coomr001,1,4,3,5,5,3,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0
huskb001,1,5,9,5,3,2,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
cummm001,1,6,10,5,4,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0
lecrm001,1,7,2,4,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
walkt002,1,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jensm001,1,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
huntt001,1,8,8,4,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
jonej003,1,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maxwj001,1,9,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
