version,2
info,visteam,DET
info,hometeam,MIN
info,site,MIN03
info,date,2000/05/04
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,fostm901
info,ump1b,kulpr901
info,ump2b,herna901
info,ump3b,timmt901
info,pitches,pitches
info,temp,72
info,winddir,rtol
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,214
info,attendance,6675
info,wp,andem002
info,lp,wellb002
info,save,jonet003
start,halts001,"Shane Halter",0,1,5
start,ausmb001,"Brad Ausmus",0,2,2
start,encaj001,"Juan Encarnacion",0,3,8
start,gonzj002,"Juan Gonzalez",0,4,10
start,higgb001,"Bobby Higginson",0,5,7
start,easld001,"Damion Easley",0,6,4
start,magew001,"Wendell Magee",0,7,9
start,jeffg001,"Gregg Jefferies",0,8,3
start,cruzd001,"Deivi Cruz",0,9,6
start,mlicd001,"Dave Mlicki",0,0,1
start,guzmc001,"Cristian Guzman",1,1,6
start,hockd001,"Denny Hocking",1,2,4
start,lawtm002,"Matt Lawton",1,3,9
start,coomr001,"Ron Coomer",1,4,3
start,koskc001,"Corey Koskie",1,5,5
start,ortid001,"David Ortiz",1,6,10
start,lecrm001,"Matt LeCroy",1,7,2
start,jonej003,"Jacque Jones",1,8,7
start,huntt001,"Torii Hunter",1,9,8
start,milte001,"Eric Milton",1,0,1
play,1,0,halts001,00,X,7/F7S
play,1,0,ausmb001,31,BBBCB,W
play,1,0,encaj001,11,BCX,8/F8
play,1,0,gonzj002,32,SBBFBX,3/FL
play,1,1,guzmc001,21,BCBX,T9
play,1,1,hockd001,01,CX,D9.3-H
play,1,1,lawtm002,00,X,D9.2-H
play,1,1,coomr001,21,BBCX,63/G.2-3
play,1,1,koskc001,30,BBBB,W
play,1,1,ortid001,11,BSX,46(1)/FO.3-H
play,1,1,lecrm001,32,BBFBFX,63/G
play,2,0,higgb001,12,CBFX,7/F7
play,2,0,easld001,11,SBH,HP
play,2,0,magew001,20,BBX,6/P6
play,2,0,jeffg001,01,CX,3/P3
play,2,1,jonej003,00,X,8/F8D
play,2,1,huntt001,11,BCX,63/G
play,2,1,guzmc001,12,FBFX,63/G
play,3,0,cruzd001,12,CBSX,3/G
play,3,0,halts001,12,CBFS,K
play,3,0,ausmb001,32,CBSFBBFFX,S8/8S
play,3,0,encaj001,02,CFX,HR/7.1-H
play,3,0,gonzj002,00,X,7/L7
play,3,1,hockd001,11,BCX,43/G
play,3,1,lawtm002,31,CBBBX,D7/7D
play,3,1,coomr001,01,CX,S9.2-H
play,3,1,koskc001,00,X,7/F7
play,3,1,ortid001,12,SBFX,S9/9S.1-2
play,3,1,lecrm001,00,X,43/G
play,4,0,higgb001,00,X,7/F7
play,4,0,easld001,12,CFBS,K
play,4,0,magew001,30,BBBB,W
play,4,0,jeffg001,10,BX,S7.1-2
play,4,0,cruzd001,22,SSBBX,54(1)/FO
play,4,1,jonej003,01,FX,S/78
play,4,1,huntt001,02,CFX,8/F8
play,4,1,guzmc001,11,BCX,4(1)/FO/G
play,4,1,hockd001,31,BBCBB,W.1-2
play,4,1,lawtm002,31,BBFBB,W.2-3;1-2
play,4,1,coomr001,01,CX,54(1)/FO
play,5,0,halts001,02,SSC,K/C
play,5,0,ausmb001,10,BX,9/F9D
play,5,0,encaj001,12,CCBFFX,4/P4
play,5,1,koskc001,22,BBFSFS,K
play,5,1,ortid001,11,CBX,3/P3
play,5,1,lecrm001,02,CCFX,43/G
play,6,0,gonzj002,10,BX,3/FL
play,6,0,higgb001,11,CBX,7/F7
play,6,0,easld001,22,CBBFX,S
play,6,0,magew001,12,CBFX,C/E2.1-2
play,6,0,jeffg001,00,X,S8.2-H;1-3
play,6,0,cruzd001,01,CX,D7/7D.3-H(UR);1-H
com,"Sure looks like UR on other 2 this inning"
play,6,0,halts001,11,CBX,8/F8
play,6,1,jonej003,12,BFFX,43/G
play,6,1,huntt001,01,FX,7/F7
play,6,1,guzmc001,12,BSFFX,S8
play,6,1,hockd001,00,X,D7.1-H
play,6,1,lawtm002,30,IIII,IW
play,6,1,coomr001,12,FBFX,64(1)/FO.2-3
play,7,0,ausmb001,12,CFBX,HR/7
play,7,0,encaj001,02,CCFX,9/F9S
play,7,0,gonzj002,20,BBX,4/P4
play,7,0,higgb001,12,BFFX,3/P3
play,7,1,koskc001,00,,NP
sub,pattd001,"Danny Patterson",0,0,1
play,7,1,koskc001,21,CBBX,S
play,7,1,ortid001,00,X,46(1)3/GDP
play,7,1,lecrm001,00,,NP
sub,jensm001,"Marcus Jensen",1,7,11
play,7,1,jensm001,32,BBBCFFC,K/C
play,8,0,easld001,00,,NP
sub,jensm001,"Marcus Jensen",1,7,2
play,8,0,easld001,00,,NP
sub,hawkl001,"LaTroy Hawkins",1,0,1
play,8,0,easld001,12,CFBC,K/C
play,8,0,magew001,11,BFX,3/FL
play,8,0,jeffg001,10,BX,8/F8
play,8,1,jonej003,00,,NP
sub,brocd001,"Doug Brocail",0,0,1
play,8,1,jonej003,10,BX,HR/8
play,8,1,huntt001,00,X,13/G
play,8,1,guzmc001,12,CBSX,43/G
play,8,1,hockd001,02,CCS,K
play,9,0,cruzd001,22,CBFFBFX,43/G
play,9,0,halts001,00,X,9/F9
play,9,0,ausmb001,22,BCCBX,8/L8
play,9,1,lawtm002,00,,NP
sub,andem002,"Matt Anderson",0,0,1
play,9,1,lawtm002,10,BX,3/G
play,9,1,coomr001,00,X,S8
play,9,1,koskc001,32,CBBSBS,K
play,9,1,ortid001,00,,SB2
play,9,1,ortid001,22,SBBSFFFFFX,31/G
play,10,0,encaj001,21,BFBX,13/G
play,10,0,gonzj002,02,CFC,K/C
play,10,0,higgb001,00,,NP
sub,millt001,"Travis Miller",1,0,1
play,10,0,higgb001,30,BBBB,W
play,10,0,easld001,00,,NP
sub,wellb002,"Bob Wells",1,0,1
play,10,0,easld001,01,CX,3/FL
play,10,1,jensm001,11,SBX,3/FL
play,10,1,jonej003,11,FBX,31/G
play,10,1,huntt001,22,CSBFBFFX,9/F9
play,11,0,magew001,00,,NP
sub,polol001,"Luis Polonia",0,7,11
play,11,0,polol001,11,FBX,3/L3
play,11,0,jeffg001,00,X,S8/8S
play,11,0,cruzd001,12,CCFBFX,D7.1-3
play,11,0,halts001,00,,NP
sub,fickr001,"Robert Fick",0,1,11
play,11,0,fickr001,00,,NP
sub,guare001,"Eddie Guardado",1,0,1
play,11,0,fickr001,22,BBSSFS,K
play,11,0,ausmb001,12,CFBFX,S6.3-H;2-H(E6/TH)(UR);B-2
play,11,0,encaj001,22,BSFBX,63/G
play,11,1,guzmc001,00,,NP
sub,fickr001,"Robert Fick",0,1,3
play,11,1,guzmc001,00,,NP
sub,polol001,"Luis Polonia",0,7,9
play,11,1,guzmc001,00,,NP
sub,jeffg001,"Gregg Jefferies",0,8,5
play,11,1,guzmc001,00,,NP
sub,jonet003,"Todd Jones",0,0,1
play,11,1,guzmc001,02,FFFS,K
play,11,1,hockd001,31,BBBCX,7/F7
play,11,1,lawtm002,32,CBCBBX,1/G
data,er,mlicd001,5
data,er,pattd001,0
data,er,brocd001,1
data,er,andem002,0
data,er,jonet003,0
data,er,milte001,5
data,er,hawkl001,0
data,er,millt001,0
data,er,wellb002,1
data,er,guare001,0
