version,2
info,visteam,DET
info,hometeam,MIN
info,site,MIN03
info,date,2000/05/07
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,timmt901
info,ump1b,fostm901
info,ump2b,kulpr901
info,ump3b,herna901
info,pitches,pitches
info,temp,72
info,winddir,tolf
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,157
info,attendance,8333
info,wp,maysj001
info,lp,johnm004
info,save,
start,polol001,"Luis Polonia",0,1,9
start,ausmb001,"Brad Ausmus",0,2,2
start,encaj001,"Juan Encarnacion",0,3,8
start,gonzj002,"Juan Gonzalez",0,4,10
start,higgb001,"Bobby Higginson",0,5,7
start,palmd002,"Dean Palmer",0,6,5
start,easld001,"Damion Easley",0,7,4
start,clart002,"Tony Clark",0,8,3
start,cruzd001,"Deivi Cruz",0,9,6
start,johnm004,"Mark J. Johnson",0,0,1
start,guzmc001,"Cristian Guzman",1,1,6
start,canij001,"Jay Canizaro",1,2,4
start,lawtm002,"Matt Lawton",1,3,9
start,coomr001,"Ron Coomer",1,4,3
start,koskc001,"Corey Koskie",1,5,5
start,huskb001,"Butch Huskey",1,6,10
start,jonej003,"Jacque Jones",1,7,7
start,jensm001,"Marcus Jensen",1,8,2
start,huntt001,"Torii Hunter",1,9,8
start,maysj001,"Joe Mays",1,0,1
play,1,0,polol001,22,BFCFBX,S7
play,1,0,ausmb001,32,CFBBBFX,64(1)3/GDP
play,1,0,encaj001,22,SBBSS,K
play,1,1,guzmc001,30,BBBB,W
play,1,1,canij001,01,CX,S9.1-3
play,1,1,lawtm002,00,X,7/F7S
play,1,1,coomr001,01,CX,9/SF.3-H
play,1,1,koskc001,11,BFB,WP.1-2
play,1,1,koskc001,32,BFBBSB,W
play,1,1,huskb001,00,H,HP.2-3;1-2
play,1,1,jonej003,00,X,S8.3-H;2-H;1-2
play,1,1,jensm001,01,FX,43/G
play,2,0,gonzj002,11,BFX,8/F8S
play,2,0,higgb001,12,BSFX,9/F9
play,2,0,palmd002,11,CBX,S8
play,2,0,easld001,02,CFS,K
play,2,1,huntt001,21,BBFX,9/F9D
play,2,1,guzmc001,30,BBBB,W
play,2,1,canij001,31,BSBBB,W.1-2
play,2,1,lawtm002,02,FFX,13/G.2-3;1-2
play,2,1,coomr001,00,X,63/G
play,3,0,clart002,20,BBX,63/G
play,3,0,cruzd001,31,BBCBX,S/78
play,3,0,polol001,00,X,8/L8
play,3,0,ausmb001,31,CBBBB,W.1-2
play,3,0,encaj001,11,BCB,WP.2-3;1-2
play,3,0,encaj001,32,BCBBFB,W
play,3,0,gonzj002,11,BSX,7/F7S
play,3,1,koskc001,22,BCCBX,63/G
play,3,1,huskb001,30,BBBB,W
play,3,1,jonej003,30,BBBB,W.1-2
play,3,1,jensm001,02,FFC,K/C
play,3,1,huntt001,12,BFCX,64(1)/FO.2-3
play,4,0,higgb001,12,CBCX,43/G
play,4,0,palmd002,12,FBFS,K
play,4,0,easld001,22,BCBSS,K
play,4,1,guzmc001,31,BBBCX,T/89D
play,4,1,canij001,00,X,63/G
play,4,1,lawtm002,00,X,S7.3-H
play,4,1,coomr001,00,,NP
sub,blaiw001,"Willie Blair",0,0,1
play,4,1,coomr001,10,BX,64(1)3/GDP
play,5,0,clart002,11,BCX,6/P6
play,5,0,cruzd001,21,BFBX,S9
play,5,0,polol001,10,BX,7/F7D
play,5,0,ausmb001,00,X,54(1)/FO
play,5,1,koskc001,10,BX,43/G
play,5,1,huskb001,12,BCSS,K
play,5,1,jonej003,00,X,53/G
play,6,0,encaj001,01,FX,8/L8
play,6,0,gonzj002,21,BCBX,8/F8D
play,6,0,higgb001,32,BFBBFX,9/F9
play,6,1,jensm001,32,BCBCBB,W
play,6,1,huntt001,12,CSBX,S8.1-2
play,6,1,guzmc001,12,FBFX,9/F9
play,6,1,canij001,32,BCBBFX,7/L7
play,6,1,lawtm002,00,X,7/F7
play,7,0,palmd002,21,BBCX,6/L6
play,7,0,easld001,22,BBCFS,K
play,7,0,clart002,12,CBSX,8/F8
play,7,1,coomr001,31,BBBCX,3/P3
play,7,1,koskc001,22,BBCFFX,53/G
play,7,1,huskb001,32,BCBSBB,W
play,7,1,jonej003,22,FBCBX,43/G
play,8,0,cruzd001,22,BFBCX,63/G
play,8,0,polol001,10,BX,43/G
play,8,0,ausmb001,01,CX,63/G
play,8,1,jensm001,01,SX,S9
play,8,1,huntt001,22,BBSCS,K
play,8,1,guzmc001,12,SBFFX,43/G.1-2
play,8,1,canij001,00,,NP
sub,andem002,"Matt Anderson",0,0,1
play,8,1,canij001,32,CBBFBFFS,K
play,9,0,encaj001,10,BX,T9
play,9,0,gonzj002,10,BX,8/F8
play,9,0,higgb001,20,BBX,1/FL
play,9,0,palmd002,00,X,7/F7
data,er,johnm004,4
data,er,blaiw001,0
data,er,andem002,0
data,er,maysj001,0
