id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
nagyc001,0,18,7,2,5,5,97,6,1,4,2,0,0,0,27,25,0,0,0,0
martt003,0,1,1,1,2,2,10,0,0,1,0,0,0,0,3,2,0,0,0,0
depas001,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,1,0,0,0,0
rincr001,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1
shuep001,0,4,2,0,0,0,20,0,0,2,0,0,0,0,5,5,0,0,0,0
karss001,0,2,3,0,3,3,10,0,1,1,1,0,0,0,5,5,0,0,0,0
bergs001,1,19,10,0,8,8,102,2,2,6,2,0,0,0,29,29,0,0,0,0
carrh001,1,1,1,0,0,0,11,1,0,1,0,0,0,0,2,2,0,0,0,0
millt001,1,1,1,0,0,0,5,0,0,1,0,0,0,0,2,2,0,0,0,0
wellb002,1,3,1,0,0,0,12,1,0,1,0,0,0,0,3,3,0,0,0,0
guare001,1,3,1,0,1,1,13,0,1,0,0,0,0,0,4,4,0,0,0,0
