version,2
info,visteam,MIL
info,hometeam,MIN
info,site,MIN03
info,date,2000/06/11
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,tscht901
info,ump1b,meric901
info,ump2b,gibsg901
info,ump3b,higgs901
info,pitches,pitches
info,temp,72
info,winddir,tocf
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,205
info,attendance,11715
info,wp,snydj001
info,lp,radkb001
info,save,wickb001
start,bellr002,"Ron Belliard",0,1,4
start,grism001,"Marquis Grissom",0,2,8
start,burnj001,"Jeromy Burnitz",0,3,9
start,jenkg001,"Geoff Jenkins",0,4,7
start,hayec001,"Charlie Hayes",0,5,3
start,sweem001,"Mark Sweeney",0,6,10
start,hernj001,"Jose Hernandez",0,7,5
start,casar001,"Raul Casanova",0,8,2
start,peres001,"Santiago Perez",0,9,6
start,snydj001,"John Snyder",0,0,1
start,jonej003,"Jacque Jones",1,1,8
start,guzmc001,"Cristian Guzman",1,2,6
start,lawtm002,"Matt Lawton",1,3,7
start,coomr001,"Ron Coomer",1,4,3
start,ortid001,"David Ortiz",1,5,10
start,cummm001,"Midre Cummings",1,6,9
start,lecrm001,"Matt LeCroy",1,7,2
start,koskc001,"Corey Koskie",1,8,5
start,hockd001,"Denny Hocking",1,9,4
start,radkb001,"Brad Radke",1,0,1
play,1,0,bellr002,02,FFX,S/78
play,1,0,grism001,00,X,HR/78.1-H
play,1,0,burnj001,11,BFX,31/G
play,1,0,jenkg001,00,X,D/78S
play,1,0,hayec001,30,BBBX,53/G
play,1,0,sweem001,22,BCCFBS,K
play,1,1,jonej003,12,CSFFBX,63/G
play,1,1,guzmc001,30,BBBB,W
play,1,1,lawtm002,32,BCBBFX,T/78.1-H
play,1,1,coomr001,01,CX,FC3.3XH(32);B-1#
play,1,1,ortid001,11,CBX,43/G
play,2,0,hernj001,00,X,S7/7S
play,2,0,casar001,10,BX,S7/7S.1-3
play,2,0,peres001,01,CX,FC3.3XH(32);1-2;B-1#
play,2,0,bellr002,01,CX,9/F9.2-3
play,2,0,grism001,21,BBFB,SB2
play,2,0,grism001,31,BBFBB,W
play,2,0,burnj001,22,FBSFBFX,3/G
play,2,1,cummm001,01,CX,43/G
play,2,1,lecrm001,21,CBBH,HP
play,2,1,koskc001,10,BX,8/F8
play,2,1,hockd001,22,BBFFS,K
play,3,0,jenkg001,02,CFX,43/G
play,3,0,hayec001,10,BX,S9/9S
play,3,0,sweem001,22,CBFBX,S/78.1-2
play,3,0,hernj001,32,CBBFBS,K+CS3(25)/DP
play,3,1,jonej003,00,X,7/F7D
play,3,1,guzmc001,12,CCBFS,K
play,3,1,lawtm002,31,BFBBB,W
play,3,1,coomr001,12,SFBX,S7.1-2
play,3,1,ortid001,12,SBFX,3/G
play,4,0,casar001,00,X,6/P6
play,4,0,peres001,11,BFX,3/G
play,4,0,bellr002,12,BCSFX,43/G
play,4,1,cummm001,12,CCBX,D7/7S
play,4,1,lecrm001,02,FFS,K
play,4,1,koskc001,32,BFBBCX,3/G.2-3
play,4,1,hockd001,22,CCBBFX,S9/9S.3-H
play,4,1,jonej003,30,BBBX,S9/9S.1-2
play,4,1,guzmc001,22,CFBBX,S3.2-H(E3/TH);1-3;B-2
play,4,1,lawtm002,30,IIII,IW
play,4,1,coomr001,00,X,3/P3
play,5,0,grism001,12,FBFFX,S9/9S
play,5,0,burnj001,10,BS,SB2
play,5,0,burnj001,11,BSX,8/F8D.2-3
play,5,0,jenkg001,21,CBBX,FC3.3-H;B-1
play,5,0,hayec001,31,BBFBC,SB2
play,5,0,hayec001,32,BBFBCB,W
play,5,0,sweem001,22,FBFFBX,S8.2-H;1-3
play,5,0,hernj001,21,BFBX,46(1)3/GDP
play,5,1,ortid001,22,CFBBFFX,6/FL
play,5,1,cummm001,00,X,S7
play,5,1,lecrm001,00,X,6/L6
play,5,1,koskc001,32,BCBSBX,3/G
play,6,0,casar001,32,BFBFBFX,S9
play,6,0,peres001,12,LLBX,4/L4
play,6,0,bellr002,32,CBCBBS,K+CS2(24)/DP
play,6,1,hockd001,20,BBX,D9
play,6,1,jonej003,02,SCS,K
play,6,1,guzmc001,11,CBX,8/F8D.2-3
play,6,1,lawtm002,30,IIII,IW
play,6,1,coomr001,00,,NP
sub,weatd001,"David Weathers",0,0,1
play,6,1,coomr001,21,BCBX,4/P4
play,7,0,grism001,22,FSBFFBX,E6/G.B-2
play,7,0,burnj001,00,,NP
sub,guare001,"Eddie Guardado",1,0,1
play,7,0,burnj001,01,FX,8/F8D.2-3
play,7,0,jenkg001,12,SSBFFX,S8.3-H(UR)
play,7,0,hayec001,01,CX,9/F9
play,7,0,sweem001,00,B,SB2
play,7,0,sweem001,31,BBCBB,W
play,7,0,hernj001,00,,NP
sub,hawkl001,"LaTroy Hawkins",1,0,1
play,7,0,hernj001,10,BX,63/G
play,7,1,ortid001,10,BX,43/G
play,7,1,cummm001,31,BFBBX,3/G
play,7,1,lecrm001,12,FBFX,9/F9
play,8,0,casar001,22,BSFBX,9/F9
play,8,0,peres001,32,SBSFBFFBX,D7
play,8,0,bellr002,32,BBFBFX,43/G.2-3
play,8,0,grism001,11,BFX,63/G
play,8,1,koskc001,00,,NP
sub,leskc001,"Curtis Leskanic",0,0,1
play,8,1,koskc001,31,BBCBB,W
play,8,1,hockd001,21,BBFX,7/F7
play,8,1,jonej003,01,SX,43/G.1-2
play,8,1,guzmc001,00,X,7/F7
play,9,0,burnj001,00,,NP
sub,millt001,"Travis Miller",1,0,1
play,9,0,burnj001,10,BX,7/P7
play,9,0,jenkg001,11,BFX,S9
play,9,0,hayec001,32,BBFFBB,W.1-2
play,9,0,sweem001,22,SSBFBS,K
play,9,0,hernj001,00,,NP
sub,wellb002,"Bob Wells",1,0,1
play,9,0,hernj001,32,BCBBSS,K
play,9,1,lawtm002,00,,NP
sub,wickb001,"Bob Wickman",0,0,1
play,9,1,lawtm002,22,CCBFBFX,S
play,9,1,coomr001,10,BX,7/F7
play,9,1,ortid001,10,BX,S9/9D.1-3
play,9,1,cummm001,00,,NP
sub,buchb002,"Brian Buchanan",1,5,12
play,9,1,cummm001,30,BBBB,W.1-2
play,9,1,lecrm001,00,X,52(3)3/GDP
data,er,snydj001,3
data,er,weatd001,0
data,er,leskc001,0
data,er,wickb001,0
data,er,radkb001,4
data,er,guare001,0
data,er,hawkl001,0
data,er,millt001,0
data,er,wellb002,0
