version,2
info,visteam,OAK
info,hometeam,MIN
info,site,MIN03
info,date,2000/06/13
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,vanvm901
info,ump1b,reilm901
info,ump2b,kellj901
info,ump3b,coope901
info,pitches,pitches
info,temp,72
info,winddir,tolf
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,204
info,attendance,7485
info,wp,muldm001
info,lp,maysj001
info,save,isrij001
start,longt002,"Terrence Long",0,1,8
start,velar001,"Randy Velarde",0,2,4
start,giamj001,"Jason Giambi",0,3,3
start,staim001,"Matt Stairs",0,4,9
start,jahaj001,"John Jaha",0,5,10
start,grieb001,"Ben Grieve",0,6,7
start,tejam001,"Miguel Tejada",0,7,6
start,chave001,"Eric Chavez",0,8,5
start,hernr002,"Ramon Hernandez",0,9,2
start,muldm001,"Mark Mulder",0,0,1
start,hockd001,"Denny Hocking",1,1,6
start,canij001,"Jay Canizaro",1,2,4
start,lawtm002,"Matt Lawton",1,3,7
start,coomr001,"Ron Coomer",1,4,3
start,huskb001,"Butch Huskey",1,5,10
start,buchb002,"Brian Buchanan",1,6,9
start,lecrm001,"Matt LeCroy",1,7,2
start,jonej003,"Jacque Jones",1,8,8
start,maxwj001,"Jason Maxwell",1,9,5
start,maysj001,"Joe Mays",1,0,1
play,1,0,longt002,10,BX,7/F7
play,1,0,velar001,32,CBBBCC,K/C
play,1,0,giamj001,11,BFX,8/F8D
play,1,1,hockd001,00,X,53/G
play,1,1,canij001,30,BBBB,W
play,1,1,lawtm002,01,CX,64(1)3/GDP
play,2,0,staim001,00,X,43/G
play,2,0,jahaj001,32,BSCFBBFB,W
play,2,0,grieb001,02,CFFC,K/C
play,2,0,tejam001,02,FFFX,S7/7S.1-2
play,2,0,chave001,00,X,S/78.2-H;1-3
play,2,0,hernr002,00,X,7/F7
play,2,1,coomr001,32,BFSBBB,W
play,2,1,huskb001,10,BX,46(1)3/GDP
play,2,1,buchb002,21,BSBX,S8
play,2,1,lecrm001,20,BBX,54(1)/FO
play,3,0,longt002,32,BFSBBB,W
play,3,0,velar001,01,CX,S9/9S.1-3
play,3,0,giamj001,30,BBBB,W.1-2
play,3,0,staim001,30,BBBB,W.3-H;2-3;1-2
play,3,0,jahaj001,12,CCBC,K/C
play,3,0,grieb001,00,X,64(1)3/GDP
play,3,1,jonej003,11,CBX,7/F7
play,3,1,maxwj001,10,BX,53/G
play,3,1,hockd001,20,BBX,D7
play,3,1,canij001,21,BBFX,D8.2-H
play,3,1,lawtm002,00,X,S8.2-H
play,3,1,coomr001,10,BX,D9.1-3
play,3,1,huskb001,31,CBBBB,W
play,3,1,buchb002,12,FFBS,K
play,4,0,tejam001,02,CFX,D7
play,4,0,chave001,01,CX,43/G.2-3
play,4,0,hernr002,02,SCFFFFX,S8.3-H
play,4,0,longt002,22,BFFBFX,7/F7
play,4,0,velar001,00,X,S9.1-3
play,4,0,giamj001,31,CBBB+1,POCS2(E3).3-H(UR);1-2
play,4,0,giamj001,31,CBBB+1B,W
play,4,0,staim001,01,SC,PB.2-3;1-2
play,4,0,staim001,32,SCBBBX,43/G
play,4,1,lecrm001,32,BBFCFBX,7/L7
play,4,1,jonej003,11,BSX,D7
play,4,1,maxwj001,31,BSBBB,W
play,4,1,hockd001,12,CCFBX,7/F7
play,4,1,canij001,01,CX,4/P4
play,5,0,jahaj001,00,X,9/F9
play,5,0,grieb001,02,CSC,K/C
play,5,0,tejam001,12,BCFX,S8
play,5,0,chave001,01,SX,S.1-2
play,5,0,hernr002,01,CX,S9/9S.2-H;1-2
play,5,0,longt002,12,CFFBS,K
play,5,1,lawtm002,20,BBX,7/F7
play,5,1,coomr001,02,FCS,K
play,5,1,huskb001,10,BX,S7/7S
play,5,1,buchb002,11,CBX,7/F7
play,6,0,velar001,12,FBSFX,63/G
