version,2
info,visteam,OAK
info,hometeam,MIN
info,site,MIN03
info,date,2000/06/14
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,reilm901
info,ump1b,kellj901
info,ump2b,coope901
info,ump3b,vanvm901
info,pitches,pitches
info,temp,72
info,winddir,ltor
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,197
info,attendance,8911
info,wp,hudst001
info,lp,bergs001
info,save,
start,longt002,"Terrence Long",0,1,8
start,velar001,"Randy Velarde",0,2,4
start,giamj001,"Jason Giambi",0,3,3
start,grieb001,"Ben Grieve",0,4,7
start,jahaj001,"John Jaha",0,5,10
start,staim001,"Matt Stairs",0,6,9
start,tejam001,"Miguel Tejada",0,7,6
start,chave001,"Eric Chavez",0,8,5
start,hernr002,"Ramon Hernandez",0,9,2
start,hudst001,"Tim Hudson",0,0,1
start,hockd001,"Denny Hocking",1,1,9
start,guzmc001,"Cristian Guzman",1,2,6
start,lawtm002,"Matt Lawton",1,3,7
start,coomr001,"Ron Coomer",1,4,3
start,ortid001,"David Ortiz",1,5,10
start,canij001,"Jay Canizaro",1,6,4
start,koskc001,"Corey Koskie",1,7,5
start,jensm001,"Marcus Jensen",1,8,2
start,jonej003,"Jacque Jones",1,9,8
start,bergs001,"Sean Bergman",1,0,1
play,1,0,longt002,01,CX,S8/8S
play,1,0,velar001,02,FCFC,K/C
play,1,0,giamj001,31,BBBCB,W.1-2
play,1,0,grieb001,10,BX,7/F7D.2-3
play,1,0,jahaj001,01,CX,43/G
play,1,1,hockd001,00,X,7/F7S
play,1,1,guzmc001,22,CBSBS,K
play,1,1,lawtm002,00,X,8/F8
play,2,0,staim001,22,BCBCX,D9
play,2,0,tejam001,11,BFX,3/G.2-3
play,2,0,chave001,01,FX,8/SF.3-H
play,2,0,hernr002,10,BX,63/G
play,2,1,coomr001,32,CBBSBX,5/L5
play,2,1,ortid001,20,BBX,43/G
play,2,1,canij001,10,BX,S
play,2,1,koskc001,21,BBFB,SB2
play,2,1,koskc001,32,BBFBSB,W
play,2,1,jensm001,31,CBBBB,W.2-3;1-2
play,2,1,jonej003,22,BFBSS,K
play,3,0,longt002,12,SBCS,K
play,3,0,velar001,10,BX,S/89S
play,3,0,giamj001,11,BCX,HR/9.1-H
play,3,0,grieb001,02,FFX,HR/9
play,3,0,jahaj001,22,BFBSX,63/G
play,3,0,staim001,20,BBX,S9
play,3,0,tejam001,00,X,54(1)/FO
play,3,1,hockd001,11,CBX,43/G
play,3,1,guzmc001,12,CCBX,63/G
play,3,1,lawtm002,00,X,31/G
play,4,0,chave001,01,FX,S8/8S
play,4,0,hernr002,01,FX,4(1)/FO/G
play,4,0,longt002,31,CBBBX,36(1)1/GDP
play,4,1,coomr001,11,CBX,43/G
