advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,11,1,,offej001,,,0,3,BCX,milte001,0,0,offej001 doubles. ,offej001,0,
,12,1,,offej001,,,1,7,CCBC,milte001,1,0,sprae001 strikes out. ,sprae001,0,
,10,1,,offej001,,,2,9,BX,milte001,1,0,,everc001,0,F
offej001 scores. ,11,1,,garcn001,,,3,12,FBX,milte001,0,1,garcn001 doubles. ,garcn001,0,
,10,1,,garcn001,,,4,14,BX,milte001,1,0,,burkm001,0,F
,31,1,guzmc001,,,,5,5,BBCBB,waket001,0,0,guzmc001 walks. ,guzmc001,1,
,21,1,,guzmc001,,hockd001,6,9,BCBB,waket001,0,0,guzmc001 steals 2B. ,hockd001,1,
guzmc001 to 3B. ,32,1,,,guzmc001,,7,15,BCBBFX,waket001,1,0,hockd001 grounds out. ,hockd001,1,G
guzmc001 scores. ,02,1,,,,,8,19,FCFX,waket001,1,1,lawtm002 grounds out. ,lawtm002,1,G
,12,1,coomr001,,,,9,23,BSSX,waket001,0,0,coomr001 reaches on error. ,coomr001,1,
coomr001 out. ,00,1,koskc001,,,,10,24,X,waket001,1,0,koskc001 reaches on fielder's choice. ,koskc001,1,
,01,2,oleat001,,,,11,16,CX,milte001,0,0,oleat001 singles. ,oleat001,0,
oleat001 scores. ,12,2,,varij001,,,12,22,CCFBFX,milte001,0,1,varij001 doubles. ,varij001,0,
varij001 scores. ,01,2,gilkb001,,,,13,24,CX,milte001,0,1,gilkb001 singles. ,gilkb001,0,
gilkb001 scores. ,21,2,,,,,14,28,BCBX,milte001,0,2,alexm001 homers. ,alexm001,0,
,12,2,,,,,15,32,BCFX,milte001,1,0,,offej001,0,F
,01,2,,,,,16,34,FX,milte001,1,0,,sprae001,0,
,32,2,everc001,,,,17,40,BBCBCB,milte001,0,0,everc001 walks. ,everc001,0,
,10,2,everc001,,,,18,42,BX,milte001,1,0,garcn001 grounds out. ,garcn001,0,G
,02,2,,,,,19,27,FSX,waket001,1,0,,huskb001,1,P
,32,2,ortid001,,,,20,33,BCFBBB,waket001,0,0,ortid001 walks. ,ortid001,1,
,22,2,ortid001,,,,21,38,SFBBS,waket001,1,0,jensm001 strikes out. ,jensm001,1,
ortid001 to 2B. ,11,2,,ortid001,,jonej003,22,41,CBB,waket001,0,0,Passed Ball. ,jonej003,1,
,22,2,,ortid001,,,23,46,CBBCX,waket001,1,0,jonej003 grounds out. ,jonej003,1,G
,02,3,burkm001,,,,24,45,FSX,milte001,0,0,burkm001 singles. ,burkm001,0,
,32,3,burkm001,,,,25,52,FFBFBBS,milte001,1,0,oleat001 strikes out. ,oleat001,0,
burkm001 to 2B. ,12,3,varij001,burkm001,,,26,58,CFFBFX,milte001,0,0,varij001 singles. ,varij001,0,
burkm001 scores. varij001 scores. ,00,3,,gilkb001,,,27,59,X,milte001,0,2,gilkb001 doubles. ,gilkb001,0,
gilkb001 to 3B. ,32,3,,,gilkb001,,28,65,CBBFBX,milte001,1,0,,alexm001,0,F
,22,3,,,gilkb001,,29,71,CFBBFX,milte001,1,0,offej001 grounds out. ,offej001,0,G
,12,3,,guzmc001,,,30,52,BCFFFX,waket001,0,0,guzmc001 doubles. ,guzmc001,1,
,12,3,,guzmc001,,,31,56,CSBS,waket001,1,0,hockd001 strikes out. ,hockd001,1,
guzmc001 to 3B. ,12,3,,,guzmc001,,32,60,FBFX,waket001,1,0,lawtm002 grounds out. ,lawtm002,1,G
,00,3,,,guzmc001,,33,61,X,waket001,1,0,,coomr001,1,P
,22,4,,,,,35,5,BFBFX,ryanj001,1,0,sprae001 grounds out. ,sprae001,0,G
,22,4,everc001,,,,36,10,CFBBX,ryanj001,0,0,everc001 singles. ,everc001,0,
everc001 to 3B. ,20,4,,garcn001,everc001,,37,13,BBX,ryanj001,0,0,garcn001 doubles. ,garcn001,0,
everc001 scores. garcn001 scores. ,11,4,,burkm001,,,38,16,BCX,ryanj001,0,2,burkm001 doubles. ,burkm001,0,
burkm001 scores. ,12,4,,,,,39,21,CSFBX,ryanj001,0,2,oleat001 homers. ,oleat001,0,
,12,4,,,,,40,26,SFFBX,ryanj001,1,0,varij001 grounds out. ,varij001,0,G
,01,4,,,,,41,28,CX,ryanj001,0,1,gilkb001 homers. ,gilkb001,0,
