version,2
info,visteam,BAL
info,hometeam,MIN
info,site,MIN03
info,date,2000/09/06
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,reedr901
info,ump1b,wendh902
info,ump2b,clara901
info,ump3b,buckc901
info,pitches,pitches
info,temp,72
info,winddir,fromcf
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,143
info,attendance,5753
info,wp,radkb001
info,lp,ponss001
info,save,
start,andeb001,"Brady Anderson",0,1,9
start,hairj002,"Jerry Hairston",0,2,4
start,deshd001,"Delino DeShields",0,3,7
start,conij001,"Jeff Conine",0,4,5
start,garck002,"Karim Garcia",0,5,10
start,richc001,"Chris Richard",0,6,3
start,coffi001,"Ivanon Coffie",0,7,6
start,moraw001,"Willie Morales",0,8,2
start,kingg001,"Eugene Kingsale",0,9,8
start,ponss001,"Sidney Ponson",0,0,1
start,canij001,"Jay Canizaro",1,1,4
start,guzmc001,"Cristian Guzman",1,2,6
start,lawtm002,"Matt Lawton",1,3,9
start,coomr001,"Ron Coomer",1,4,3
start,ortid001,"David Ortiz",1,5,10
start,koskc001,"Corey Koskie",1,6,5
start,huntt001,"Torii Hunter",1,7,8
start,jonej003,"Jacque Jones",1,8,7
start,moelc001,"Chad Moeller",1,9,2
start,radkb001,"Brad Radke",1,0,1
play,1,0,andeb001,21,FBBX,53/G
play,1,0,hairj002,22,CCBBFX,S7/7S
play,1,0,deshd001,20,BBX,7/F7D
play,1,0,conij001,11,CBX,7/F7D
play,1,1,canij001,10,BX,S/89
play,1,1,guzmc001,02,CFX,16(1)/FO
play,1,1,lawtm002,00,C,CS2(26)
play,1,1,lawtm002,22,CFBBFX,6/L6
play,2,0,garck002,01,CX,31/G
play,2,0,richc001,12,CCBFH,HP
play,2,0,coffi001,01,FX,9/F9
play,2,0,moraw001,00,X,9/F9
play,2,1,coomr001,31,BBBCX,D/78
play,2,1,ortid001,00,X,E4/TH.2-3
play,2,1,koskc001,12,CFBS,K
play,2,1,huntt001,22,BBFSS,K
play,2,1,jonej003,21,BFBX,S8/8S.3-H(UR);1-3
play,2,1,moelc001,02,FCC,K/C
play,3,0,kingg001,12,BCSS,K
play,3,0,andeb001,11,BCX,3/G
play,3,0,hairj002,10,BX,53/G
play,3,1,canij001,20,BBX,53/G
play,3,1,guzmc001,10,BX,3/G
play,3,1,lawtm002,02,CSX,7/F7
play,4,0,deshd001,12,CSBX,63/G
play,4,0,conij001,00,X,63/G
play,4,0,garck002,00,X,13/G
play,4,1,coomr001,02,CFS,K
play,4,1,ortid001,12,CBCS,K
play,4,1,koskc001,02,CFFS,K
play,5,0,richc001,00,X,8/F8S
play,5,0,coffi001,12,CSBX,63/G
play,5,0,moraw001,02,CFFFFX,D9/9D
play,5,0,kingg001,12,BSFX,43/G
play,5,1,huntt001,12,CBSX,S9
play,5,1,jonej003,00,X,S8.1-2
play,5,1,moelc001,01,CX,7/F7
play,5,1,canij001,32,BBBCFC,K+CS3(25)/DP/C
play,6,0,andeb001,32,FCBBBFX,7/F7
play,6,0,hairj002,22,CBFFBX,S7/7S
play,6,0,deshd001,00,X,D9/9D.1-3
play,6,0,conij001,32,FFBBFBX,8/SF.3-H;2-3
play,6,0,garck002,22,BCBSS,K
play,6,1,guzmc001,01,CX,8/F8
play,6,1,lawtm002,22,CBFBFS,K
play,6,1,coomr001,12,BFFS,K
play,7,0,richc001,10,BX,43/G
play,7,0,coffi001,00,X,S
play,7,0,moraw001,00,X,9/F9S
play,7,0,kingg001,12,CFFBS,K
play,7,1,ortid001,11,FBX,63/G
play,7,1,koskc001,32,FBBSBB,W
play,7,1,huntt001,12,CBFX,S9/9S.1-3;B-2(TH3)
play,7,1,jonej003,20,BBX,43/G.3-H;2-3
play,7,1,moelc001,11,BSX,S7.3-H
play,7,1,canij001,12,FBSFS,K
play,8,0,andeb001,00,,NP
sub,hockd001,"Denny Hocking",1,1,4
play,8,0,andeb001,00,X,43/G
play,8,0,hairj002,32,BBCCBFB,W
play,8,0,deshd001,22,SCBBS,K
play,8,0,conij001,02,SSS,K
play,8,1,guzmc001,02,FFX,D/89
play,8,1,lawtm002,32,FBBBFFS,K
play,8,1,coomr001,00,X,S9.2-H;B-2(THH)
play,8,1,ortid001,00,X,13/G.2-3
play,8,1,koskc001,00,,NP
sub,ryanb001,"B.J. Ryan",0,0,1
play,8,1,koskc001,32,BBBFCFS,K
play,9,0,garck002,12,BSSS,K
play,9,0,richc001,00,X,7/F7
play,9,0,coffi001,12,SBCFX,S7
play,9,0,moraw001,00,,NP
sub,fordb001,"Brook Fordyce",0,8,11
play,9,0,fordb001,00,X,63/G
data,er,ponss001,3
data,er,ryanb001,0
data,er,radkb001,1
