id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
guzmc001,PIT200007070,1,6,5,4,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,PIT,0,1,0
hockd001,PIT200007070,2,4,5,3,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,PIT,0,1,0
lawtm002,PIT200007070,3,7,5,4,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
coomr001,PIT200007070,4,3,5,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
koskc001,PIT200007070,5,5,5,5,2,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,PIT,0,1,0
allec001,PIT200007070,6,9,4,4,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
jonej003,PIT200007070,7,8,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
jensm001,PIT200007070,8,2,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
maysj001,PIT200007070,9,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,PIT,0,1,0
canij001,PIT200007070,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
millt001,PIT200007070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
wellb002,PIT200007070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
maxwj001,PIT200007070,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
carrh001,PIT200007070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
jonej003,PIT200007080,1,8,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
guzmc001,PIT200007080,2,6,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
lawtm002,PIT200007080,3,7,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
ortid001,PIT200007080,4,3,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
canij001,PIT200007080,4,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
koskc001,PIT200007080,5,5,3,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
maxwj001,PIT200007080,5,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
allec001,PIT200007080,6,9,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PIT,0,1,0
hawkl001,PIT200007080,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
coomr001,PIT200007080,6,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
jensm001,PIT200007080,7,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
hockd001,PIT200007080,8,4,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
milte001,PIT200007080,9,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
cummm001,PIT200007080,9,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
jonej003,PIT200007090,1,8,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
guzmc001,PIT200007090,2,6,5,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
lawtm002,PIT200007090,3,7,5,3,3,2,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,PIT,0,1,0
ortid001,PIT200007090,4,3,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
koskc001,PIT200007090,5,5,4,3,1,0,1,3,1,0,0,0,1,0,0,0,0,1,0,0,1,PIT,0,1,0
canij001,PIT200007090,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
cummm001,PIT200007090,7,9,4,3,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,PIT,0,1,0
wellb002,PIT200007090,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
guare001,PIT200007090,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hawkl001,PIT200007090,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
jensm001,PIT200007090,8,2,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
redmm002,PIT200007090,9,1,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,PIT,0,1,0
hockd001,PIT200007090,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
canij001,HOU200006050,1,4,4,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,HOU,0,1,0
guzmc001,HOU200006050,2,6,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,HOU,0,1,0
lawtm002,HOU200006050,3,7,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,HOU,0,1,0
