id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
meadb001,0,16,9,1,4,4,85,3,0,6,3,0,0,0,24,23,0,0,0,0
cunnw001,0,2,0,1,0,0,11,0,0,0,0,0,0,0,3,2,0,0,0,0
serad001,0,0,2,0,1,1,9,0,0,2,0,0,1,0,2,2,0,0,0,0
almac001,0,6,0,0,0,0,14,2,0,0,0,0,0,0,6,6,0,0,0,0
whism001,0,3,1,0,0,0,15,1,0,0,1,0,0,0,4,4,0,0,0,0
powej002,1,9,5,1,6,6,48,4,2,2,1,0,0,0,16,15,0,0,0,0
batim001,1,9,6,0,3,3,58,2,0,6,0,0,0,1,16,14,0,1,0,0
blanm001,1,3,0,0,0,0,21,0,0,0,0,0,0,0,5,4,0,0,0,0
klins002,1,3,1,0,0,0,7,1,0,1,0,0,0,0,3,3,0,0,0,0
stris001,1,3,1,0,1,0,31,0,0,1,0,0,0,1,6,4,0,0,1,0
