id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
ceder001,0,1,7,5,5,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
lugoj001,0,2,4,5,5,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
bagwj001,0,3,3,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hidar001,0,4,8,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aloum001,0,5,9,4,4,3,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0
euset001,0,6,2,4,4,3,0,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0
trubc001,0,7,5,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bogat001,0,8,6,4,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
elars001,0,9,1,4,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
guerw001,1,1,7,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
forss001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
telfa001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jonet004,1,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bradm001,1,2,8,5,3,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
vidrj001,1,3,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
guerv001,1,4,9,4,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
stevl001,1,5,3,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
blumg001,1,6,5,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
santj001,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seguf001,1,6,11,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cabro001,1,7,6,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schnb001,1,8,2,4,4,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
moort001,1,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
traca001,1,9,5,3,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
