advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,22,1,,,,,0,6,CBSBFX,thurm002,1,0,womat001 grounds out. ,womat001,0,G
,10,1,,,,,1,8,BX,thurm002,1,0,bellj001 grounds out. ,bellj001,0,G
,11,1,,,,,2,11,BCX,thurm002,1,0,gonzl001 grounds out. ,gonzl001,0,G
,22,1,,,,,3,6,BCFFBX,schic002,1,0,,bergp001,1,F
,12,1,,,,,4,10,CBFC,schic002,1,0,bradm001 strikes out. ,bradm001,1,
,10,1,,,,,5,12,BX,schic002,1,0,vidrj001 grounds out. ,vidrj001,1,G
,22,2,,,,,6,16,CBFBX,thurm002,1,0,,colbg001,0,P
,32,2,finls001,,,,7,22,BBCBFB,thurm002,0,0,finls001 walks. ,finls001,0,
,02,2,finls001,,,,8,25,CFC,thurm002,1,0,willm003 strikes out. ,willm003,0,
,00,2,,finls001,,bautd001,9,26,C,thurm002,0,0,finls001 steals 2B. ,bautd001,0,
finls001 scores. ,22,2,bautd001,,,,10,35,CCFBFFBFX,thurm002,0,1,bautd001 singles. ,bautd001,0,
,00,2,,bautd001,,milld002,11,36,B,thurm002,0,0,bautd001 steals 2B. ,milld002,0,
,30,2,milld002,bautd001,,,12,40,BBII,thurm002,0,0,milld002 intentionally walks. ,milld002,0,
,22,2,milld002,bautd001,,,13,45,SBFBC,thurm002,1,0,schic002 strikes out. ,schic002,0,
,12,2,,,,,14,16,CBFS,schic002,1,0,guerv001 strikes out. ,guerv001,1,
,11,2,,,,,15,19,FBX,schic002,1,0,,stevl001,1,F
,22,2,,,,,16,24,CBFBS,schic002,1,0,blumg001 strikes out. ,blumg001,1,
,01,3,womat001,,,,17,47,CX,thurm002,0,0,womat001 singles. ,womat001,0,
womat001 out. ,22,3,bellj001,,,,18,52,BBCFX,thurm002,1,0,bellj001 reaches on fielder's choice. ,bellj001,0,
,11,3,,,,,19,55,CBX,thurm002,2,0,Double Play. ,gonzl001,0,
,01,3,,,,,20,26,CX,schic002,1,0,cabro001 grounds out. ,cabro001,1,G
,22,3,,,,,21,31,CBBCS,schic002,1,0,barrm003 strikes out. ,barrm003,1,
,22,3,,,,,22,36,CSBBS,schic002,1,0,thurm002 strikes out. ,thurm002,1,
,11,4,colbg001,,,,23,58,BCX,thurm002,0,0,colbg001 singles. ,colbg001,0,
colbg001 to 2B. ,10,4,finls001,colbg001,,,24,60,BX,thurm002,0,0,finls001 reaches on error. ,finls001,0,G
colbg001 to 3B. finls001 to 2B. ,21,4,,finls001,colbg001,,25,64,BBSX,thurm002,1,0,willm003 grounds out. ,willm003,0,G
colbg001 scores. finls001 to 3B. ,22,4,,,finls001,,26,71,CBFBFFX,thurm002,1,1,bautd001 grounds out. ,bautd001,0,G
,00,4,,,finls001,,27,72,X,thurm002,1,0,,milld002,0,F
,11,4,,,,,28,39,BCX,schic002,1,0,,bergp001,1,P
,00,4,,,,,29,40,X,schic002,1,0,,bradm001,1,F
,10,4,,,,,30,42,BX,schic002,1,0,,vidrj001,1,F
,32,5,,,,,31,78,FBBFBX,thurm002,1,0,,schic002,0,F
,22,5,,,,,32,83,BFLBX,thurm002,1,0,,womat001,0,F
