version,2
info,visteam,ATL
info,hometeam,MON
info,site,MON02
info,date,2000/09/25
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,false
info,umphome,wegnm901
info,ump1b,packs901
info,ump2b,hirsj901
info,ump3b,willc901
info,pitches,pitches
info,temp,72
info,winddir,tolf
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,157
info,attendance,6931
info,wp,glavt001
info,lp,vazqj001
info,save,
start,furcr001,"Rafael Furcal",0,1,6
start,jonea002,"Andruw Jones",0,2,8
start,jonec004,"Chipper Jones",0,3,5
start,galaa001,"Andres Galarraga",0,4,3
start,lopej001,"Javy Lopez",0,5,2
start,jordb001,"Brian Jordan",0,6,9
start,sandr002,"Reggie Sanders",0,7,7
start,lockk001,"Keith Lockhart",0,8,4
start,glavt001,"Tom Glavine",0,9,1
start,bergp001,"Peter Bergeron",1,1,8
start,guerw001,"Wilton Guerrero",1,2,7
start,seguf001,"Fernando Seguignol",1,3,3
start,guerv001,"Vladimir Guerrero",1,4,9
start,vidrj001,"Jose Vidro",1,5,4
start,cabro001,"Orlando Cabrera",1,6,6
start,mordm001,"Mike Mordecai",1,7,5
start,schnb001,"Brian Schneider",1,8,2
start,vazqj001,"Javier Vazquez",1,9,1
play,1,0,furcr001,22,BCBCS,K
play,1,0,jonea002,00,X,HR/7
play,1,0,jonec004,12,SCFBS,K
play,1,0,galaa001,12,FBCS,K
play,1,1,bergp001,02,CCC,K/C
play,1,1,guerw001,10,BX,53/G
play,1,1,seguf001,12,CBCX,S7
play,1,1,guerv001,12,FBSX,S.1-2
play,1,1,vidrj001,00,X,9/F9
play,2,0,lopej001,32,BFBBCFS,K
play,2,0,jordb001,10,BX,43/G
play,2,0,sandr002,22,BCFFBS,K
play,2,1,cabro001,01,CX,63/G
play,2,1,mordm001,21,CBBX,4/P4
play,2,1,schnb001,10,BX,S7/7S
play,2,1,vazqj001,02,CCFS,K
play,3,0,lockk001,02,CCX,6/P6
play,3,0,glavt001,02,CSFS,K
play,3,0,furcr001,12,CFBH,HP
play,3,0,jonea002,01,FX,S7.1X3(71)
play,3,1,bergp001,01,CX,S8
play,3,1,guerw001,12,LBLX,36(1)/FO
play,3,1,seguf001,00,X,64(1)3/GDP
play,4,0,jonec004,00,X,D/89
play,4,0,galaa001,02,SCX,63/G
play,4,0,lopej001,00,X,S7.2-3
play,4,0,jordb001,22,FFBBX,FC5.3XH(52);1-2;B-1#
play,4,0,sandr002,20,BBX,7/F7
play,4,1,guerv001,31,BSBBX,D8/8D
play,4,1,vidrj001,11,CBX,43/G.2-3
play,4,1,cabro001,21,FBBS,CSH(2)
com,"$failed squeeze"
play,4,1,cabro001,32,FBBSBX,S8
play,4,1,mordm001,12,FBSX,S9.1-2
play,4,1,schnb001,10,BX,43/G
play,5,0,lockk001,00,X,E5/G
play,5,0,glavt001,11,LBX,14/SH.1-2
play,5,0,furcr001,21,CBBX,63/G.2-3
play,5,0,jonea002,22,BCBSFFX,7/F7
play,5,1,vazqj001,32,BBBCCS,K
play,5,1,bergp001,02,FSX,13/G
play,5,1,guerw001,00,X,T8
play,5,1,seguf001,32,BCFFBBX,63/G
play,6,0,jonec004,32,BFCBFFBX,S9
play,6,0,galaa001,00,X,S9.1-2
play,6,0,lopej001,12,CBFS,K
play,6,0,jordb001,10,BX,7/F7D.2-3
play,6,0,sandr002,00,X,E5/G.3-H(NR)(UR);1-3;B-2
play,6,0,lockk001,30,IIII,IW
play,6,0,glavt001,02,CCS,K
play,6,1,guerv001,00,X,3/FL
play,6,1,vidrj001,11,BFX,43/G
play,6,1,cabro001,00,X,63/G
play,7,0,furcr001,10,BX,63/G
play,7,0,jonea002,31,BFBBX,5/P5
play,7,0,jonec004,11,CBX,43/G
play,7,1,mordm001,01,CX,8/F8
play,7,1,schnb001,11,BFX,43/G
play,7,1,vazqj001,12,CBFX,9/F9S
play,8,0,galaa001,12,CBFC,K/C
play,8,0,lopej001,12,SSBX,S8
play,8,0,jordb001,12,CFBS,K
play,8,0,sandr002,12,CCBFX,D9.1-3
play,8,0,lockk001,10,BX,S9.3-H;2-H
play,8,0,glavt001,32,FBBSBB,W.1-2
play,8,0,furcr001,02,CCX,43/G
play,8,1,bergp001,11,CBX,63/G
play,8,1,guerw001,01,SX,143/G
play,8,1,seguf001,10,BX,7/F7S
play,9,0,jonea002,00,,NP
sub,nunnt001,"Talmadge Nunnari",1,9,3
play,9,0,jonea002,00,,NP
sub,motag001,"Guillermo Mota",1,3,1
play,9,0,jonea002,00,X,8/F8
play,9,0,jonec004,00,X,S9
play,9,0,galaa001,32,BFBBFH,HP.1-2
play,9,0,lopej001,22,BCBFFX,S8.2-H;1-2
play,9,0,jordb001,00,,NP
sub,lombg001,"George Lombard",0,4,12
play,9,0,jordb001,02,FFX,S8.2-H;1-2
play,9,0,sandr002,12,CCBS,K
play,9,0,lockk001,22,BCSBX,4/L4
play,9,1,guerv001,00,,NP
sub,joynw001,"Wally Joyner",0,4,3
play,9,1,guerv001,10,BX,63/G
play,9,1,vidrj001,10,BX,63/G
play,9,1,cabro001,21,BFBX,8/F8
data,er,glavt001,0
data,er,vazqj001,3
data,er,motag001,2
