id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
bergp001,PIT200004110,1,8,5,5,3,0,2,1,1,2,0,1,0,0,1,0,0,0,0,0,0,PIT,0,1,0
vidrj001,PIT200004110,2,4,5,5,3,0,2,4,0,1,0,0,2,0,0,0,0,0,0,0,0,PIT,0,1,0
whitr001,PIT200004110,3,7,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
guerv001,PIT200004110,4,9,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
stevl001,PIT200004110,5,3,4,4,1,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
barrm003,PIT200004110,6,5,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
widgc001,PIT200004110,7,2,4,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
cabro001,PIT200004110,8,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
vazqj001,PIT200004110,9,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
guerw001,PIT200004110,9,11,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
klins002,PIT200004110,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bergp001,PIT200004120,1,8,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
vidrj001,PIT200004120,2,4,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
whitr001,PIT200004120,3,7,4,4,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
guerv001,PIT200004120,4,9,4,3,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,PIT,0,1,0
stevl001,PIT200004120,5,3,4,4,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
barrm003,PIT200004120,6,5,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
widgc001,PIT200004120,7,2,4,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
cabro001,PIT200004120,8,6,3,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
telfa001,PIT200004120,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
guerw001,PIT200004120,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
pavac001,PIT200004120,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
batim001,PIT200004120,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
blumg001,PIT200004120,9,6,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bergp001,PIT200004130,1,8,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
vidrj001,PIT200004130,2,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
jonet004,PIT200004130,2,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
mordm001,PIT200004130,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
whitr001,PIT200004130,3,7,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
guerv001,PIT200004130,4,9,4,4,3,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,PIT,0,1,0
stevl001,PIT200004130,5,3,4,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
widgc001,PIT200004130,6,2,4,4,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
cabro001,PIT200004130,7,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
stris001,PIT200004130,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
guerw001,PIT200004130,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
urbiu001,PIT200004130,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
barrm003,PIT200004130,8,5,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
powej002,PIT200004130,9,1,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
klins002,PIT200004130,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
blumg001,PIT200004130,9,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bergp001,LAN200008210,1,7,5,5,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,LAN,0,1,0
bradm001,LAN200008210,2,8,4,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,LAN,0,1,0
vidrj001,LAN200008210,3,4,4,2,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,LAN,0,1,0
guerv001,LAN200008210,4,9,4,4,2,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,LAN,0,1,0
stevl001,LAN200008210,5,3,4,4,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
blumg001,LAN200008210,6,5,4,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,LAN,0,1,0
cabro001,LAN200008210,7,6,4,3,2,1,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0,LAN,0,1,0
barrm003,LAN200008210,8,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,LAN,0,1,0
hermd001,LAN200008210,9,1,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
stris001,LAN200008210,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
bergp001,LAN200008220,1,7,5,5,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
bradm001,LAN200008220,2,8,5,5,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
vidrj001,LAN200008220,3,4,4,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
mordm001,LAN200008220,3,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
