advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,02,1,clayr001,,,,0,3,FCX,herno001,0,0,clayr001 singles. ,clayr001,0,
,32,1,,clayr001,,,1,9,CBBSBS,herno001,1,0,curtc001 strikes out. clayr001 steals 2B. ,curtc001,0,
clayr001 to 3B. ,00,1,,,clayr001,,2,10,X,herno001,1,0,,rodri001,0,F
,22,1,,,clayr001,,3,15,BBCCS,herno001,1,0,palmr001 strikes out. ,palmr001,0,
,01,1,,,,,4,2,CX,rogek001,1,0,knobc001 grounds out. ,knobc001,1,G
,31,1,,,,,5,7,BBCBX,rogek001,1,0,jeted001 grounds out. ,jeted001,1,G
,01,1,oneip001,,,,6,9,CX,rogek001,0,0,oneip001 singles. ,oneip001,1,
,02,1,,oneip001,,willb002,7,12,CCB,rogek001,0,0,oneip001 steals 2B. ,willb002,1,
oneip001 scores. ,32,1,willb002,,,,8,19,CCBFBBX,rogek001,0,1,willb002 singles. ,willb002,1,
,32,1,willb002,,,,9,28,CBFFBBFFS,rogek001,1,0,martt002 strikes out. ,martt002,1,
,31,2,segud001,,,,10,20,BBBCX,herno001,0,0,segud001 singles. ,segud001,0,
segud001 to 2B. ,30,2,mater001,segud001,,,11,24,BBBB,herno001,0,0,mater001 walks. ,mater001,0,
,00,2,mater001,segud001,,,12,25,X,herno001,1,0,,kaplg001,0,P
segud001 to 3B. mater001 to 2B. ,32,2,alicl001,mater001,segud001,,13,32,SBFBBFB,herno001,0,0,alicl001 walks. ,alicl001,0,
,32,2,alicl001,mater001,segud001,,14,38,CBBBFS,herno001,1,0,evant001 strikes out. ,evant001,0,
segud001 scores. mater001 to 3B. alicl001 to 2B. ,00,2,clayr001,alicl001,mater001,,15,39,X,herno001,0,1,clayr001 reaches on error. ,clayr001,0,G
alicl001 to 3B. clayr001 to 2B. mater001 out. ,12,2,curtc001,clayr001,alicl001,,16,44,BCCFX,herno001,1,0,curtc001 reaches on fielder's choice. ,curtc001,0,
,32,2,,,,,17,36,CBFBFBFX,rogek001,1,0,kellb002 grounds out. ,kellb002,1,G
,00,2,,,,,18,37,X,rogek001,1,0,posaj001 grounds out. ,posaj001,1,G
,22,2,,,,,19,42,FSBBX,rogek001,1,0,,spens001,1,F
,01,3,,,,,20,46,FX,herno001,1,0,rodri001 grounds out. ,rodri001,0,G
,31,3,,,,,21,51,CBBBX,herno001,1,0,,palmr001,0,F
,20,3,,,,,22,54,BBX,herno001,1,0,,segud001,0,
,21,3,soria001,,,,23,46,BBFX,rogek001,0,0,soria001 reaches on error. ,soria001,1,
,00,3,,,,knobc001,24,47,1,rogek001,1,0,soria001 picked off. ,knobc001,1,
,22,3,,,,,25,53,1BBCFX,rogek001,1,0,knobc001 grounds out. ,knobc001,1,G
,10,3,,,,,26,55,BX,rogek001,1,0,jeted001 grounds out. ,jeted001,1,G
,22,4,,,,,27,59,BCBSX,herno001,1,0,,mater001,0,
,21,4,,,,,28,63,BBFX,herno001,1,0,,kaplg001,0,P
,12,4,,,,,29,67,BSCS,herno001,1,0,alicl001 strikes out. ,alicl001,0,
oneip001 to 2B. ,00,4,,oneip001,,,30,56,X,rogek001,0,0,oneip001 singles. ,oneip001,1,
,11,4,,oneip001,,,31,59,BFX,rogek001,1,0,willb002 grounds out. ,willb002,1,G
,12,4,,oneip001,,,32,64,BCCFS,rogek001,1,0,martt002 strikes out. ,martt002,1,
oneip001 to 3B. ,02,4,,,oneip001,kellb002,33,67,FFB,rogek001,0,0,Passed Ball. ,kellb002,1,
,12,4,,,oneip001,,34,71,FFBC,rogek001,1,0,kellb002 strikes out. ,kellb002,1,
,00,5,,,,,35,68,X,herno001,1,0,,evant001,0,
,10,5,,,,,36,70,BX,herno001,1,0,clayr001 grounds out. ,clayr001,0,G
,32,5,,,,,37,77,BCBCFBX,herno001,1,0,,curtc001,0,P
,00,5,posaj001,,,,38,72,X,rogek001,0,0,posaj001 singles. ,posaj001,1,
posaj001 to 2B. ,11,5,spens001,posaj001,,,39,75,CBX,rogek001,0,0,spens001 singles. ,spens001,1,
,22,5,spens001,posaj001,,,40,80,CBBFC,rogek001,1,0,soria001 strikes out. ,soria001,1,
,20,5,spens001,posaj001,,,41,83,BBX,rogek001,1,0,,knobc001,1,F
,12,5,spens001,posaj001,,,42,87,FSBX,rogek001,1,0,jeted001 grounds out. ,jeted001,1,G
,00,6,,,,,43,78,X,herno001,1,0,,rodri001,0,F
,21,6,palmr001,,,,44,82,BCBX,herno001,0,0,palmr001 singles. ,palmr001,0,
,11,6,,,,,45,85,BCX,herno001,2,0,Double Play. ,segud001,0,
,12,6,oneip001,,,,46,91,FBSX,rogek001,0,0,oneip001 singles. ,oneip001,1,
oneip001 to 2B. ,32,6,willb002,oneip001,,,47,97,BCSBBB,rogek001,0,0,willb002 walks. ,willb002,1,
oneip001 to 3B. willb002 to 2B. ,12,6,,willb002,oneip001,,49,101,CBSX,rogek001,1,0,leyrj001 grounds out. ,leyrj001,1,G
,32,6,kellb002,willb002,oneip001,,50,107,CFBBBB,rogek001,0,0,kellb002 walks. ,kellb002,1,
oneip001 scores. willb002 scores. kellb002 scores. ,01,6,,,posaj001,,51,109,FX,rogek001,0,3,posaj001 triples. ,posaj001,1,
posaj001 scores. ,01,6,spens001,,,,52,111,SX,rogek001,0,1,spens001 singles. ,spens001,1,
spens001 out. ,00,6,soria001,,,,53,112,X,rogek001,1,0,soria001 reaches on fielder's choice. ,soria001,1,
,02,6,soria001,,,,54,115,CFX,rogek001,1,0,,knobc001,1,P
,00,7,,,,,57,86,X,herno001,1,0,,mater001,0,F
,21,7,,,,,58,90,BCBX,herno001,1,0,,kaplg001,0,F
,01,7,,,,,59,92,CX,herno001,1,0,,alicl001,0,F
,30,7,jeted001,,,,60,119,BBBB,rogek001,0,0,jeted001 walks. ,jeted001,1,
,12,7,,,,,61,123,CFBX,rogek001,2,0,Double Play. ,oneip001,1,
,31,7,,,,,62,128,BFBBX,rogek001,1,0,willb002 grounds out. ,willb002,1,G
,02,8,,,,,63,95,CFX,herno001,1,0,,evant001,0,
,20,8,,,,,64,98,BBX,herno001,1,0,,clayr001,0,L
,22,8,curtc001,,,,65,103,CFBBX,herno001,0,0,curtc001 reaches on error. ,curtc001,0,
,22,8,curtc001,,,,66,109,FFBBFX,herno001,1,0,,rodri001,0,F
,22,8,,,,,67,133,BFBSX,rogek001,1,0,,leyrj001,1,F
,12,8,,,,,68,137,CFBX,rogek001,1,0,,kellb002,1,L
,21,8,,,,,69,141,SBBX,rogek001,1,0,,posaj001,1,F
,22,9,,palmr001,,,71,5,BCFBX,stanm003,0,0,palmr001 doubles. ,palmr001,0,
,22,9,,palmr001,,,72,12,BFCBFFX,stanm003,1,0,,segud001,0,F
,12,9,,palmr001,,,73,18,BFCFFS,stanm003,1,0,mater001 strikes out. ,mater001,0,
,12,9,,palmr001,,,74,22,BCFX,stanm003,1,0,,kaplg001,0,P
