version,2
info,visteam,KCA
info,hometeam,NYA
info,site,NYC16
info,date,2000/04/14
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,willc901
info,ump1b,hirsj901
info,ump2b,wegnm901
info,ump3b,reynj901
info,pitches,pitches
info,temp,50
info,winddir,rtol
info,windspeed,12
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,228
info,attendance,33094
info,wp,clemr001
info,lp,witaj001
info,save,rivem002
start,damoj001,"Johnny Damon",0,1,7
start,feblc001,"Carlos Febles",0,2,4
start,beltc001,"Carlos Beltran",0,3,8
start,dye-j001,"Jermaine Dye",0,4,9
start,sweem002,"Mike Sweeney",0,5,3
start,randj002,"Joe Randa",0,6,5
start,quinm001,"Mark Quinn",0,7,10
start,zaung001,"Gregg Zaun",0,8,2
start,sancr001,"Rey Sanchez",0,9,6
start,witaj001,"Jay Witasick",0,0,1
start,knobc001,"Chuck Knoblauch",1,1,4
start,jeted001,"Derek Jeter",1,2,6
start,oneip001,"Paul O'Neill",1,3,9
start,willb002,"Bernie Williams",1,4,8
start,martt002,"Tino Martinez",1,5,3
start,leder001,"Ricky Ledee",1,6,7
start,posaj001,"Jorge Posada",1,7,2
start,spens001,"Shane Spencer",1,8,10
start,delgw001,"Wilson Delgado",1,9,5
start,clemr001,"Roger Clemens",1,0,1
play,1,0,damoj001,32,BFBBCFFX,5/P5
play,1,0,feblc001,00,X,S1/BG1
play,1,0,beltc001,20,BBS,CS2(26)
play,1,0,beltc001,32,BBSBFB,W
play,1,0,dye-j001,11,CBX,7/F7
play,1,1,knobc001,22,BCFFBX,63/G
play,1,1,jeted001,32,CBCBBFFFX,S8
play,1,1,oneip001,22,BSBCB,SB2
play,1,1,oneip001,32,BSBCBX,3/G.2-3
play,1,1,willb002,31,CBBBB,W
play,1,1,martt002,32,CBCBBX,43/G
play,2,0,sweem002,10,BH,HP
play,2,0,randj002,32,CBFBFFBFX,8/F8
play,2,0,quinm001,32,BBFFBB,W.1-2
play,2,0,zaung001,31,BBCBX,31/G.2-3;1-2
play,2,0,sancr001,02,CFX,S8.3-H;2-H
play,2,0,damoj001,32,BBBCCFX,S7.1-2
play,2,0,feblc001,12,FCBX,13/G
play,2,1,leder001,31,BBBCB,W
play,2,1,posaj001,10,BX,HR/9.1-H
play,2,1,spens001,32,BFFBBFC,K/C
play,2,1,delgw001,12,BFCC,K/C
play,2,1,knobc001,32,BFCFBBX,S9
play,2,1,jeted001,02,CFFS,K
play,3,0,beltc001,11,CBX,13/G
play,3,0,dye-j001,10,BX,31/G
play,3,0,sweem002,12,FFBS,K
play,3,1,oneip001,32,BCBFBS,K
play,3,1,willb002,02,CCFX,13/G
