version,2
info,visteam,TBA
info,hometeam,NYA
info,site,NYC16
info,date,2000/05/11
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,iassd901
info,ump1b,hirsm901
info,ump2b,bellw901
info,ump3b,onorb901
info,pitches,pitches
info,temp,74
info,winddir,ltor
info,windspeed,9
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,164
info,attendance,14292
info,wp,tracs001
info,lp,herno001
info,save,lopea002
start,willg001,"Gerald Williams",0,1,8
start,martd002,"Dave Martinez",0,2,9
start,vaugg001,"Greg Vaughn",0,3,7
start,mcgrf001,"Fred McGriff",0,4,3
start,cansj001,"Jose Canseco",0,5,10
start,castv001,"Vinny Castilla",0,6,5
start,flahj001,"John Flaherty",0,7,2
start,stock001,"Kevin Stocker",0,8,6
start,cairm001,"Miguel Cairo",0,9,4
start,tracs001,"Steve Trachsel",0,0,1
start,knobc001,"Chuck Knoblauch",1,1,4
start,jeted001,"Derek Jeter",1,2,6
start,oneip001,"Paul O'Neill",1,3,9
start,willb002,"Bernie Williams",1,4,8
start,martt002,"Tino Martinez",1,5,3
start,posaj001,"Jorge Posada",1,6,2
start,leder001,"Ricky Ledee",1,7,7
start,spens001,"Shane Spencer",1,8,10
start,bross001,"Scott Brosius",1,9,5
start,herno001,"Orlando Hernandez",1,0,1
play,1,0,willg001,32,BCBBCS,K
play,1,0,martd002,22,BBFFX,9/F9
play,1,0,vaugg001,00,X,9/F9
play,1,1,knobc001,00,X,8/F8
play,1,1,jeted001,11,SBX,9/F9
play,1,1,oneip001,31,BBBCX,3/G
play,2,0,mcgrf001,31,BFBBX,7/F7S
play,2,0,cansj001,00,X,S/78
play,2,0,castv001,22,BSBCX,64(1)/FO
play,2,0,flahj001,12,BSFX,2/FL
play,2,1,willb002,12,CCBC,K/C
play,2,1,martt002,22,CBBFX,63/G
play,2,1,posaj001,12,CBFC,K/C
play,3,0,stock001,00,,NP
sub,bellc001,"Clay Bellinger",1,2,6
play,3,0,stock001,01,CX,S9
play,3,0,cairm001,11,BFX,64(1)/FO
play,3,0,willg001,00,B,CS2(24)
play,3,0,willg001,10,BX,8/F8
play,3,1,leder001,12,CBCFX,43/G
play,3,1,spens001,01,SX,9/F9
play,3,1,bross001,32,CBBCBB,W
play,3,1,knobc001,10,BX,4/P4
play,4,0,martd002,21,BBCX,S7
play,4,0,vaugg001,10,BB,OA.1X2(24)
play,4,0,vaugg001,31,BBCBB,W
play,4,0,mcgrf001,02,CSFS,K
play,4,0,cansj001,22,CFBBX,6/F6
play,4,1,bellc001,32,CBCBFFBS,K
play,4,1,oneip001,12,FBFX,8/F8
play,4,1,willb002,21,FBBX,S8
play,4,1,martt002,12,BCFB,WP.1-2
play,4,1,martt002,22,BCFBFFX,63/G
play,5,0,castv001,00,X,S7
play,5,0,flahj001,22,BBFFS,K
play,5,0,stock001,10,BX,54(1)3/GDP
play,5,1,posaj001,22,FBCBX,43/G
play,5,1,leder001,12,CSBC,K/C
play,5,1,spens001,12,BFCC,K/C
play,6,0,cairm001,12,BFCC,K/C
play,6,0,willg001,22,CBBSS,K
play,6,0,martd002,21,BCBX,9/F9
play,6,1,bross001,01,FX,63/G
play,6,1,knobc001,11,CBX,D9
play,6,1,bellc001,01,CX,7/F7D
play,6,1,oneip001,01,FX,S.2-3
play,6,1,willb002,20,BBX,43/G
play,7,0,vaugg001,21,BBFX,53/G
play,7,0,mcgrf001,21,BBFX,HR/9
play,7,0,cansj001,00,X,63/G
play,7,0,castv001,01,SX,43/G
play,7,1,martt002,12,BFSX,13/G
play,7,1,posaj001,00,X,43/G
play,7,1,leder001,32,SFBBBFFFFB,W
play,7,1,spens001,12,BFSX,7/F7
play,8,0,flahj001,02,FSX,4/P4
play,8,0,stock001,32,BBCFFBC,K/C
play,8,0,cairm001,00,X,S
play,8,0,willg001,10,BX,S.1-2
play,8,0,martd002,22,BCBCFX,3/P3
play,8,1,bross001,00,,NP
sub,lopea002,"Albie Lopez",0,0,1
play,8,1,bross001,01,CX,8/F8D
play,8,1,knobc001,21,BBCX,53/G
play,8,1,bellc001,00,,NP
sub,leyrj001,"Jim Leyritz",1,2,11
play,8,1,leyrj001,12,FFBX,53/G
play,9,0,vaugg001,00,,NP
sub,delgw001,"Wilson Delgado",1,2,6
play,9,0,vaugg001,31,BBFBB,W
play,9,0,mcgrf001,00,X,9(B)34(1)/LDP
play,9,0,cansj001,00,X,53/G
play,9,1,oneip001,31,BBFBX,S8
play,9,1,willb002,01,CX,9/F9D
play,9,1,martt002,20,BBX,4/L4
play,9,1,posaj001,21,BCBX,53/G
data,er,tracs001,0
data,er,lopea002,0
data,er,herno001,1
