version,2
info,visteam,OAK
info,hometeam,NYA
info,site,NYC16
info,date,2000/05/29
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,clara901
info,ump1b,buckc901
info,ump2b,reedr901
info,ump3b,wendh902
info,pitches,pitches
info,temp,63
info,winddir,rtol
info,windspeed,15
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,150
info,attendance,41284
info,wp,petta001
info,lp,olivo001
info,save,
start,longt002,"Terrence Long",0,1,8
start,velar001,"Randy Velarde",0,2,4
start,giamj001,"Jason Giambi",0,3,10
start,saeno001,"Olmedo Saenz",0,4,3
start,grieb001,"Ben Grieve",0,5,7
start,tejam001,"Miguel Tejada",0,6,6
start,staim001,"Matt Stairs",0,7,9
start,piata001,"Adam Piatt",0,8,5
start,fasas001,"Sal Fasano",0,9,2
start,olivo001,"Omar Olivares",0,0,1
start,knobc001,"Chuck Knoblauch",1,1,4
start,jeted001,"Derek Jeter",1,2,6
start,oneip001,"Paul O'Neill",1,3,9
start,willb002,"Bernie Williams",1,4,8
start,martt002,"Tino Martinez",1,5,3
start,posaj001,"Jorge Posada",1,6,2
start,spens001,"Shane Spencer",1,7,10
start,leder001,"Ricky Ledee",1,8,7
start,bross001,"Scott Brosius",1,9,5
start,petta001,"Andy Pettitte",1,0,1
play,1,0,longt002,32,CFBFBBX,43/G
play,1,0,velar001,22,CFBBX,13/G
play,1,0,giamj001,20,BBX,D/89D
play,1,0,saeno001,01,CX,63/G
play,1,1,knobc001,01,CX,13/G
play,1,1,jeted001,21,BBFX,63/G
play,1,1,oneip001,10,BX,43/G
play,2,0,grieb001,00,X,43/G
play,2,0,tejam001,11,CBX,53/G
play,2,0,staim001,22,CCBBX,43/G
play,2,1,willb002,00,X,8/L8
play,2,1,martt002,31,CBBBX,7/F7
play,2,1,posaj001,31,BBCBB,W
play,2,1,spens001,32,CFBBBX,8/F8
play,3,0,piata001,21,BBFX,53/G
play,3,0,fasas001,00,X,4/L4
play,3,0,longt002,22,BCFBX,43/G
play,3,1,leder001,11,BFX,3/G
play,3,1,bross001,12,BCFS,K
play,3,1,knobc001,11,BCX,S9
play,3,1,jeted001,12,CFBFX,D7/7S.1-H;B-3(E7)
play,3,1,oneip001,10,BX,3/G
play,4,0,velar001,31,BBBCB,W
play,4,0,giamj001,00,X,7/F7
play,4,0,saeno001,00,H,HP.1-2
play,4,0,grieb001,10,BX,7/F7S
play,4,0,tejam001,01,FX,43/G
play,4,1,willb002,22,BCBFC,K/C
play,4,1,martt002,12,CFBX,8/L8
play,4,1,posaj001,11,BCH,HP
play,4,1,spens001,22,FCBFBX,2/FL
play,5,0,staim001,12,CFBX,43/G
play,5,0,piata001,00,X,43/G
play,5,0,fasas001,32,CBBBFS,K
play,5,1,leder001,32,BCBSBFS,K
play,5,1,bross001,00,X,S8
play,5,1,knobc001,01,CX,64(1)/FO
play,5,1,jeted001,00,X,64(1)/FO
play,6,0,longt002,01,CX,9/F9D
play,6,0,velar001,32,CBFBBFX,63/G
play,6,0,giamj001,12,BCSC,K/C
play,6,1,oneip001,32,FBBSBB,W
play,6,1,willb002,02,CFFX,T/89D.1-H
play,6,1,martt002,02,FCFH,HP
play,6,1,posaj001,32,CBCBBX,E4/G.3-H;1-2
play,6,1,spens001,32,FFBBBX,4(B)4(2)4(1)/LTP
play,7,0,saeno001,11,BFX,53/G
play,7,0,grieb001,00,X,8/F8
play,7,0,tejam001,02,CFFFFS,K
play,7,1,leder001,32,BFFBBFFFX,3/G
play,7,1,bross001,11,CBX,8/F8
play,7,1,knobc001,11,CBX,43/G
play,8,0,staim001,21,CBBX,43/G
play,8,0,piata001,32,BCCBFFFFBFFX,4/P4
play,8,0,fasas001,00,,NP
sub,hernr002,"Ramon Hernandez",0,9,11
play,8,0,hernr002,21,CBBX,143/G
play,8,1,jeted001,00,,NP
sub,hernr002,"Ramon Hernandez",0,9,2
play,8,1,jeted001,12,CFBX,13/G
play,8,1,oneip001,11,BCX,3/L3
play,8,1,willb002,00,X,HR/9
play,8,1,martt002,01,CX,S9
play,8,1,posaj001,00,X,5/FL
play,9,0,longt002,11,CBX,3/G
play,9,0,velar001,11,BFX,HR/78
play,9,0,giamj001,10,BX,31/G
play,9,0,saeno001,00,X,8/F8
data,er,olivo001,4
data,er,petta001,1
