version,2
info,visteam,OAK
info,hometeam,NYA
info,site,NYC16
info,date,2000/05/30
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,buckc901
info,ump1b,reedr901
info,ump2b,wendh902
info,ump3b,clara901
info,pitches,pitches
info,temp,63
info,winddir,ltor
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,214
info,attendance,26360
info,wp,appik001
info,lp,mendr001
info,save,isrij001
start,longt002,"Terrence Long",0,1,8
start,velar001,"Randy Velarde",0,2,4
start,giamj001,"Jason Giambi",0,3,3
start,grieb001,"Ben Grieve",0,4,7
start,saeno001,"Olmedo Saenz",0,5,10
start,staim001,"Matt Stairs",0,6,9
start,tejam001,"Miguel Tejada",0,7,6
start,chave001,"Eric Chavez",0,8,5
start,fasas001,"Sal Fasano",0,9,2
start,appik001,"Kevin Appier",0,0,1
start,knobc001,"Chuck Knoblauch",1,1,4
start,jeted001,"Derek Jeter",1,2,6
start,oneip001,"Paul O'Neill",1,3,9
start,willb002,"Bernie Williams",1,4,8
start,martt002,"Tino Martinez",1,5,3
start,posaj001,"Jorge Posada",1,6,2
start,spens001,"Shane Spencer",1,7,10
start,leder001,"Ricky Ledee",1,8,7
start,bross001,"Scott Brosius",1,9,5
start,mendr001,"Ramiro Mendoza",1,0,1
play,1,0,longt002,32,BCFBBFB,W
play,1,0,velar001,32,BCBBFX,S8/8S.1-3
play,1,0,giamj001,02,FFX,8/F8
play,1,0,grieb001,00,X,64(1)3/GDP
play,1,1,knobc001,11,CBX,HR/7
play,1,1,jeted001,00,X,63/G
play,1,1,oneip001,12,BCFS,K
play,1,1,willb002,21,BCBX,8/F8
play,2,0,saeno001,12,FFFBS,K
play,2,0,staim001,22,FBFBX,S8
play,2,0,tejam001,11,BFX,64(1)3/GDP
play,2,1,martt002,01,CX,HR/9
play,2,1,posaj001,31,BCBBB,W
play,2,1,spens001,22,BCCBX,S8/8S.1-2
play,2,1,leder001,21,BFBX,S7.2-3;1-2
play,2,1,bross001,02,SFS,K
play,2,1,knobc001,21,BCBX,64(1)3/GDP
play,3,0,chave001,00,X,43/G
play,3,0,fasas001,31,BBCBB,W
play,3,0,longt002,21,FBBX,D/89D.1-H
play,3,0,velar001,10,BX,D/78.2-H
play,3,0,giamj001,30,BBBB,W
play,3,0,grieb001,10,BX,9/F9D.2-3
play,3,0,saeno001,00,H,HP.1-2
play,3,0,staim001,11,CBX,43/G
play,3,1,jeted001,01,CX,S8/8S
play,3,1,oneip001,21,BBSX,6/L6
play,3,1,willb002,12,CSBFX,D9.1-H
play,3,1,martt002,21,BBFX,4/P4
play,3,1,posaj001,30,IIII,IW
play,3,1,spens001,31,BBBFB,W.2-3;1-2
play,3,1,leder001,22,BBSFS,K
play,4,0,tejam001,10,BX,53/G
play,4,0,chave001,31,BBBCX,43/G
play,4,0,fasas001,32,BBCFFBFB,W
play,4,0,longt002,00,X,3/G
play,4,1,bross001,01,CX,9/L9
play,4,1,knobc001,02,CFX,7/F7D
play,4,1,jeted001,00,X,HR/8
play,4,1,oneip001,01,CX,S8/8S
play,4,1,willb002,11,SBX,6/P6
play,5,0,velar001,32,BFBCBFB,W
play,5,0,giamj001,10,BB,SB2
play,5,0,giamj001,31,BBCBB,W
play,5,0,grieb001,00,X,E4/TH.2-3;1-2
play,5,0,saeno001,11,CBX,63/G.3-H;2-3;1-2
play,5,0,staim001,11,FBX,S8/8S.3-H;2-H(UR)
play,5,0,tejam001,00,,NP
sub,grimj001,"Jason Grimsley",1,0,1
play,5,0,tejam001,00,X,9/L9
play,5,0,chave001,20,BBX,3/G
play,5,1,martt002,32,BBCBSB,W
play,5,1,posaj001,30,BBBB,W.1-2
play,5,1,spens001,12,BSSX,4/P4
play,5,1,leder001,12,FBSS,K
play,5,1,bross001,11,CBX,9/F9
play,6,0,fasas001,22,CBFBX,8/F8
play,6,0,longt002,11,CBX,S9/9S
play,6,0,velar001,22,BBCCC,K/C
play,6,0,giamj001,00,,NP
sub,stanm003,"Mike Stanton",1,0,1
play,6,0,giamj001,22,BFBSX,S7.1-2
play,6,0,grieb001,21,CBBX,D9.2-H;1-3
play,6,0,saeno001,01,CX,2/FL
play,6,1,knobc001,01,CX,D9
play,6,1,jeted001,00,,NP
sub,matht002,"T.J. Mathews",0,0,1
play,6,1,jeted001,12,CSBS,K
play,6,1,oneip001,00,X,9/L9
play,6,1,willb002,00,X,8/F8
play,7,0,staim001,22,BCBCS,K
play,7,0,tejam001,01,CX,7/F7
play,7,0,chave001,12,BSFS,K
play,7,1,martt002,20,BBX,43/G
play,7,1,posaj001,30,BBBB,W
play,7,1,spens001,00,,NP
sub,tam-j001,"Jeff Tam",0,0,1
play,7,1,spens001,32,BCBSBFX,64(1)/FO
play,7,1,leder001,22,CCBBX,7/L7
play,8,0,fasas001,00,,NP
sub,nelsj001,"Jeff Nelson",1,0,1
play,8,0,fasas001,32,BCFBBX,D9
play,8,0,longt002,11,CBX,FC3.2X3(35);B-1#
play,8,0,velar001,32,FCBBBB,W.1-2
play,8,0,giamj001,02,CCS,K
play,8,0,grieb001,22,CBBCX,S8.2-H;1-3
play,8,0,saeno001,00,,NP
sub,chrir001,"Olmedo Saenz",0,4,12
play,8,0,saeno001,12,BCFS,K
play,8,1,bross001,00,,NP
sub,chrir001,"Olmedo Saenz",0,4,7
play,8,1,bross001,02,CCFX,8/F8
play,8,1,knobc001,02,CFFX,63/G
play,8,1,jeted001,02,CFX,S
play,8,1,oneip001,00,X,43/G
play,9,0,staim001,00,,NP
sub,rivem002,"Mariano Rivera",1,0,1
play,9,0,staim001,02,CCX,5/P5
play,9,0,tejam001,32,BBFBFX,5/L5
play,9,0,chave001,00,X,S
play,9,0,fasas001,12,FBFX,8/F8S
play,9,1,willb002,00,,NP
sub,isrij001,"Jason Isringhausen",0,0,1
play,9,1,willb002,22,CFBBS,K
play,9,1,martt002,22,CBBFX,3/G
play,9,1,posaj001,12,CBFS,K
data,er,appik001,4
data,er,matht002,0
data,er,tam-j001,0
data,er,isrij001,0
data,er,mendr001,4
data,er,grimj001,1
data,er,stanm003,0
data,er,nelsj001,1
data,er,rivem002,0
