id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
eldrc001,0,15,8,2,3,3,85,5,0,7,1,0,0,0,25,23,0,0,0,0
lowes001,0,2,1,2,3,3,29,1,0,1,0,0,0,0,5,3,0,0,0,0
wunsk001,0,1,2,0,1,1,10,1,0,1,1,0,0,0,3,3,0,0,0,0
simab001,0,5,2,0,1,1,28,1,0,2,0,0,0,0,6,6,0,0,0,0
foulk001,0,4,2,0,1,1,20,1,1,0,1,0,0,0,6,6,0,0,0,0
westj001,1,5,7,2,6,6,45,0,1,4,2,0,0,0,14,11,0,0,1,0
grimj001,1,7,4,1,3,3,42,1,1,3,0,0,1,0,13,11,0,0,1,0
erdot001,1,7,3,1,1,1,47,3,0,2,1,0,0,0,11,10,0,0,0,0
nelsj001,1,5,0,0,0,0,17,1,0,0,0,0,0,0,5,5,0,0,0,0
stanm003,1,3,1,0,0,0,16,0,0,1,0,0,0,1,5,4,0,0,0,0
