version,2
info,visteam,PHI
info,hometeam,NYA
info,site,NYC16
info,date,2000/07/18
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,bellw901
info,ump1b,onorb901
info,ump2b,iassd901
info,ump3b,hirsm901
info,pitches,pitches
info,temp,85
info,winddir,rtol
info,windspeed,15
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,149
info,attendance,40013
info,wp,neagd001
info,lp,schic002
info,save,rivem002
start,gland001,"Doug Glanville",0,1,8
start,gantr001,"Ron Gant",0,2,7
start,abreb001,"Bobby Abreu",0,3,9
start,roles001,"Scott Rolen",0,4,5
start,burrp001,"Pat Burrell",0,5,10
start,huntb001,"Brian R. Hunter",0,6,3
start,ariaa001,"Alex Arias",0,7,6
start,moram001,"Mickey Morandini",0,8,4
start,print001,"Tom Prince",0,9,2
start,schic002,"Curt Schilling",0,0,1
start,knobc001,"Chuck Knoblauch",1,1,10
start,jeted001,"Derek Jeter",1,2,6
start,oneip001,"Paul O'Neill",1,3,9
start,willb002,"Bernie Williams",1,4,8
start,justd001,"David Justice",1,5,7
start,martt002,"Tino Martinez",1,6,3
start,posaj001,"Jorge Posada",1,7,2
start,bross001,"Scott Brosius",1,8,5
start,vizcj001,"Jose Vizcaino",1,9,4
start,neagd001,"Denny Neagle",1,0,1
play,1,0,gland001,22,BCBCFX,S8/8S
play,1,0,gantr001,00,X,5/FL
play,1,0,abreb001,02,CFB,WP.1-2
play,1,0,abreb001,32,CFBBBFX,3/G.2-3
play,1,0,roles001,11,SBX,3/FL
play,1,1,knobc001,02,CFFFX,8/F8
play,1,1,jeted001,00,X,63/G
play,1,1,oneip001,32,BBCBFX,8/F8D
play,2,0,burrp001,32,CBCBBB,W
play,2,0,huntb001,11,FBX,8/F8
play,2,0,ariaa001,01,CX,S9/9S.1-3
play,2,0,moram001,02,CCFS,K
play,2,0,print001,01,CX,8/F8
play,2,1,willb002,22,BBFFS,K
play,2,1,justd001,22,CFBBX,43/G
play,2,1,martt002,22,BCBFS,K
play,3,0,gland001,00,X,9/FL
play,3,0,gantr001,00,X,63/G
play,3,0,abreb001,10,BX,8/F8
play,3,1,posaj001,32,BBCBFB,W
play,3,1,bross001,10,BX,64(1)3/GDP
play,3,1,vizcj001,32,CBBFBX,7/F7
play,4,0,roles001,22,CCFFBFBFX,S7/7S
play,4,0,burrp001,32,SBCBBX,7/F7
play,4,0,huntb001,01,FB,OA.1X2(24)#
play,4,0,huntb001,31,FBBBB,W
play,4,0,ariaa001,22,BCBFX,4/P4
play,4,1,knobc001,11,CBX,9/F9
play,4,1,jeted001,21,BCBX,8/F8D
play,4,1,oneip001,20,BBX,S9
play,4,1,willb002,10,BX,43/G
play,5,0,moram001,00,X,D/89D
play,5,0,print001,00,X,2/BP2
play,5,0,gland001,21,BBCX,7/F7D
play,5,0,gantr001,31,BSBBX,9/F9
play,5,1,justd001,10,BX,HR/9
play,5,1,martt002,00,X,7/L7
play,5,1,posaj001,12,FBSS,K
play,5,1,bross001,12,FCBX,43/G
play,6,0,abreb001,21,BCBX,9/F9
play,6,0,roles001,22,FBFFBX,31/G
play,6,0,burrp001,02,SFX,43/G
play,6,1,vizcj001,00,X,7/F7
play,6,1,knobc001,32,CCBBBB,W
play,6,1,jeted001,02,CFX,S9/9S.1-2
play,6,1,oneip001,22,CBBSX,1/G.2-3;1-2
play,6,1,willb002,20,BBX,T9.3-H;2-H
play,6,1,justd001,10,BX,7/F7
play,7,0,huntb001,32,SBBBFX,8/F8
play,7,0,ariaa001,12,CCBX,7/F7D
play,7,0,moram001,02,CCS,K
play,7,1,martt002,11,BCX,9/F9D
play,7,1,posaj001,20,BBX,7/F7
play,7,1,bross001,02,CSS,K23
play,8,0,print001,00,,NP
sub,sefck001,"Kevin Sefcik",0,9,11
play,8,0,sefck001,32,BBBCFX,8/F8
play,8,0,gland001,11,CBX,9/F9S
play,8,0,gantr001,21,FBBX,HR/8
play,8,0,abreb001,02,CCS,K
play,8,1,vizcj001,00,,NP
sub,benng001,"Gary Bennett",0,9,2
play,8,1,vizcj001,00,X,7/F7
play,8,1,knobc001,12,BCCFC,K/C
play,8,1,jeted001,32,CBSBBFB,W
play,8,1,oneip001,12,SCFBX,64(1)/FO
play,9,0,roles001,00,,NP
sub,rivem002,"Mariano Rivera",1,0,1
play,9,0,roles001,11,CBX,3/G
play,9,0,burrp001,22,BFCFBFC,K/C
play,9,0,huntb001,32,CBFBBX,2/FL
data,er,schic002,3
data,er,neagd001,1
data,er,rivem002,0
