version,2
info,visteam,KCA
info,hometeam,NYA
info,site,NYC16
info,date,2000/08/02
info,number,0
info,starttime,12:05PM
info,daynight,day
info,usedh,true
info,umphome,wegnm901
info,ump1b,katzt901
info,ump2b,reynj901
info,ump3b,hirsj901
info,pitches,pitches
info,temp,76
info,winddir,tocf
info,windspeed,5
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,177
info,attendance,38993
info,wp,steib002
info,lp,neagd001
info,save,bottr001
start,damoj001,"Johnny Damon",0,1,10
start,feblc001,"Carlos Febles",0,2,4
start,quinm001,"Mark Quinn",0,3,7
start,dye-j001,"Jermaine Dye",0,4,9
start,randj002,"Joe Randa",0,5,5
start,mccad001,"David McCarty",0,6,3
start,ortih001,"Hector Ortiz",0,7,2
start,dunwt001,"Todd Dunwoody",0,8,8
start,ordal001,"Luis Ordaz",0,9,6
start,steib002,"Blake Stein",0,0,1
start,knobc001,"Chuck Knoblauch",1,1,10
start,jeted001,"Derek Jeter",1,2,6
start,oneip001,"Paul O'Neill",1,3,9
start,willb002,"Bernie Williams",1,4,8
start,justd001,"David Justice",1,5,7
start,martt002,"Tino Martinez",1,6,3
start,turnc001,"Chris Turner",1,7,2
start,vizcj001,"Jose Vizcaino",1,8,4
start,bross001,"Scott Brosius",1,9,5
start,neagd001,"Denny Neagle",1,0,1
play,1,0,damoj001,00,X,S/89S
play,1,0,feblc001,00,X,S5/BG5.1-2
play,1,0,quinm001,22,FSFBBFX,63/G.2-3;1-2
play,1,0,dye-j001,32,BBBSCS,K
play,1,0,randj002,22,BBSCFS,K
play,1,1,knobc001,30,BBBB,W
play,1,1,jeted001,01,CX,46(1)3/GDP
play,1,1,oneip001,22,BCBFS,K
play,2,0,mccad001,10,BX,D8/8D
play,2,0,ortih001,12,CFBFX,S9/9S.2-3
play,2,0,dunwt001,10,BX,D/89D.3-H;1-3
play,2,0,ordal001,22,CBBFX,8/SF.3-H;2-3
play,2,0,damoj001,02,CCX,D7.3-H
play,2,0,feblc001,22,CBCBC,K/C
play,2,0,quinm001,00,X,43/G
play,2,1,willb002,31,CBBBX,6/L6
play,2,1,justd001,01,CX,8/F8
play,2,1,martt002,32,BBBCFB,W
play,2,1,turnc001,32,BBFSBFX,8/F8
play,3,0,dye-j001,21,BBFX,S8
play,3,0,randj002,21,FBBX,9/F9
play,3,0,mccad001,02,CCS,K
play,3,0,ortih001,22,BFBFX,6/P6
play,3,1,vizcj001,22,BBCFC,K/C
play,3,1,bross001,30,BBBB,W
play,3,1,knobc001,12,CBCFX,S9.1-2
play,3,1,jeted001,11,BFX,9/F9D
play,3,1,oneip001,10,BX,7/F7
play,4,0,dunwt001,10,BX,S9
play,4,0,ordal001,00,X,13/SH.1-2
play,4,0,damoj001,22,BFBFS,K
play,4,0,feblc001,32,BBFBCX,7/F7D
play,4,1,willb002,01,CX,7/L7
play,4,1,justd001,22,BCBCS,K
play,4,1,martt002,32,BFBBFS,K
play,5,0,quinm001,11,SBX,S8
play,5,0,dye-j001,10,BX,9/F9D
play,5,0,randj002,00,X,54(1)3/GDP
play,5,1,turnc001,00,X,63/G
play,5,1,vizcj001,32,CBBBCB,W
play,5,1,bross001,20,BBX,8/F8
play,5,1,knobc001,00,B,CS2(24)
play,6,0,mccad001,00,X,63/G
play,6,0,ortih001,00,X,S8
play,6,0,dunwt001,12,FSBS,K
play,6,0,ordal001,01,SB,WP.1-2
play,6,0,ordal001,11,SBX,43/G
play,6,1,knobc001,11,BFX,43/G
play,6,1,jeted001,01,CX,53/G
play,6,1,oneip001,01,CX,8/F8S
play,7,0,damoj001,10,BX,S9/9S
play,7,0,feblc001,00,X,3E4/SH.1-2
play,7,0,quinm001,11,BSX,7/F7
play,7,0,dye-j001,00,B,BK.2-3;1-2
play,7,0,dye-j001,30,BIII,IW
play,7,0,randj002,00,X,53/G.3-H(UR);2-3;1-2
play,7,0,mccad001,21,SBBX,13/G
play,7,1,willb002,32,BBBCCB,W
play,7,1,justd001,00,X,7/F7S
play,7,1,martt002,31,BBBCX,7/F7
play,7,1,turnc001,30,BBBB,W.1-2
play,7,1,vizcj001,12,CCBC,K/C
play,8,0,ortih001,30,BBBB,W
play,8,0,dunwt001,00,,NP
sub,grimj001,"Jason Grimsley",1,0,1
play,8,0,dunwt001,22,BSBFS,K
play,8,0,ordal001,30,BBBB,W.1-2
play,8,0,damoj001,10,BX,64(1)3/GDP
play,8,1,bross001,01,CX,8/F8
play,8,1,knobc001,11,BCH,HP
play,8,1,jeted001,12,BFFX,S/78.1-3
play,8,1,oneip001,21,BFBX,7/SF.3-H
play,8,1,willb002,31,BBBCX,7/F7D
play,9,0,feblc001,00,X,53/G
play,9,0,quinm001,01,CX,53/G
play,9,0,dye-j001,02,CFS,K
play,9,1,justd001,00,,NP
sub,bottr001,"Ricky Bottalico",0,0,1
play,9,1,justd001,11,CBX,3/G
play,9,1,martt002,00,X,9/F9
play,9,1,turnc001,32,BCBBCFB,W
play,9,1,vizcj001,01,SX,8/F8
data,er,steib002,1
data,er,bottr001,0
data,er,neagd001,3
data,er,grimj001,0
