id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
knobc001,NYA200010210,1,10,6,4,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,NYN,1,5,0
jeted001,NYA200010210,2,6,6,4,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
justd001,NYA200010210,3,7,5,4,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
bellc001,NYA200010210,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
hillg001,NYA200010210,3,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
willb002,NYA200010210,4,8,6,4,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NYN,1,5,0
martt002,NYA200010210,5,3,6,6,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
posaj001,NYA200010210,6,2,6,5,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,NYN,1,5,0
oneip001,NYA200010210,7,9,6,4,1,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,NYN,1,5,0
bross001,NYA200010210,8,5,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
polol001,NYA200010210,8,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
sojol001,NYA200010210,8,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
vizcj001,NYA200010210,9,4,6,6,4,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
knobc001,NYA200010220,1,10,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
jeted001,NYA200010220,2,6,5,5,3,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
justd001,NYA200010220,3,7,5,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NYN,1,5,0
bellc001,NYA200010220,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
willb002,NYA200010220,4,8,5,3,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NYN,1,5,0
martt002,NYA200010220,5,3,5,5,3,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
posaj001,NYA200010220,6,2,5,3,2,2,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,NYN,1,5,0
oneip001,NYA200010220,7,9,4,4,3,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,NYN,1,5,0
bross001,NYA200010220,8,5,4,3,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,NYN,1,5,0
vizcj001,NYA200010220,9,4,4,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NYN,1,5,0
vizcj001,NYN200010240,1,4,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
polol001,NYN200010240,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
jeted001,NYN200010240,2,6,5,4,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
justd001,NYN200010240,3,7,5,3,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,NYN,0,5,0
willb002,NYN200010240,4,8,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
martt002,NYN200010240,5,3,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
posaj001,NYN200010240,6,2,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,NYN,0,5,0
oneip001,NYN200010240,7,9,4,4,3,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NYN,0,5,0
bross001,NYN200010240,8,5,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NYN,0,5,0
hillg001,NYN200010240,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
sojol001,NYN200010240,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
herno001,NYN200010240,9,1,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,NYN,0,5,0
stanm003,NYN200010240,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
knobc001,NYN200010240,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
jeted001,NYN200010250,1,6,5,5,2,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,NYN,0,5,0
sojol001,NYN200010250,2,4,5,4,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,NYN,0,5,0
justd001,NYN200010250,3,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
bellc001,NYN200010250,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
willb002,NYN200010250,4,8,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
martt002,NYN200010250,5,3,4,4,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
oneip001,NYN200010250,6,9,4,4,2,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,NYN,0,5,0
posaj001,NYN200010250,7,2,4,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NYN,0,5,0
bross001,NYN200010250,8,5,4,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,NYN,0,5,0
neagd001,NYN200010250,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
coned001,NYN200010250,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
cansj001,NYN200010250,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
nelsj001,NYN200010250,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
stanm003,NYN200010250,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
rivem002,NYN200010250,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
vizcj001,NYN200010260,1,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
knobc001,NYN200010260,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
stanm003,NYN200010260,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
hillg001,NYN200010260,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
rivem002,NYN200010260,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
jeted001,NYN200010260,2,6,4,4,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,NYN,0,5,0
justd001,NYN200010260,3,7,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
bellc001,NYN200010260,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
willb002,NYN200010260,4,8,4,3,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,NYN,0,5,0
martt002,NYN200010260,5,3,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
oneip001,NYN200010260,6,9,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
posaj001,NYN200010260,7,2,4,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
bross001,NYN200010260,8,5,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
petta001,NYN200010260,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
sojol001,NYN200010260,9,4,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,0,5,0
knobc001,OAK200010030,1,10,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
jeted001,OAK200010030,2,6,4,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,OAK,0,3,0
oneip001,OAK200010030,3,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,OAK,0,3,0
willb002,OAK200010030,4,8,4,4,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
justd001,OAK200010030,5,7,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
martt002,OAK200010030,6,3,4,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,OAK,0,3,0
posaj001,OAK200010030,7,2,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
sojol001,OAK200010030,8,4,3,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
hillg001,OAK200010030,8,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
bross001,OAK200010030,9,5,4,4,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
jeted001,OAK200010040,1,6,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
posaj001,OAK200010040,2,2,5,3,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,OAK,0,3,0
justd001,OAK200010040,3,7,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
bellc001,OAK200010040,3,7,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
willb002,OAK200010040,4,8,5,5,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,OAK,0,3,0
martt002,OAK200010040,5,3,4,4,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
oneip001,OAK200010040,6,9,4,2,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,OAK,0,3,0
hillg001,OAK200010040,7,10,4,4,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
sojol001,OAK200010040,8,4,4,3,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
vizcj001,OAK200010040,8,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OAK,0,3,0
bross001,OAK200010040,9,5,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,OAK,0,3,0
jeted001,NYA200010060,1,6,4,4,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,OAK,1,3,0
posaj001,NYA200010060,2,2,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,OAK,1,3,0
justd001,NYA200010060,3,7,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,OAK,1,3,0
willb002,NYA200010060,4,8,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,OAK,1,3,0
martt002,NYA200010060,5,3,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,OAK,1,3,0
oneip001,NYA200010060,6,9,4,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,OAK,1,3,0
hillg001,NYA200010060,7,10,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,OAK,1,3,0
knobc001,NYA200010060,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OAK,1,3,0
sojol001,NYA200010060,8,4,4,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,OAK,1,3,0
