id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
herno001,NYN200007070,24,5,2,1,1,103,4,0,3,1,1,0,0,30,26,0,1,1,0,NYN,0,1,1
rivem002,NYN200007070,3,1,0,0,0,13,0,0,1,0,0,0,0,4,4,0,0,0,0,NYN,0,1,0
goodd001,NYN200007081,15,6,1,2,2,79,1,0,4,2,0,0,0,22,20,0,1,0,0,NYN,0,1,1
grimj001,NYN200007081,5,0,1,0,0,25,0,0,0,0,0,0,0,6,4,0,1,0,0,NYN,0,1,0
nelsj001,NYN200007081,4,0,0,0,0,17,1,0,0,0,0,0,0,4,4,0,0,0,0,NYN,0,1,0
rivem002,NYN200007081,3,0,0,0,0,11,1,0,0,0,0,0,0,3,3,0,0,0,0,NYN,0,1,0
petta001,NYN200007090,19,5,4,2,2,103,4,1,3,1,0,1,0,27,22,0,1,0,0,NYN,0,1,1
nelsj001,NYN200007090,4,0,1,0,0,27,1,0,0,0,0,1,0,5,3,0,0,1,0,NYN,0,1,0
choar001,NYN200007090,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,NYN,0,1,0
grimj001,NYN200007090,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,NYN,0,1,0
grimj001,TBA200006300,7,9,1,4,4,66,3,0,9,0,0,0,0,17,16,0,0,0,0,TBA,0,1,1
dingc001,TBA200006300,8,1,2,0,0,40,2,0,1,0,0,0,0,10,8,0,0,0,0,TBA,0,1,0
stanm003,TBA200006300,6,1,4,0,0,46,0,0,1,0,0,0,0,11,7,0,0,0,0,TBA,0,1,0
nelsj001,TBA200006300,2,1,4,2,2,27,1,0,0,1,0,0,0,6,2,0,0,0,0,TBA,0,1,0
erdot001,TBA200006300,1,0,0,0,0,11,0,0,0,0,0,0,0,2,2,0,0,0,0,TBA,0,1,0
herno001,TBA200007010,17,4,1,1,1,83,3,1,2,1,0,0,0,21,20,0,0,0,0,TBA,0,1,1
choar001,TBA200007010,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,TBA,0,1,0
nelsj001,TBA200007010,3,0,0,0,0,7,1,0,0,0,0,0,0,3,3,0,0,0,0,TBA,0,1,0
stanm003,TBA200007010,3,1,1,0,0,17,0,0,1,0,0,0,0,5,4,0,0,0,0,TBA,0,1,0
rivem002,TBA200007010,3,0,0,0,0,6,1,0,0,0,0,0,0,3,3,0,0,0,0,TBA,0,1,0
clemr001,TBA200007020,21,3,2,1,1,86,5,0,3,0,0,0,1,27,24,0,0,0,0,TBA,0,1,1
choar001,TBA200007020,2,1,0,1,0,19,0,0,0,0,1,0,0,4,4,0,0,0,0,TBA,0,1,0
rivem002,TBA200007020,4,0,1,0,0,18,2,0,0,0,0,0,0,5,4,0,0,0,0,TBA,0,1,0
herno001,TBA200009260,24,2,1,1,1,97,6,1,1,0,0,0,0,26,25,0,0,0,0,TBA,0,1,1
nelsj001,TBA200009260,1,0,1,1,1,8,0,0,0,0,0,0,0,2,0,0,1,0,0,TBA,0,1,0
stanm003,TBA200009260,1,1,1,0,0,9,0,0,1,0,0,0,0,3,2,0,0,0,1,TBA,0,1,0
neagd001,TBA200009270,9,3,2,5,4,51,0,2,1,0,0,0,0,14,11,0,1,0,0,TBA,0,1,1
keisr001,TBA200009270,9,4,3,4,4,48,0,1,3,0,0,0,0,15,12,0,0,0,0,TBA,0,1,0
tessj001,TBA200009270,3,1,1,1,1,16,0,0,0,1,0,0,0,5,4,0,0,0,1,TBA,0,1,0
grimj001,TBA200009270,3,1,1,1,1,16,0,0,0,1,0,0,0,5,3,0,0,1,0,TBA,0,1,0
clemr001,TBA200009280,12,7,1,6,6,67,4,3,3,1,0,0,0,19,18,0,0,0,0,TBA,0,1,1
goodd001,TBA200009280,6,3,1,2,0,37,1,0,2,1,0,0,0,11,10,0,0,0,1,TBA,0,1,0
choar001,TBA200009280,2,1,0,1,1,13,0,0,1,0,0,0,0,3,3,0,0,0,0,TBA,0,1,0
grimj001,TBA200009280,0,1,1,2,2,10,0,1,0,0,0,1,0,2,1,0,0,0,0,TBA,0,1,0
dingc001,TBA200009280,4,3,0,0,0,23,2,0,3,0,0,0,0,7,7,0,0,0,0,TBA,0,1,0
petta001,KCA200009040,22,9,0,3,3,96,3,0,5,4,0,0,0,29,29,0,0,0,0,KCA,0,1,1
nelsj001,KCA200009040,2,1,0,0,0,19,1,0,1,0,0,0,0,4,4,0,0,0,0,KCA,0,1,0
rivem002,KCA200009040,3,2,1,0,0,20,1,0,2,0,0,0,0,6,4,0,1,0,0,KCA,0,1,0
coned001,KCA200009050,8,1,3,1,1,43,1,0,0,1,0,0,0,11,8,0,0,0,0,KCA,0,1,1
goodd001,KCA200009050,16,7,1,3,2,66,1,0,7,0,0,0,0,23,21,0,0,1,0,KCA,0,1,0
stanm003,KCA200009050,3,2,1,1,1,24,1,0,2,0,0,0,0,6,4,0,0,1,0,KCA,0,1,0
herno001,KCA200009060,24,9,1,1,1,122,5,0,8,1,0,0,0,33,32,0,0,0,0,KCA,0,1,1
stanm003,KCA200009060,1,3,0,2,2,13,1,0,2,1,0,0,0,4,4,0,0,0,0,KCA,0,1,0
neagd001,KCA200009070,24,4,0,1,1,94,4,0,4,0,0,0,0,28,25,0,2,1,0,KCA,0,1,1
grimj001,KCA200009070,0,1,1,1,1,10,0,0,1,0,0,0,0,2,1,0,0,0,0,KCA,0,1,0
dingc001,KCA200009070,2,3,0,1,1,9,0,0,3,0,0,0,0,4,4,0,0,0,0,KCA,0,1,0
rivem002,KCA200009070,1,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,KCA,0,1,0
mendr001,TOR200004210,12,7,0,6,6,63,1,1,3,2,1,0,2,20,18,0,0,0,0,TOR,0,1,1
erdot001,TOR200004210,6,3,0,1,1,26,1,0,2,1,0,0,1,10,9,0,0,0,0,TOR,0,1,0
stanm003,TOR200004210,3,1,0,0,0,18,0,0,0,1,0,0,0,4,4,0,0,0,0,TOR,0,1,0
eined001,TOR200004210,2,1,2,1,1,16,0,0,1,0,0,0,0,5,2,0,0,1,0,TOR,0,1,0
watsa001,TOR200004210,1,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,TOR,0,1,0
coned001,TOR200004220,9,8,0,8,7,73,2,3,3,2,0,0,1,19,18,0,0,0,0,TOR,0,1,1
grimj001,TOR200004220,9,0,0,0,0,26,3,0,0,0,0,0,0,9,9,0,0,0,0,TOR,0,1,0
watsa001,TOR200004220,3,1,0,0,0,22,2,0,1,0,0,2,0,4,4,0,0,0,0,TOR,0,1,0
eined001,TOR200004220,3,1,0,0,0,13,0,0,1,0,0,0,0,3,3,0,0,0,0,TOR,0,1,0
herno001,TOR200004230,19,7,2,7,7,96,8,4,2,1,0,0,0,30,28,0,0,0,0,TOR,0,1,1
stanm003,TOR200004230,3,1,0,0,0,16,2,0,1,0,0,0,0,4,4,0,0,0,0,TOR,0,1,0
nelsj001,TOR200004230,2,0,0,0,0,12,0,0,0,0,0,1,0,2,2,0,0,0,0,TOR,0,1,0
rivem002,TOR200004230,3,0,0,0,0,9,2,0,0,0,0,0,0,3,3,0,0,0,0,TOR,0,1,0
petta001,TOR200009190,15,8,3,7,5,91,0,0,6,2,0,0,0,26,23,0,0,0,0,TOR,0,1,1
grimj001,TOR200009190,3,0,1,0,0,22,1,0,0,0,0,1,0,4,3,0,0,0,0,TOR,0,1,0
lillt001,TOR200009190,0,4,0,4,4,11,0,1,1,2,0,0,0,4,4,0,0,0,0,TOR,0,1,0
tessj001,TOR200009190,3,1,0,0,0,18,3,0,1,0,0,0,0,4,4,0,0,0,0,TOR,0,1,0
choar001,TOR200009190,0,2,1,3,3,16,0,0,0,2,0,0,0,3,2,0,0,0,0,TOR,0,1,0
dingc001,TOR200009190,3,4,1,2,2,21,0,0,4,0,0,0,0,7,6,0,0,0,0,TOR,0,1,0
coned001,TOR200009200,11,6,2,7,7,67,1,0,3,2,1,0,1,20,15,0,1,1,0,TOR,0,1,1
goodd001,TOR200009200,13,4,0,0,0,62,5,0,3,1,0,0,0,17,17,0,0,0,0,TOR,0,1,0
herno001,TOR200009210,21,8,1,3,3,101,2,1,3,4,0,0,1,30,27,0,0,1,1,TOR,0,1,1
stanm003,TOR200009210,3,1,0,0,0,11,1,0,1,0,0,0,0,3,3,0,0,0,0,TOR,0,1,0
mendr001,CLE200005010,18,4,1,1,1,96,2,1,3,0,0,0,0,22,21,0,0,0,0,CLE,0,1,1
stanm003,CLE200005010,2,0,0,0,0,10,2,0,0,0,0,0,0,2,2,0,0,0,0,CLE,0,1,0
nelsj001,CLE200005010,2,1,0,0,0,9,1,0,1,0,0,0,0,3,2,0,1,0,0,CLE,0,1,0
rivem002,CLE200005010,5,2,2,0,0,40,1,0,1,1,0,0,0,8,6,0,0,0,0,CLE,0,1,0
petta001,CLE200005020,18,3,2,1,1,114,3,0,3,0,0,0,0,23,21,0,0,0,0,CLE,0,1,1
nelsj001,CLE200005020,6,1,0,0,0,26,2,0,1,0,0,0,0,7,7,0,0,0,0,CLE,0,1,0
rivem002,CLE200005020,3,2,0,1,0,25,1,0,2,0,0,0,0,6,6,0,0,0,0,CLE,0,1,0
coned001,CLE200005030,18,8,3,5,5,110,6,0,5,3,0,2,0,28,25,0,0,0,0,CLE,0,1,1
grimj001,CLE200005030,6,2,1,0,0,41,2,0,2,0,0,0,0,9,8,0,0,0,0,CLE,0,1,0
rivem002,CLE200005030,3,0,1,0,0,15,0,0,0,0,0,0,0,5,3,0,1,0,0,CLE,0,1,0
petta001,CLE200005190,12,4,5,6,3,108,4,2,1,1,0,1,0,23,18,0,0,0,0,CLE,0,1,1
mendr001,CLE200005190,8,4,2,1,1,62,1,0,4,0,0,0,0,14,12,0,0,0,0,CLE,0,1,0
nelsj001,CLE200005190,4,0,0,0,0,21,3,0,0,0,0,0,0,4,4,0,0,0,0,CLE,0,1,0
stanm003,CLE200005190,3,1,0,0,0,17,2,0,0,1,0,0,0,4,4,0,0,0,0,CLE,0,1,0
coned001,CLE200005200,19,6,4,2,2,122,5,1,4,1,0,0,0,27,22,0,1,0,0,CLE,0,1,1
stanm003,CLE200005200,3,0,0,0,0,10,1,0,0,0,0,0,0,3,2,0,0,1,0,CLE,0,1,0
nelsj001,CLE200005200,4,1,5,1,1,45,1,0,1,0,0,1,0,9,4,0,0,0,0,CLE,0,1,0
herno001,CLE200005210,18,9,3,6,5,118,5,3,4,2,0,0,1,31,26,0,0,1,0,CLE,0,1,1
grimj001,CLE200005210,6,2,1,0,0,33,2,0,2,0,0,1,0,8,7,0,0,0,0,CLE,0,1,0
petta001,SEA200004070,15,7,4,5,5,104,6,2,3,2,0,0,0,26,22,1,0,0,1,SEA,0,1,1
mendr001,SEA200004070,6,2,1,1,1,40,1,0,2,0,0,0,0,9,7,0,0,1,0,SEA,0,1,0
stanm003,SEA200004070,3,3,0,1,1,25,2,0,3,0,0,0,0,6,6,0,0,0,0,SEA,0,1,0
herno001,SEA200004080,21,4,2,2,2,118,9,1,2,1,0,0,1,29,26,0,0,0,1,SEA,0,1,1
grimj001,SEA200004080,0,1,0,0,0,4,0,0,1,0,0,0,0,1,1,0,0,0,0,SEA,0,1,0
stanm003,SEA200004080,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,SEA,0,1,0
nelsj001,SEA200004080,2,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,SEA,0,1,0
rivem002,SEA200004080,3,0,0,0,0,11,1,0,0,0,0,0,0,3,3,0,0,0,0,SEA,0,1,0
clemr001,SEA200004090,18,7,3,7,1,122,4,1,5,1,0,0,0,28,23,0,1,1,0,SEA,0,1,1
erdot001,SEA200004090,3,2,1,2,2,15,0,0,1,1,0,0,0,5,4,0,0,0,0,SEA,0,1,0
watsa001,SEA200004090,3,0,2,0,0,22,2,0,0,0,0,0,0,5,3,0,0,0,0,SEA,0,1,0
clemr001,SEA200008280,21,5,4,0,0,126,7,0,5,0,0,0,0,30,26,0,0,0,0,SEA,0,1,1
nelsj001,SEA200008280,3,0,0,0,0,10,0,0,0,0,0,0,0,3,3,0,0,0,0,SEA,0,1,0
grimj001,SEA200008280,3,0,2,1,1,25,0,0,0,0,0,0,0,5,2,0,0,1,0,SEA,0,1,0
petta001,SEA200008290,22,7,1,4,4,106,4,0,6,1,0,0,0,29,28,0,0,0,0,SEA,0,1,1
nelsj001,SEA200008290,2,1,0,1,1,8,1,1,0,0,0,0,0,3,3,0,0,0,0,SEA,0,1,0
coned001,SEA200008300,17,5,4,1,1,124,6,0,5,0,0,1,0,26,22,0,0,0,0,SEA,0,1,1
choar001,SEA200008300,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,SEA,0,1,0
goodd001,SEA200008300,4,2,2,2,2,39,1,1,1,0,0,0,0,9,7,0,0,0,0,SEA,0,1,0
rivem002,SEA200008300,5,1,1,1,1,31,1,0,1,0,0,0,0,7,6,0,0,0,0,SEA,0,1,0
coned001,OAK200008250,9,5,3,6,6,72,3,1,2,2,0,0,1,18,14,0,0,0,0,OAK,0,1,1
choar001,OAK200008250,12,1,1,1,1,43,2,1,0,0,0,0,0,14,13,0,0,0,0,OAK,0,1,0
grimj001,OAK200008250,3,2,0,1,1,23,3,0,0,2,0,0,0,5,5,0,0,0,0,OAK,0,1,0
herno001,OAK200008260,21,5,3,3,3,134,11,1,4,0,0,0,0,29,26,0,0,0,0,OAK,0,1,1
nelsj001,OAK200008260,3,1,0,0,0,18,0,0,1,0,0,0,1,5,4,0,0,0,0,OAK,0,1,0
stanm003,OAK200008260,2,4,1,3,3,26,1,1,2,1,0,0,0,7,6,0,0,0,0,OAK,0,1,0
rivem002,OAK200008260,1,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,OAK,0,1,0
neagd001,OAK200008270,21,6,4,5,5,119,6,3,2,1,0,0,0,30,26,0,0,0,0,OAK,0,1,1
goodd001,OAK200008270,2,0,1,0,0,13,1,0,0,0,0,0,0,3,2,0,0,0,0,OAK,0,1,0
rivem002,OAK200008270,4,0,0,0,0,18,1,0,0,0,0,0,0,4,4,0,0,0,0,OAK,0,1,0
coned001,MON200006050,18,7,2,6,6,108,3,2,2,3,0,0,1,28,25,0,0,0,0,MON,0,1,1
nelsj001,MON200006050,6,1,0,0,0,25,2,0,1,0,0,0,0,7,7,0,0,0,0,MON,0,1,0
grimj001,MON200006060,15,3,3,1,1,82,3,1,1,1,0,0,0,20,17,0,0,0,0,MON,0,1,1
stanm003,MON200006060,8,0,1,0,0,48,5,0,0,0,0,0,0,9,8,0,0,0,0,MON,0,1,0
