id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
youne001,0,1,4,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gutir001,0,2,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gracm001,0,3,3,5,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
sosas001,0,4,9,5,4,3,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
rodrh001,0,5,7,5,5,3,0,2,3,0,0,2,0,1,0,0,0,0,0,0,0,0
reedj001,0,6,2,3,2,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
hillg001,0,6,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
garid001,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
broct001,0,6,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
browr001,0,7,8,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
bufod001,0,7,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
husoj001,0,8,5,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
andrs001,0,8,11,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
farnk001,0,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
guthm001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
giraj001,0,9,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nunnj001,1,1,7,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
moram002,1,1,11,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
belld001,1,2,9,4,3,2,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0
piazm001,1,3,2,4,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ventr001,1,4,5,4,4,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
zeilt001,1,5,3,4,2,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
agbab001,1,6,8,4,3,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0
paytj001,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbok002,1,7,4,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ordor001,1,8,6,4,3,2,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0
sprid001,1,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cookd001,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
wendt001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alfoe001,1,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
benia001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
