id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
daalo001,0,10,8,0,6,4,64,1,0,8,0,0,0,0,20,19,1,1,0,0
sprir001,0,8,1,0,0,0,24,3,0,1,0,0,0,0,8,7,0,0,1,0
swing001,0,3,2,0,2,1,25,2,1,1,0,0,0,0,6,6,0,0,0,0
plesd001,0,3,0,0,0,0,13,1,0,0,0,0,0,0,3,3,0,0,0,0
hampm001,1,18,4,1,0,0,79,4,0,4,0,0,0,0,23,22,0,0,0,0
cookd001,1,3,1,0,0,0,17,2,0,1,0,0,0,0,4,4,0,0,0,0
mahop001,1,3,1,1,2,2,18,1,1,0,0,0,0,0,5,4,0,0,0,0
rodrr004,1,2,4,1,4,4,20,0,0,3,1,0,0,0,6,5,0,0,0,0
franj001,1,0,3,0,1,1,8,0,0,3,0,0,0,0,3,3,0,0,0,0
benia001,1,1,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0
