advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,12,1,,,,,0,4,CBFS,joneb003,1,0,morrw001 strikes out. ,morrw001,0,
,22,1,,,,,1,10,BCCBFS,joneb003,1,0,kendj001 strikes out. ,kendj001,0,
,02,1,,,,,2,13,CSX,joneb003,1,0,,cordw001,0,P
,22,1,,,,,3,5,CLBBS,arrob001,1,0,moram002 strikes out. ,moram002,1,
,12,1,,,,,4,9,FBCC,arrob001,1,0,belld001 strikes out. ,belld001,1,
,10,1,,,,,5,11,BX,arrob001,1,0,,alfoe001,1,L
,01,2,,,,,6,15,CX,joneb003,1,0,gileb002 grounds out. ,gileb002,0,G
,31,2,younk001,,,,7,20,BBFBB,joneb003,0,0,younk001 walks. ,younk001,0,
,32,2,younk001,,,,8,28,CBSBFBFX,joneb003,1,0,,vandj001,0,F
,01,2,younk001,,,,9,30,CX,joneb003,1,0,ramia001 grounds out. ,ramia001,0,G
,32,2,,,,,10,18,BSSFBBX,arrob001,1,0,,piazm001,1,F
,11,2,,,,,11,21,CBX,arrob001,1,0,ventr001 grounds out. ,ventr001,1,G
,22,2,zeilt001,,,,12,26,BCBCX,arrob001,0,0,zeilt001 singles. ,zeilt001,1,
zeilt001 to 3B. ,00,2,,paytj001,zeilt001,,13,27,X,arrob001,0,0,paytj001 doubles. ,paytj001,1,
,30,2,agbab001,paytj001,zeilt001,,14,31,IIII,arrob001,0,0,agbab001 intentionally walks. ,agbab001,1,
zeilt001 scores. paytj001 to 3B. agbab001 to 2B. ,00,2,,agbab001,paytj001,joneb003,15,31,,arrob001,0,1,Balk. ,joneb003,1,
,02,2,,agbab001,paytj001,,16,35,CSFC,arrob001,1,0,joneb003 strikes out. ,joneb003,1,
,22,3,,mearp001,,,17,36,CFBFBX,joneb003,0,0,mearp001 doubles. ,mearp001,0,
mearp001 to 3B. ,10,3,,,mearp001,,18,38,BX,joneb003,1,0,Sacrifice bunt by arrob001.,arrob001,0,
mearp001 scores. ,22,3,,,,,19,43,FBFBX,joneb003,1,1,morrw001 hits sacrifice fly. ,morrw001,0,
,31,3,,,,,20,48,BBBCX,joneb003,1,0,,kendj001,0,F
,11,3,,,,,21,38,CBX,arrob001,1,0,,moram002,1,F
,32,3,belld001,,,,22,44,BCBFBB,arrob001,0,0,belld001 walks. ,belld001,1,
belld001 to 2B. ,11,3,alfoe001,belld001,,,23,47,FBX,arrob001,0,0,alfoe001 singles. ,alfoe001,1,
belld001 scores. alfoe001 scores. ,10,3,,,,,24,49,BX,arrob001,0,3,piazm001 homers. ,piazm001,1,
,12,3,ventr001,,,,25,53,CFBX,arrob001,0,0,ventr001 singles. ,ventr001,1,
ventr001 to 2B. ,01,3,zeilt001,ventr001,,,26,55,CX,arrob001,0,0,zeilt001 singles. ,zeilt001,1,
ventr001 scores. zeilt001 to 3B. paytj001 to 2B. ,10,3,,paytj001,zeilt001,,27,57,BX,arrob001,0,1,paytj001 singles. ,paytj001,1,
,30,3,agbab001,paytj001,zeilt001,,28,61,IIII,arrob001,0,0,agbab001 intentionally walks. ,agbab001,1,
,00,3,agbab001,paytj001,zeilt001,,29,62,X,arrob001,1,0,,joneb003,1,F
zeilt001 scores. paytj001 scores. agbab001 scores. moram002 to 3B. ,22,3,,,moram002,,30,67,FBBFX,arrob001,0,3,moram002 doubles. ,moram002,1,
moram002 scores. belld001 to 2B. ,12,3,,belld001,,,31,71,SBCX,arrob001,0,1,belld001 singles. ,belld001,1,
belld001 scores. alfoe001 to 2B. ,22,3,,alfoe001,,,33,5,CBBFX,wallj001,0,1,alfoe001 singles. ,alfoe001,1,
,32,3,,alfoe001,,,34,12,BSSBFBS,wallj001,1,0,piazm001 strikes out. ,piazm001,1,
,11,4,,cordw001,,,35,51,BFX,joneb003,0,0,cordw001 doubles. ,cordw001,0,
,02,4,,cordw001,,,36,54,CCX,joneb003,1,0,,gileb002,0,F
,21,4,,cordw001,,,37,58,BCBX,joneb003,1,0,,younk001,0,F
,32,4,vandj001,cordw001,,,38,64,BCFBBB,joneb003,0,0,vandj001 walks. ,vandj001,0,
,32,4,vandj001,cordw001,,,39,72,BBBCSFFS,joneb003,1,0,ramia001 strikes out. ,ramia001,0,
,30,4,ventr001,,,,40,16,BBBB,wallj001,0,0,ventr001 walks. ,ventr001,1,
ventr001 to 2B. ,11,4,zeilt001,ventr001,,,41,19,BCX,wallj001,0,0,zeilt001 reaches on error. ,zeilt001,1,G
,12,4,zeilt001,ventr001,,,42,23,CFBX,wallj001,1,0,,paytj001,1,F
ventr001 scores. zeilt001 out. agbab001 to 2B. ,01,4,,agbab001,,,43,25,SX,wallj001,1,1,agbab001 singles. ,agbab001,1,
,12,4,,agbab001,,,44,29,BCSX,wallj001,1,0,,joneb003,1,F
,02,5,,,,,45,75,CFC,joneb003,1,0,mearp001 strikes out. ,mearp001,0,
,00,5,,,,,46,76,X,joneb003,1,0,wallj001 grounds out. ,wallj001,0,G
,32,5,,,,,47,82,BCBBCX,joneb003,1,0,,morrw001,0,
,22,5,,,,,48,34,CBFBX,wallj001,1,0,,moram002,1,F
,10,5,,,,,50,36,BX,wallj001,1,0,,mcewj001,1,P
,21,5,,,,,51,40,BFBX,wallj001,1,0,,alfoe001,1,F
,21,6,,,,,56,86,CBBX,joneb003,1,0,,kendj001,0,F
,22,6,,,,,57,91,CBBFS,joneb003,1,0,cordw001 strikes out. ,cordw001,0,
,01,6,gileb002,,,,58,93,CX,joneb003,0,0,gileb002 singles. ,gileb002,0,
gileb002 to 2B. ,00,6,younk001,gileb002,,,59,94,X,joneb003,0,0,younk001 singles. ,younk001,0,
,22,6,younk001,gileb002,,,60,99,BFCBS,joneb003,1,0,vandj001 strikes out. ,vandj001,0,
