id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
hendr001,PIT200004140,1,7,5,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,PIT,0,1,0
moram002,PIT200004140,1,8,2,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
cookd001,PIT200004140,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
belld001,PIT200004140,2,9,7,7,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
alfoe001,PIT200004140,3,4,7,4,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,PIT,0,1,0
piazm001,PIT200004140,4,2,7,6,5,1,2,4,0,2,1,0,2,0,0,0,0,0,0,0,0,PIT,0,1,0
ventr001,PIT200004140,5,5,7,7,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
zeilt001,PIT200004140,6,3,6,4,3,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
nunnj001,PIT200004140,7,8,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
paytj001,PIT200004140,7,11,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,PIT,0,1,0
ordor001,PIT200004140,8,6,6,4,3,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,PIT,0,1,0
leita001,PIT200004140,9,1,4,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,PIT,0,1,0
wendt001,PIT200004140,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
benia001,PIT200004140,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
franm001,PIT200004140,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
franj001,PIT200004140,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
agbab001,PIT200004140,9,11,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hendr001,PIT200004150,1,7,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
belld001,PIT200004150,2,9,4,4,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,PIT,0,1,0
