id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
agbab001,SFN200010040,1,7,4,3,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
cookd001,SFN200010040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
whitr002,SFN200010040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
mcewj001,SFN200010040,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
harrl001,SFN200010040,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
paytj001,SFN200010040,2,8,4,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,SFN,0,3,0
alfoe001,SFN200010040,3,4,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
piazm001,SFN200010040,4,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
ventr001,SFN200010040,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
zeilt001,SFN200010040,6,3,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
belld001,SFN200010040,7,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
hamid001,SFN200010040,7,9,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
ruscg001,SFN200010040,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
bordm001,SFN200010040,8,6,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
hampm001,SFN200010040,9,1,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
wendt001,SFN200010040,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
peret004,SFN200010040,9,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
peret004,SFN200010050,1,9,5,5,3,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
alfoe001,SFN200010050,2,4,5,5,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,SFN,0,3,0
piazm001,SFN200010050,3,2,5,4,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
zeilt001,SFN200010050,4,3,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
ventr001,SFN200010050,5,5,5,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SFN,0,3,0
agbab001,SFN200010050,6,7,4,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
mcewj001,SFN200010050,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
hamid001,SFN200010050,6,11,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
paytj001,SFN200010050,7,8,5,5,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,SFN,0,3,0
bordm001,SFN200010050,8,6,5,4,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
leita001,SFN200010050,9,1,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,SFN,0,3,0
benia001,SFN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
franj001,SFN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,0,3,0
peret004,NYN200010070,1,9,6,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,SFN,1,3,0
alfoe001,NYN200010070,2,4,6,5,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,SFN,1,3,0
piazm001,NYN200010070,3,2,5,4,1,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,SFN,1,3,0
mcewj001,NYN200010070,3,12,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SFN,1,3,0
ventr001,NYN200010070,4,5,6,5,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,SFN,1,3,0
agbab001,NYN200010070,5,7,6,6,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,SFN,1,3,0
paytj001,NYN200010070,6,8,5,5,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,SFN,1,3,0
zeilt001,NYN200010070,7,3,5,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SFN,1,3,0
whitr002,NYN200010070,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,1,3,0
bordm001,NYN200010070,8,6,4,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,SFN,1,3,0
benia001,NYN200010070,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,1,3,0
pratt001,NYN200010070,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,1,3,0
reedr002,NYN200010070,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,1,3,0
hamid001,NYN200010070,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SFN,1,3,0
cookd001,NYN200010070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,1,3,0
