id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
leita001,PIT200004140,23,6,3,3,2,117,6,2,2,2,0,0,0,33,30,0,0,0,0,PIT,0,1,1
wendt001,PIT200004140,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,PIT,0,1,0
benia001,PIT200004140,3,2,1,1,1,23,3,0,0,1,1,0,0,6,5,0,0,0,1,PIT,0,1,0
franj001,PIT200004140,6,1,0,0,0,39,0,0,1,0,0,0,1,8,7,0,0,0,0,PIT,0,1,0
cookd001,PIT200004140,3,2,1,1,1,20,1,0,1,1,0,1,0,6,5,0,0,0,0,PIT,0,1,0
ruscg001,PIT200004150,24,4,1,2,2,101,5,1,3,0,0,0,0,28,26,0,1,0,0,PIT,0,1,1
joneb003,PIT200004160,0,1,0,2,2,8,0,0,1,0,0,0,1,2,1,0,0,0,0,PIT,0,1,1
mahop001,PIT200004160,12,6,4,5,2,80,2,0,3,3,0,0,0,23,19,0,0,0,0,PIT,0,1,0
wendt001,PIT200004160,6,3,0,2,2,44,3,2,1,0,0,0,0,9,9,0,0,0,0,PIT,0,1,0
cookd001,PIT200004160,6,1,0,0,0,37,0,0,1,0,0,0,0,8,8,0,0,0,0,PIT,0,1,0
benia001,PIT200004160,3,0,0,0,0,14,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
hampm001,PIT200005090,25,6,1,0,0,128,8,0,5,1,0,1,1,33,31,0,0,0,0,PIT,0,1,1
benia001,PIT200005090,2,0,0,0,0,8,1,0,0,0,0,0,0,2,2,0,0,0,0,PIT,0,1,0
reedr002,PIT200005100,15,10,0,6,6,71,1,2,6,0,2,0,0,25,25,0,0,0,0,PIT,0,1,1
wendt001,PIT200005100,2,1,0,0,0,13,1,0,0,1,0,0,0,3,3,1,0,0,0,PIT,0,1,0
cookd001,PIT200005100,1,1,0,2,2,8,1,0,1,0,0,0,1,3,2,0,0,0,0,PIT,0,1,0
mahop001,PIT200005100,0,5,0,3,3,19,0,0,4,1,0,0,0,5,5,0,0,0,0,PIT,0,1,0
