id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
durhr001,0,1,4,5,4,3,1,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0
valej003,0,2,6,5,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
thomf001,0,3,3,5,3,2,2,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
ordom001,0,4,9,5,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
konep001,0,5,10,5,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
singc001,0,6,8,5,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
lee-c001,0,7,7,4,4,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0
wilsc002,0,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nortg001,0,8,5,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
johnm003,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paulj001,0,9,2,3,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
abboj002,0,9,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
beckr002,1,1,8,5,4,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0
menef001,1,2,4,5,3,0,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
giamj001,1,3,3,4,4,3,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0
jahaj001,1,4,10,4,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
mahar001,1,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
staim001,1,5,9,4,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
grieb001,1,6,7,4,4,1,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0
hernr002,1,7,2,4,3,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
chave001,1,8,5,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
chrir001,1,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tejam001,1,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
