id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
eldrc001,0,15,3,5,4,4,99,6,1,1,1,0,0,1,22,16,0,0,0,0
eyres001,0,6,2,1,2,2,40,3,1,1,0,0,0,0,8,7,0,0,0,0
simab001,0,0,0,1,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0
wunsk001,0,2,0,0,0,0,11,2,0,0,0,0,0,0,2,2,0,0,0,0
foulk001,0,4,1,0,0,0,12,0,0,1,0,0,0,0,5,4,0,1,0,0
hereg001,1,18,4,4,2,2,103,8,0,3,1,0,0,0,26,22,0,0,0,1
matht002,1,1,1,2,1,1,14,0,0,0,1,0,0,0,4,2,0,0,0,0
servs001,1,3,1,0,2,2,20,1,0,0,1,0,0,1,4,3,0,0,0,0
magnm001,1,2,1,0,2,1,7,0,1,0,0,0,0,0,4,3,0,0,0,0
tam-j001,1,3,2,1,0,0,16,0,0,2,0,0,0,0,5,4,0,0,0,1
