version,2
info,visteam,KCA
info,hometeam,OAK
info,site,OAK01
info,date,2000/05/16
info,number,0
info,starttime,12:35PM
info,daynight,day
info,usedh,true
info,umphome,kellj901
info,ump1b,coope901
info,ump2b,diazl901
info,ump3b,reilm901
info,pitches,pitches
info,temp,61
info,winddir,torf
info,windspeed,21
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,202
info,attendance,13232
info,wp,reicd001
info,lp,joned001
info,save,spraj001
start,damoj001,"Johnny Damon",0,1,7
start,feblc001,"Carlos Febles",0,2,4
start,sweem002,"Mike Sweeney",0,3,10
start,quinm001,"Mark Quinn",0,4,9
start,randj002,"Joe Randa",0,5,5
start,mccad001,"David McCarty",0,6,3
start,beltc001,"Carlos Beltran",0,7,8
start,fabrj001,"Jorge Fabregas",0,8,2
start,sancr001,"Rey Sanchez",0,9,6
start,durbc001,"Chad Durbin",0,0,1
start,longt002,"Terrence Long",1,1,8
start,velar001,"Randy Velarde",1,2,4
start,giamj001,"Jason Giambi",1,3,3
start,staim001,"Matt Stairs",1,4,10
start,grieb001,"Ben Grieve",1,5,7
start,giamj002,"Jeremy Giambi",1,6,9
start,tejam001,"Miguel Tejada",1,7,6
start,chave001,"Eric Chavez",1,8,5
start,hernr002,"Ramon Hernandez",1,9,2
start,hudst001,"Tim Hudson",1,0,1
play,1,0,damoj001,11,CBX,63/G
play,1,0,feblc001,22,BBCFS,K
play,1,0,sweem002,02,FFX,S8
play,1,0,quinm001,01,S1,PO1(E1).1-2
play,1,0,quinm001,01,S1X,D/89D.2-H(UR)
play,1,0,randj002,00,X,53/G
play,1,1,longt002,11,CBX,HR/9
play,1,1,velar001,31,BCBBX,HR/78
play,1,1,giamj001,32,BCBBCFX,S9
play,1,1,staim001,01,CX,8/F8
play,1,1,grieb001,30,BBBB,W.1-2
play,1,1,giamj002,21,CBBX,S9.2-H;1-3
play,1,1,tejam001,00,,NP
sub,rakej001,"Jason Rakers",0,0,1
play,1,1,tejam001,20,BBB,WP.3-H;1-2
play,1,1,tejam001,31,BBBCX,S9.2-3;B-2(THH)
play,1,1,chave001,12,SBSX,7/SF.3-H
play,1,1,hernr002,10,BX,7/F7
play,2,0,mccad001,01,CX,63/G
play,2,0,beltc001,10,BX,S/78
play,2,0,fabrj001,02,CSS,K
play,2,0,sancr001,10,BX,53/G
play,2,1,longt002,12,BFCX,9/F9
play,2,1,velar001,01,CX,43/G
play,2,1,giamj001,31,BBBCX,S8
play,2,1,staim001,00,B,WP.1-2
play,2,1,staim001,32,BSBCBFC,K/C
play,3,0,damoj001,31,BBBCB,W
play,3,0,feblc001,21,BCBC,SB2.1-3(E2/TH2)
play,3,0,feblc001,22,BCBCS,K
play,3,0,sweem002,01,FX,S7/7S.3-H
play,3,0,quinm001,30,BBBB,W.1-2
play,3,0,randj002,02,SFS,K
play,3,0,mccad001,22,BSBSS,K
play,3,1,grieb001,22,CBBCFFX,D7
play,3,1,giamj002,32,CLBFBBS,K
play,3,1,tejam001,00,X,4(B)6(2)/FDP
play,4,0,beltc001,02,CFS,K
play,4,0,fabrj001,11,BFX,S9
play,4,0,sancr001,01,CX,E5/G.1-2
play,4,0,damoj001,10,BX,D/78D.2-H;1-3
play,4,0,feblc001,32,SBBBFFFB,W
play,4,0,sweem002,32,BSBSBFB,W.3-H;2-3;1-2
play,4,0,quinm001,00,X,64(1)3/GDP
play,4,1,chave001,00,X,6/P6
play,4,1,hernr002,12,BCCX,43/G
play,4,1,longt002,10,BX,53/G
play,5,0,randj002,11,CBX,63/G
play,5,0,mccad001,32,CBBFBS,K
play,5,0,beltc001,32,FBFBBB,W
play,5,0,fabrj001,20,BBC,SB2
play,5,0,fabrj001,32,BBCBSB,W
play,5,0,sancr001,11,FBX,53/G
play,5,1,velar001,00,,NP
sub,reicd001,"Dan Reichert",0,0,1
play,5,1,velar001,32,CBBBCS,K
play,5,1,giamj001,22,CSBBFFX,31/G
play,5,1,staim001,31,BCBBX,E9/F.B-2
play,5,1,grieb001,21,BSBH,HP
play,5,1,giamj002,12,BCCFX,S8.2-H(UR);1-2
play,5,1,tejam001,11,BCX,64(1)/FO.2-3
play,6,0,damoj001,00,,NP
sub,matht002,"T.J. Mathews",1,0,1
play,6,0,damoj001,22,CLFBBX,43/G
play,6,0,feblc001,32,CCFBBBX,43/G
play,6,0,sweem002,32,BCCBBFS,K
play,6,1,chave001,22,BBCFFX,63/G
play,6,1,hernr002,20,BBX,8/F8
play,6,1,longt002,31,CBBBB,W
play,6,1,velar001,02,CCFB,WP.1-2
play,6,1,velar001,32,CCFBBBC,K/C
play,7,0,quinm001,02,CCS,K
play,7,0,randj002,22,CBBCFX,3/FL
play,7,0,mccad001,00,X,HR/78
play,7,0,beltc001,10,BX,S
play,7,0,fabrj001,12,SCBFB,SB2
play,7,0,fabrj001,32,SCBFBBX,S8.2-H
play,7,0,sancr001,12,BFFS,K
play,7,1,giamj001,00,X,31/G
play,7,1,staim001,12,CBCX,S9
play,7,1,grieb001,20,BBX,64(1)3/GDP
play,8,0,damoj001,00,,NP
sub,joned001,"Doug Jones",1,0,1
play,8,0,damoj001,10,BX,7/F7
play,8,0,feblc001,02,CSS,K
play,8,0,sweem002,02,SFX,63/G
play,8,1,giamj002,11,CBX,9/F9
play,8,1,tejam001,12,BCFX,63/G
play,8,1,chave001,01,CX,7/F7
play,9,0,quinm001,12,SFBX,13/G
play,9,0,randj002,20,BBX,S8
play,9,0,mccad001,31,BBBCB,W.1-2
play,9,0,beltc001,00,X,43/G.2-3;1-2
play,9,0,fabrj001,12,CBFX,S8.3-H;2-H;B-2(THH)
play,9,0,sancr001,00,X,53/G
play,9,1,hernr002,00,,NP
sub,spraj001,"Jerry Spradlin",0,0,1
play,9,1,hernr002,22,CBCBX,D9
play,9,1,longt002,32,CBSBBX,7/F7
