version,2
info,visteam,MIN
info,hometeam,OAK
info,site,OAK01
info,date,2000/05/19
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,cuzzp901
info,ump1b,craft901
info,ump2b,lampi901
info,ump3b,schrp901
info,pitches,pitches
info,temp,69
info,winddir,torf
info,windspeed,9
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,155
info,attendance,11422
info,wp,radkb001
info,lp,hereg001
info,save,
start,jonej003,"Jacque Jones",0,1,7
start,hockd001,"Denny Hocking",0,2,6
start,lawtm002,"Matt Lawton",0,3,8
start,coomr001,"Ron Coomer",0,4,3
start,koskc001,"Corey Koskie",0,5,5
start,buchb002,"Brian Buchanan",0,6,9
start,cummm001,"Midre Cummings",0,7,10
start,lecrm001,"Matt LeCroy",0,8,2
start,canij001,"Jay Canizaro",0,9,4
start,radkb001,"Brad Radke",0,0,1
start,longt002,"Terrence Long",1,1,8
start,velar001,"Randy Velarde",1,2,4
start,giamj001,"Jason Giambi",1,3,3
start,staim001,"Matt Stairs",1,4,9
start,grieb001,"Ben Grieve",1,5,7
start,giamj002,"Jeremy Giambi",1,6,10
start,tejam001,"Miguel Tejada",1,7,6
start,chave001,"Eric Chavez",1,8,5
start,hernr002,"Ramon Hernandez",1,9,2
start,hereg001,"Gil Heredia",1,0,1
play,1,0,jonej003,00,X,HR/7
play,1,0,hockd001,22,BCCBX,43/G
play,1,0,lawtm002,30,BBBB,W
play,1,0,coomr001,32,BBCBSB,W.1-2
play,1,0,koskc001,10,BX,7/F7D
play,1,0,buchb002,22,BCCBX,64(1)/FO.2-3
com,"Debut game for Brian Buchanan"
play,1,1,longt002,10,BX,7/L7
play,1,1,velar001,32,CCBBBFB,W
play,1,1,giamj001,00,X,6/P6
play,1,1,staim001,20,BBX,9/F9D
play,2,0,cummm001,00,X,S8/8S
play,2,0,lecrm001,10,BX,64(1)3/GDP
play,2,0,canij001,10,BX,2/FL
play,2,1,grieb001,12,CSBS,K
play,2,1,giamj002,12,CBFS,K
play,2,1,tejam001,11,CBX,7/L7
play,3,0,jonej003,01,FX,43/G
play,3,0,hockd001,22,CBCBFC,K/C
play,3,0,lawtm002,02,CFX,S
play,3,0,coomr001,00,X,53/G
play,3,1,chave001,10,BX,9/F9
play,3,1,hernr002,02,CFX,S7/7S
play,3,1,longt002,00,X,HR/9.1-H
play,3,1,velar001,31,CBBBX,53/G
play,3,1,giamj001,31,BFBBB,W
play,3,1,staim001,00,X,3/G
play,4,0,koskc001,32,BCBFBB,W
play,4,0,buchb002,00,X,9/F9
play,4,0,cummm001,22,BBSFX,13/G.1-2
play,4,0,lecrm001,22,BSBSX,D7.2-H
play,4,0,canij001,11,BCX,53/G
play,4,1,grieb001,12,CBCX,S9
play,4,1,giamj002,10,BX,9/F9
play,4,1,tejam001,01,CX,3/FL
play,4,1,chave001,02,FFX,3/G
play,5,0,jonej003,00,X,3/G
play,5,0,hockd001,31,BSBBB,W
play,5,0,lawtm002,00,X,63/G.1-2
play,5,0,coomr001,21,CBBB,WP.2-3
play,5,0,coomr001,32,CBBBFX,D7/7S.3-H
play,5,0,koskc001,30,IIII,IW
play,5,0,buchb002,01,FX,S.2-3;1-2
play,5,0,cummm001,00,X,3/G
play,5,1,hernr002,31,CBBBB,W
play,5,1,longt002,10,BX,13/G.1-2
play,5,1,velar001,02,CCS,K
play,5,1,giamj001,12,BCFX,6/P6
play,6,0,lecrm001,22,SBBFS,K
play,6,0,canij001,10,BX,2/FL
play,6,0,jonej003,21,BBFX,8/F8
play,6,1,staim001,02,CSC,K/C
play,6,1,grieb001,10,BX,31/G
play,6,1,giamj002,02,CSX,43/G
play,7,0,hockd001,00,X,S9
play,7,0,lawtm002,10,BX,46(1)/FO
play,7,0,coomr001,00,X,64(1)3/GDP
play,7,1,tejam001,00,X,9/F9D
play,7,1,chave001,01,CX,43/G
play,7,1,hernr002,11,FBX,63/G
play,8,0,koskc001,11,FBX,3/G
play,8,0,buchb002,01,SX,9/F9
play,8,0,cummm001,22,SFBFFBX,S
play,8,0,lecrm001,11,BFX,9/F9
play,8,1,longt002,10,BX,7/F7D
play,8,1,velar001,02,FCC,K/C
play,8,1,giamj001,20,BBX,8/F8
play,9,0,canij001,00,,NP
sub,matht002,"T.J. Mathews",1,0,1
play,9,0,canij001,22,CBFBFX,2/FL
play,9,0,jonej003,32,BSBFBB,W
play,9,0,hockd001,12,CBCC,K/C
play,9,0,lawtm002,01,FX,S7.1-2
play,9,0,coomr001,32,BBBCFFFS,K
play,9,1,staim001,32,BBBCFX,6/P6
play,9,1,grieb001,20,BBX,9/F9
play,9,1,giamj002,22,CSBBX,43/G
data,er,radkb001,2
data,er,hereg001,3
data,er,matht002,0
