version,2
info,visteam,MIN
info,hometeam,OAK
info,site,OAK01
info,date,2000/05/20
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,craft901
info,ump1b,lampi901
info,ump2b,schrp901
info,ump3b,cuzzp901
info,pitches,pitches
info,temp,73
info,winddir,torf
info,windspeed,6
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,159
info,attendance,17546
info,wp,milte001
info,lp,muldm001
info,save,guare001
start,guzmc001,"Cristian Guzman",0,1,6
start,hockd001,"Denny Hocking",0,2,5
start,lawtm002,"Matt Lawton",0,3,7
start,coomr001,"Ron Coomer",0,4,3
start,huskb001,"Butch Huskey",0,5,10
start,buchb002,"Brian Buchanan",0,6,9
start,lecrm001,"Matt LeCroy",0,7,2
start,huntt001,"Torii Hunter",0,8,8
start,canij001,"Jay Canizaro",0,9,4
start,milte001,"Eric Milton",0,0,1
start,longt002,"Terrence Long",1,1,8
start,velar001,"Randy Velarde",1,2,4
start,giamj001,"Jason Giambi",1,3,10
start,saeno001,"Olmedo Saenz",1,4,5
start,grieb001,"Ben Grieve",1,5,7
start,staim001,"Matt Stairs",1,6,9
start,tejam001,"Miguel Tejada",1,7,6
start,giamj002,"Jeremy Giambi",1,8,3
start,hernr002,"Ramon Hernandez",1,9,2
start,muldm001,"Mark Mulder",1,0,1
play,1,0,guzmc001,12,CCBS,K
play,1,0,hockd001,00,X,S7/7S
play,1,0,lawtm002,11,BCB,CS2(26)
play,1,0,lawtm002,32,BCBCFBX,S
play,1,0,coomr001,11,BFB,SB2
play,1,0,coomr001,31,BFBBB,W
play,1,0,huskb001,10,BX,46(1)/FO.2-3
play,1,1,longt002,22,BSSBX,7/L7
play,1,1,velar001,32,CCBBFFFBFX,3/FL
play,1,1,giamj001,22,CSBBX,S8
play,1,1,saeno001,00,X,63/G
play,2,0,buchb002,00,X,S8/8S
play,2,0,lecrm001,11,CBX,D/89D.1-H
play,2,0,huntt001,01,SX,9/F9
play,2,0,canij001,10,BX,E1/TH.2-H(UR);B-3
play,2,0,guzmc001,12,SSBS,K
play,2,0,hockd001,30,BBBX,S7/7S.3-H(UR)
play,2,0,lawtm002,02,FCX,64(1)/FO
play,2,1,grieb001,22,CCBBS,K
play,2,1,staim001,12,BCCS,K
play,2,1,tejam001,02,CSFC,K/C
play,3,0,coomr001,00,X,9/L9
play,3,0,huskb001,11,BCX,9/F9D
play,3,0,buchb002,10,BX,S9
play,3,0,lecrm001,32,CBCBBB,W.1-2
play,3,0,huntt001,22,CBFBX,7/L7
play,3,1,giamj002,32,CBBBFB,W
play,3,1,hernr002,12,BFSFS,K
play,3,1,longt002,12,SFBS,K
play,3,1,velar001,32,BBBCFX,63/G
play,4,0,canij001,10,BX,9/F9S
play,4,0,guzmc001,32,BBCCBX,63/G
play,4,0,hockd001,31,BBBCB,W
play,4,0,lawtm002,22,BCBSFC,K/C
play,4,1,giamj001,32,CBBSBC,K/C
play,4,1,saeno001,12,CBFFX,1/P1
play,4,1,grieb001,20,BBX,8/F8
play,5,0,coomr001,10,BX,6/L6
play,5,0,huskb001,01,CX,7/L7
play,5,0,buchb002,00,X,S7/7S
play,5,0,lecrm001,00,X,4/P4
play,5,1,staim001,31,FBBBB,W
play,5,1,tejam001,00,X,64(1)3/GDP
play,5,1,giamj002,32,CLBBBC,K/C
play,6,0,huntt001,00,X,7/F7D
play,6,0,canij001,11,BFX,9/L9
play,6,0,guzmc001,01,CX,63/G
play,6,1,hernr002,22,BFCFBX,S8
play,6,1,longt002,10,BX,46(1)/FO
play,6,1,velar001,11,CBX,54(1)3/GDP
play,7,0,hockd001,32,BCCFBBFFFB,W
play,7,0,lawtm002,32,CBBCBX,43/G.1-2
play,7,0,coomr001,12,BCCS,K
play,7,0,huskb001,02,CFX,6/P6
play,7,1,giamj001,32,CBFBBX,S9/9D
play,7,1,saeno001,01,CX,8/F8D
play,7,1,grieb001,01,FX,64(1)3/GDP
play,8,0,buchb002,00,,NP
sub,tam-j001,"Jeff Tam",1,0,1
play,8,0,buchb002,02,FFC,K/C
play,8,0,lecrm001,00,X,9/L9
play,8,0,huntt001,12,BFSX,9/F9
play,8,1,staim001,12,BFCX,8/F8D
play,8,1,tejam001,00,X,63/G
play,8,1,giamj002,22,CFBBX,E4/G
play,8,1,hernr002,22,SBCBFFX,8/F8
play,9,0,canij001,22,SBBSX,S9
play,9,0,guzmc001,22,LLBBX,46(1)3/GDP
play,9,0,hockd001,21,CBBX,D9/9D
play,9,0,lawtm002,30,IIII,IW
play,9,0,coomr001,20,BBX,8/F8D
play,9,1,longt002,00,,NP
sub,guare001,"Eddie Guardado",0,0,1
play,9,1,longt002,11,CBX,8/F8
play,9,1,velar001,10,BX,7/F7
play,9,1,giamj001,10,BX,9/F9
data,er,milte001,0
data,er,guare001,0
data,er,muldm001,1
data,er,tam-j001,0
