version,2
info,visteam,KCA
info,hometeam,OAK
info,site,OAK01
info,date,2000/06/23
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,emmep901
info,ump1b,davig901
info,ump2b,guccc901
info,ump3b,riekr901
info,pitches,pitches
info,temp,65
info,winddir,torf
info,windspeed,14
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,204
info,attendance,16816
info,wp,appik001
info,lp,durbc001
info,save,
start,damoj001,"Johnny Damon",0,1,10
start,sancr001,"Rey Sanchez",0,2,6
start,beltc001,"Carlos Beltran",0,3,8
start,dye-j001,"Jermaine Dye",0,4,9
start,sweem002,"Mike Sweeney",0,5,3
start,randj002,"Joe Randa",0,6,5
start,dunwt001,"Todd Dunwoody",0,7,7
start,zaung001,"Gregg Zaun",0,8,2
start,ordal001,"Luis Ordaz",0,9,4
start,durbc001,"Chad Durbin",0,0,1
start,longt002,"Terrence Long",1,1,8
start,velar001,"Randy Velarde",1,2,4
start,giamj001,"Jason Giambi",1,3,3
start,grieb001,"Ben Grieve",1,4,7
start,staim001,"Matt Stairs",1,5,9
start,giamj002,"Jeremy Giambi",1,6,10
start,chave001,"Eric Chavez",1,7,5
start,tejam001,"Miguel Tejada",1,8,6
start,fasas001,"Sal Fasano",1,9,2
start,appik001,"Kevin Appier",1,0,1
play,1,0,damoj001,11,CBX,D9/9S
play,1,0,sancr001,10,BX,53/SH.2-3
play,1,0,beltc001,31,BBBFB,W
play,1,0,dye-j001,00,X,D9/9D.3-H;1-3
play,1,0,sweem002,30,IIII,IW
play,1,0,randj002,00,X,7/SF.3-H
play,1,0,dunwt001,02,CFS,K
play,1,1,longt002,32,CCBBBFFFB,W
play,1,1,velar001,10,BX,S8.1-2
play,1,1,giamj001,31,BBBCB,W.2-3;1-2
play,1,1,grieb001,21,BFBX,S8.3-H;2-H;1-3;B-2(E8)
play,1,1,staim001,22,CBSBX,5/P5
play,1,1,giamj002,11,BSX,S9.3-H;2-3
play,1,1,chave001,02,SFFX,S8.3-H;1-2
play,1,1,tejam001,32,BBCBFS,K
play,1,1,fasas001,00,B,WP.2-3;1-2
play,1,1,fasas001,32,BFBBFX,5/FL
play,2,0,zaung001,10,BX,S7
play,2,0,ordal001,32,BFBCBFB,W.1-2
play,2,0,damoj001,10,BX,53/SH.2-3;1-2
play,2,0,sancr001,11,CBX,S8/8S.3-H;2-3
play,2,0,beltc001,01,CX,6/L6
play,2,0,dye-j001,20,BBX,43/G
play,2,1,longt002,21,FBBX,7/F7D
play,2,1,velar001,31,BBBFX,HR/78
play,2,1,giamj001,10,BX,HR/9
play,2,1,grieb001,00,X,HR/9
play,2,1,staim001,32,BFBFBS,K
play,2,1,giamj002,32,BBSCBFS,K
play,3,0,sweem002,31,BBBCB,W
play,3,0,randj002,31,BBCBX,9/F9
play,3,0,dunwt001,21,BSBX,43/G.1-2
play,3,0,zaung001,32,CBCBBX,D9.2-H
play,3,0,ordal001,10,BX,9/F9
play,3,1,chave001,00,,NP
sub,laxtb001,"Brett Laxton",0,0,1
play,3,1,chave001,22,BSFFFBS,K
play,3,1,tejam001,02,CCS,K
play,3,1,fasas001,12,CCBS,K
play,4,0,damoj001,12,BCFFS,K
play,4,0,sancr001,31,BBBCB,W
play,4,0,beltc001,12,CFBX,46(1)3/GDP
play,4,1,longt002,32,BBCCBFX,7/F7S
play,4,1,velar001,32,BBCCBS,K
play,4,1,giamj001,21,BBCX,D9
play,4,1,grieb001,31,BSBBB,W
play,4,1,staim001,12,BSCS,K
play,5,0,dye-j001,01,SX,S/78S
play,5,0,sweem002,10,BX,8/F8
play,5,0,randj002,22,CFBBS,K
play,5,0,dunwt001,02,CCS,K23
play,5,1,giamj002,00,X,4/L4
play,5,1,chave001,31,BBCBB,W
play,5,1,tejam001,30,BBBB,W.1-2
play,5,1,fasas001,02,CFS,K
play,5,1,longt002,12,BSCX,S9/9S.2-H;1XH(93625)
play,6,0,zaung001,32,BBCCBX,7/F7
play,6,0,ordal001,32,BFCFBFBFX,S
play,6,0,damoj001,22,CFBBS,K
