advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,10,1,,,,,0,2,BX,appik001,1,0,,loftk001,0,
,21,1,,,,,1,6,CBBX,appik001,1,0,,vizqo001,0,L
,20,1,,,,,2,9,BBX,appik001,1,0,,alomr001,0,F
,02,1,,,,,3,3,CCX,berej002,1,0,velar001 grounds out. ,velar001,1,G
,00,1,tejam001,,,,4,4,X,berej002,0,0,tejam001 singles. ,tejam001,1,
tejam001 to 3B. ,32,1,giamj001,,tejam001,,5,12,SBBSBFFX,berej002,0,0,giamj001 singles. ,giamj001,1,
tejam001 scores. ,11,1,,,,,6,15,BCX,berej002,2,1,Double Play. ,grieb001,1,
,02,2,,,,,7,12,SFC,appik001,1,0,thomj002 strikes out. ,thomj002,0,
,01,2,segud001,,,,8,14,FX,appik001,0,0,segud001 singles. ,segud001,0,
segud001 out. ,22,2,cordw001,,,,9,19,CSBBX,appik001,1,0,cordw001 reaches on fielder's choice. ,cordw001,0,
cordw001 to 2B. ,32,2,frymt001,cordw001,,,10,26,CSBBFBB,appik001,0,0,frymt001 walks. ,frymt001,0,
,00,2,frymt001,cordw001,,,11,27,X,appik001,1,0,,selbb001,0,F
,31,2,,,longt002,,12,20,BBBCX,berej002,0,0,longt002 triples. ,longt002,1,
longt002 scores. ,21,2,,,,,13,24,BSBX,berej002,1,1,stanm002 hits sacrifice fly. ,stanm002,1,
,22,2,,,,,14,29,FBBSS,berej002,1,0,staim001 strikes out. ,staim001,1,
,12,2,,,,,15,34,SBSFS,berej002,1,0,chave001 strikes out. ,chave001,1,
,00,3,,,,,16,28,X,appik001,1,0,aloms001 grounds out. ,aloms001,0,G
,01,3,,,,,17,30,CX,appik001,1,0,,loftk001,0,F
,11,3,vizqo001,,,,18,33,BCX,appik001,0,0,vizqo001 singles. ,vizqo001,0,
vizqo001 to 2B. ,32,3,alomr001,vizqo001,,,19,39,BBCCBB,appik001,0,0,alomr001 walks. ,alomr001,0,
,10,3,alomr001,vizqo001,,,20,41,BX,appik001,1,0,thomj002 grounds out. ,thomj002,0,G
,32,3,,,,,21,40,CBBCBX,berej002,1,0,,hernr002,1,
velar001 to 3B. ,01,3,,,velar001,,22,42,CX,berej002,0,0,velar001 singles. ,velar001,1,
velar001 scores. ,02,3,tejam001,,,,23,45,CFX,berej002,0,1,tejam001 singles. ,tejam001,1,
,32,3,tejam001,,,,24,51,CCBBBS,berej002,1,0,giamj001 strikes out. ,giamj001,1,
,10,3,tejam001,,,,25,53,BX,berej002,1,0,,grieb001,1,F
,32,4,segud001,,,,27,49,CBSBBFFX,appik001,0,0,segud001 singles. ,segud001,0,
,02,4,,,,,28,52,SCX,appik001,2,0,Double Play. ,cordw001,0,
,31,4,frymt001,,,,29,57,BCBBB,appik001,0,0,frymt001 walks. ,frymt001,0,
frymt001 to 2B. ,12,4,selbb001,frymt001,,,30,61,CSBX,appik001,0,0,selbb001 singles. ,selbb001,0,
,20,4,selbb001,frymt001,,,31,64,BBX,appik001,1,0,,aloms001,0,L
,02,4,longt002,,,,32,56,CCX,berej002,0,0,longt002 singles. ,longt002,1,
longt002 to 3B. ,32,4,stanm002,,longt002,,33,65,CSFBFBFBX,berej002,0,0,stanm002 singles. ,stanm002,1,
longt002 scores. stanm002 out. ,00,4,staim001,,,,34,66,X,berej002,1,1,staim001 reaches on fielder's choice. ,staim001,1,
staim001 scores. ,21,4,,,,,35,70,BBCX,berej002,0,2,chave001 homers. ,chave001,1,
,12,4,,,,,36,75,BCCFX,berej002,1,0,hernr002 grounds out. ,hernr002,1,G
,22,4,,,,,37,81,BCSBFX,berej002,1,0,,velar001,1,L
,01,5,,,,,39,66,LX,appik001,1,0,,loftk001,0,F
,12,5,,,,,40,70,CSBX,appik001,1,0,vizqo001 grounds out. ,vizqo001,0,G
,01,5,,,,,41,72,CX,appik001,0,1,alomr001 homers. ,alomr001,0,
,01,5,,thomj002,,,42,74,CX,appik001,0,0,thomj002 doubles. ,thomj002,0,
,31,5,segud001,thomj002,,,43,79,BBBCB,appik001,0,0,segud001 walks. ,segud001,0,
,32,5,segud001,thomj002,,,44,85,BBBCFS,appik001,1,0,cordw001 strikes out. ,cordw001,0,
,22,5,,,,,46,5,BSFBX,martt003,1,0,,tejam001,1,F
,02,5,,,,,47,8,CSX,martt003,1,0,giamj002 grounds out. ,giamj002,1,G
,02,5,,,,,48,11,CCS,martt003,1,0,grieb001 strikes out. ,grieb001,1,
,32,6,,,,,49,92,BFBBFFX,appik001,1,0,,frymt001,0,
,22,6,,,,,50,97,CBBSS,appik001,1,0,selbb001 strikes out. ,selbb001,0,
,11,6,aloms001,,,,51,100,CBX,appik001,0,0,aloms001 singles. ,aloms001,0,
,32,6,aloms001,,,,52,106,BSBBFX,appik001,1,0,,loftk001,0,F
,10,6,,,,,53,13,BX,martt003,1,0,,chrir001,1,F
,20,6,,,,,54,16,BBX,martt003,0,1,stanm002 homers. ,stanm002,1,
,00,6,staim001,,,,55,17,X,martt003,0,0,staim001 singles. ,staim001,1,
staim001 to 2B. ,21,6,chave001,staim001,,,56,21,BFBX,martt003,0,0,chave001 singles. ,chave001,1,
staim001 scores. chave001 to 2B. ,02,6,hernr002,chave001,,,58,3,SCX,brewj001,0,1,hernr002 singles. ,hernr002,1,
,10,6,hernr002,chave001,,,59,5,BX,brewj001,1,0,,velar001,1,F
,22,6,hernr002,chave001,,,60,12,CBBSFFX,brewj001,1,0,,tejam001,1,P
,31,7,vizqo001,,,,61,111,BCBBX,appik001,0,0,vizqo001 singles. ,vizqo001,0,
,02,7,vizqo001,,,,63,3,SCS,mecij001,1,0,alomr001 strikes out. ,alomr001,0,
vizqo001 to 2B. ,32,7,thomj002,vizqo001,,,64,9,BBCBFB,mecij001,0,0,thomj002 walks. ,thomj002,0,
,02,7,thomj002,vizqo001,,,65,12,FCC,mecij001,1,0,segud001 strikes out. ,segud001,0,
,22,7,thomj002,vizqo001,,,66,18,BSCBFS,mecij001,1,0,cordw001 strikes out. ,cordw001,0,
,32,7,giamj002,,,,70,21,FFFBBFFBX,brewj001,0,0,giamj002 singles. ,giamj002,1,
,12,7,,,,,71,25,BFCX,brewj001,2,0,Double Play. ,grieb001,1,
,11,7,,,,,72,28,BCX,brewj001,1,0,,chrir001,1,F
,01,8,,,,,73,20,CX,mecij001,1,0,frymt001 grounds out. ,frymt001,0,G
,32,8,,,,,74,26,BCBBSS,mecij001,1,0,selbb001 strikes out. ,selbb001,0,
,00,8,aloms001,,,,75,27,X,mecij001,0,0,aloms001 reaches on error. ,aloms001,0,
aloms001 out. ,12,8,loftk001,,,,76,31,SBCX,mecij001,1,0,loftk001 reaches on fielder's choice. ,loftk001,0,G
,20,8,,,,,77,31,BBX,brewj001,1,0,stanm002 grounds out. ,stanm002,1,G
,22,8,,,,,78,36,FBFBS,brewj001,1,0,staim001 strikes out. ,staim001,1,
,22,8,,,,,79,41,BFFBS,brewj001,1,0,chave001 strikes out. ,chave001,1,
,12,9,,,,,81,4,BSSX,joned001,1,0,,cabrj002,0,F
,12,9,,,,,82,9,CBSFS,joned001,1,0,perrc001 strikes out. ,perrc001,0,
,22,9,,,,,83,14,BCFBS,joned001,1,0,thomj002 strikes out. ,thomj002,0,
