version,2
info,visteam,CHA
info,hometeam,OAK
info,site,OAK01
info,date,2000/08/28
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,danlk901
info,ump1b,timmt901
info,ump2b,tscht901
info,ump3b,fleta901
info,pitches,pitches
info,temp,64
info,winddir,torf
info,windspeed,15
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,139
info,attendance,12436
info,wp,hudst001
info,lp,parqj001
info,save,
start,durhr001,"Ray Durham",0,1,4
start,valej003,"Jose Valentin",0,2,6
start,thomf001,"Frank Thomas",0,3,10
start,ordom001,"Magglio Ordonez",0,4,9
start,lee-c001,"Carlos Lee",0,5,7
start,perrh001,"Herbert Perry",0,6,5
start,konep001,"Paul Konerko",0,7,3
start,singc001,"Chris Singleton",0,8,8
start,johnc002,"Charles Johnson",0,9,2
start,parqj001,"Jim Parque",0,0,1
start,chrir001,"Ryan Christenson",1,1,7
start,velar001,"Randy Velarde",1,2,4
start,longt002,"Terrence Long",1,3,8
start,stanm002,"Mike Stanley",1,4,3
start,grieb001,"Ben Grieve",1,5,10
start,tejam001,"Miguel Tejada",1,6,6
start,piata001,"Adam Piatt",1,7,9
start,chave001,"Eric Chavez",1,8,5
start,hernr002,"Ramon Hernandez",1,9,2
start,hudst001,"Tim Hudson",1,0,1
play,1,0,durhr001,00,X,43/G
play,1,0,valej003,02,CCS,K
play,1,0,thomf001,32,BBCBCX,53/G
play,1,1,chrir001,22,CBCBX,43/G
play,1,1,velar001,12,BCFX,3/L3
play,1,1,longt002,12,CBFS,K
play,2,0,ordom001,11,BCX,9/F9D
play,2,0,lee-c001,31,BBBCX,43/G
play,2,0,perrh001,02,CSFS,K
play,2,1,stanm002,00,X,9/F9S
play,2,1,grieb001,11,BCX,S/78
play,2,1,tejam001,32,BCSBFBB,W.1-2
play,2,1,piata001,31,BBCBB,W.2-3;1-2
play,2,1,chave001,12,FSBFX,46(1)3/GDP
play,3,0,konep001,32,CSFFFBFBBB,W
play,3,0,singc001,12,BCSS,K
play,3,0,johnc002,32,BFFBBX,54(1)/FO
play,3,0,durhr001,22,BBCCS,K
play,3,1,hernr002,32,BBCBCS,K
play,3,1,chrir001,01,LX,13/G
play,3,1,velar001,22,BCBCX,E3/G
play,3,1,longt002,00,X,S7.1-2
play,3,1,stanm002,10,BX,9/F9
play,4,0,valej003,11,BSX,5/P5
play,4,0,thomf001,31,CBBBX,S8
play,4,0,ordom001,22,BBCFX,64(1)3/GDP
play,4,1,grieb001,12,CBCC,K/C
play,4,1,tejam001,11,BCX,3/L3
play,4,1,piata001,20,BBX,6/L6
play,5,0,lee-c001,02,FFX,63/G
play,5,0,perrh001,20,BBX,63/G
play,5,0,konep001,32,CBCBBX,63/G
play,5,1,chave001,32,CBBFFFBB,W
play,5,1,hernr002,00,X,14/SH.1-2
play,5,1,chrir001,10,BX,8/F8
play,5,1,velar001,32,CBBCBB,W
play,5,1,longt002,32,BFBFBB,W.2-3;1-2
play,5,1,stanm002,10,BX,S8.3-H;2-H;1-3
play,5,1,grieb001,01,FX,3/G
play,6,0,singc001,00,X,7/F7
play,6,0,johnc002,31,FBBBX,63/G
play,6,0,durhr001,12,BCCS,K
play,6,1,tejam001,12,SFFBFS,K
play,6,1,piata001,22,FBCBFX,S/89
play,6,1,chave001,10,BX,T/89.1-H
play,6,1,hernr002,31,BFBBX,7/F7S
play,6,1,chrir001,10,BX,9/F9
play,7,0,valej003,01,SX,13/BG
play,7,0,thomf001,22,BCBSX,9/F9
play,7,0,ordom001,10,BX,8/F8
play,7,1,velar001,22,BCBFX,9/F9
play,7,1,longt002,10,BX,43/G
play,7,1,stanm002,31,BBBCB,W
play,7,1,grieb001,22,CBCFFBS,K
play,8,0,lee-c001,01,CX,63/G
play,8,0,perrh001,00,X,63/G
play,8,0,konep001,02,CSS,K
play,8,1,tejam001,00,,NP
sub,buehm001,"Mark Buehrle",0,0,1
play,8,1,tejam001,11,CBX,3/FL
play,8,1,piata001,22,CBBFX,S9
play,8,1,chave001,01,C1,PO1(13)
play,8,1,chave001,22,C1BFBX,8/F8D
play,9,0,singc001,12,CBSS,K23
play,9,0,johnc002,12,BCSS,K
play,9,0,durhr001,00,X,13/G
data,er,parqj001,3
data,er,buehm001,0
data,er,hudst001,0
