id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
chrir001,LAN200006090,1,8,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,LAN,0,1,0
longt002,LAN200006090,1,11,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
velar001,LAN200006090,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
giamj001,LAN200006090,3,3,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
saeno001,LAN200006090,4,5,4,4,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,LAN,0,1,0
chave001,LAN200006090,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
grieb001,LAN200006090,5,7,4,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
hernr002,LAN200006090,6,2,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
staim001,LAN200006090,7,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
tejam001,LAN200006090,8,6,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
hudst001,LAN200006090,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
tam-j001,LAN200006090,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
jahaj001,LAN200006090,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
isrij001,LAN200006090,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
longt002,LAN200006100,1,8,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,LAN,0,1,0
velar001,LAN200006100,2,4,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
giamj001,LAN200006100,3,3,4,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,LAN,0,1,0
staim001,LAN200006100,4,9,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
grieb001,LAN200006100,5,7,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
hernr002,LAN200006100,6,2,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
chave001,LAN200006100,7,5,4,4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,LAN,0,1,0
tejam001,LAN200006100,8,6,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
olivo001,LAN200006100,9,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
saeno001,LAN200006100,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
servs001,LAN200006100,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
giamj002,LAN200006100,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
