id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
longt002,OAK200010030,1,8,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYA,1,3,0
velar001,OAK200010030,2,4,4,3,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,NYA,1,3,0
giamj001,OAK200010030,3,3,4,2,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NYA,1,3,0
grieb001,OAK200010030,4,7,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NYA,1,3,0
chrir001,OAK200010030,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,3,0
tejam001,OAK200010030,5,6,4,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NYA,1,3,0
staim001,OAK200010030,6,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,3,0
chave001,OAK200010030,7,5,4,4,3,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,NYA,1,3,0
giamj002,OAK200010030,8,10,3,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NYA,1,3,0
saeno001,OAK200010030,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,3,0
hernr002,OAK200010030,9,2,4,4,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,NYA,1,3,0
longt002,OAK200010040,1,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,3,0
velar001,OAK200010040,2,4,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,3,0
giamj001,OAK200010040,3,3,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NYA,1,3,0
saeno001,OAK200010040,4,10,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NYA,1,3,0
tejam001,OAK200010040,5,6,4,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NYA,1,3,0
