id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
hudst001,LAN200006090,19,4,4,1,1,102,8,1,2,1,0,0,1,28,21,0,2,0,0,LAN,0,1,1
tam-j001,LAN200006090,5,1,0,0,0,28,4,0,1,0,0,0,0,6,6,0,0,0,0,LAN,0,1,0
isrij001,LAN200006090,3,0,0,0,0,15,0,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
olivo001,LAN200006100,12,9,4,6,6,89,4,1,5,3,0,0,0,24,20,0,0,0,0,LAN,0,1,1
servs001,LAN200006100,6,4,1,1,1,50,3,1,3,0,0,0,0,11,10,0,0,0,0,LAN,0,1,0
joned001,LAN200006100,3,0,0,0,0,10,0,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
sauvr001,LAN200006100,3,0,0,0,0,12,2,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
appik001,LAN200006110,27,7,1,0,0,122,6,0,5,2,0,0,0,35,34,0,0,0,0,LAN,0,1,1
olivo001,TBA200005230,18,10,4,6,6,101,4,1,7,2,0,0,0,30,26,0,0,0,0,TBA,0,1,1
magnm001,TBA200005230,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,TBA,0,1,0
matht002,TBA200005230,6,1,0,0,0,20,1,0,1,0,0,0,0,7,7,0,0,0,0,TBA,0,1,0
appik001,TBA200005240,18,4,3,2,2,93,8,1,1,2,0,0,1,27,23,0,0,0,0,TBA,0,1,1
tam-j001,TBA200005240,9,2,0,0,0,28,3,0,2,0,0,0,0,10,10,0,0,0,0,TBA,0,1,0
hereg001,TBA200005250,21,5,2,1,1,103,3,0,3,2,0,0,0,26,24,0,0,0,0,TBA,0,1,1
matht002,TBA200005250,2,2,0,2,2,12,1,1,1,0,0,0,0,4,4,0,0,0,0,TBA,0,1,0
magnm001,TBA200005250,1,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,TBA,0,1,0
isrij001,TBA200005250,3,1,0,0,0,24,1,0,0,1,0,0,0,4,4,0,0,0,0,TBA,0,1,0
zitob001,TBA200009150,18,3,5,2,2,92,4,1,2,0,0,0,0,26,21,0,0,0,1,TBA,0,1,1
matht002,TBA200009150,3,0,0,0,0,11,0,0,0,0,0,0,0,3,3,0,0,0,0,TBA,0,1,0
belit001,TBA200009150,3,1,1,1,0,25,0,0,0,1,0,0,0,6,5,0,0,0,0,TBA,0,1,0
ratlj001,TBA200009150,3,0,0,0,0,12,0,0,0,0,0,0,0,3,3,0,0,0,0,TBA,0,1,0
hudst001,TBA200009160,20,6,4,2,2,120,6,0,4,2,0,0,0,29,25,0,0,0,0,TBA,0,1,1
magnm001,TBA200009160,2,2,0,0,0,18,1,0,2,0,0,0,0,4,4,0,0,0,0,TBA,0,1,0
tam-j001,TBA200009160,2,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,TBA,0,1,0
