id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
hereg001,OAK200010030,18,7,1,3,3,81,3,0,4,3,0,0,1,26,23,0,0,1,0,OAK,0,3,1
tam-j001,OAK200010030,2,0,0,0,0,12,1,0,0,0,0,0,0,3,3,0,0,0,0,OAK,0,3,0
mecij001,OAK200010030,4,0,0,0,0,15,1,0,0,0,0,0,0,4,4,0,0,0,0,OAK,0,3,0
isrij001,OAK200010030,3,0,0,0,0,14,2,0,0,0,0,0,0,3,3,0,0,0,0,OAK,0,3,0
appik001,OAK200010040,19,6,5,3,3,109,7,0,3,3,0,0,0,29,24,0,0,0,1,OAK,0,3,1
magnm001,OAK200010040,5,1,0,0,0,13,1,0,1,0,0,0,0,5,5,0,0,0,0,OAK,0,3,0
tam-j001,OAK200010040,2,1,1,1,0,13,0,0,0,1,0,0,0,5,3,0,1,0,1,OAK,0,3,0
joned001,OAK200010040,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,OAK,0,3,0
hudst001,NYA200010060,24,6,4,4,3,127,5,0,5,1,0,0,0,35,31,0,0,0,0,NYA,0,3,1
zitob001,NYA200010070,17,7,2,1,1,104,5,0,6,1,0,0,0,25,23,0,0,0,0,NYA,0,3,1
mecij001,NYA200010070,3,0,0,0,0,11,0,0,0,0,0,0,0,3,3,0,0,0,0,NYA,0,3,0
magnm001,NYA200010070,4,0,0,0,0,12,1,0,0,0,0,0,0,4,4,0,0,0,0,NYA,0,3,0
joned001,NYA200010070,3,1,0,0,0,12,1,0,1,0,0,0,0,4,4,0,0,0,0,NYA,0,3,0
hereg001,OAK200010080,1,4,2,6,6,23,0,0,3,1,0,0,0,7,4,0,0,1,0,OAK,0,3,1
tam-j001,OAK200010080,2,2,0,0,0,8,0,0,2,0,0,0,0,4,3,0,0,1,0,OAK,0,3,0
appik001,OAK200010080,12,4,1,1,1,69,6,1,3,0,0,0,0,17,16,0,0,0,0,OAK,0,3,0
mecij001,OAK200010080,9,1,0,0,0,42,1,0,0,1,0,0,0,10,10,0,0,0,0,OAK,0,3,0
isrij001,OAK200010080,3,1,0,0,0,23,1,0,0,1,0,0,0,4,4,0,0,0,0,OAK,0,3,0
