advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,11,1,,,,,0,3,BFX,persr001,1,0,,vinaf001,0,L
,32,1,,,,,1,9,CBSBBS,persr001,1,0,rente001 strikes out. ,rente001,0,
,32,1,,,,,2,15,BCBBFX,persr001,0,1,edmoj001 homers. ,edmoj001,0,
,11,1,,,,,3,18,FBX,persr001,1,0,,mcgwm001,0,P
,10,1,,,,,4,2,BX,benea001,1,0,gland001 grounds out. ,gland001,1,G
,22,1,,,,,5,9,BCBCFFX,benea001,1,0,,moram001,1,
,20,1,abreb001,,,,6,12,BBX,benea001,0,0,abreb001 singles. ,abreb001,1,
abreb001 to 2B. ,12,1,roles001,abreb001,,,7,16,BCCX,benea001,0,0,roles001 singles. ,roles001,1,
,01,1,roles001,abreb001,,,8,18,CX,benea001,1,0,,liebm001,1,F
,10,2,,,,,9,20,BX,persr001,1,0,,howat001,0,P
,22,2,drewj001,,,,10,25,CBSBH,persr001,0,0,drewj001 hit by pitch. ,drewj001,0,
drewj001 to 3B. ,00,2,,paquc001,drewj001,,11,26,X,persr001,0,0,paquc001 doubles. ,paquc001,0,
drewj001 scores. paquc001 to 3B. ,32,2,,,paquc001,,12,33,BCSBFBX,persr001,1,1,marre001 grounds out. ,marre001,0,G
,00,2,,,paquc001,,13,34,X,persr001,1,0,,benea001,0,L
,22,2,,,,,14,23,FBSBC,benea001,1,0,gantr001 strikes out. ,gantr001,1,
,22,2,,,,,15,28,FBFBS,benea001,1,0,pritc001 strikes out. ,pritc001,1,
,01,2,,,,,16,30,CX,benea001,1,0,relad001 grounds out. ,relad001,1,G
,22,3,,,,,17,39,CSBBS,persr001,1,0,vinaf001 strikes out. ,vinaf001,0,
,12,3,,,,,18,43,FBFX,persr001,1,0,rente001 grounds out. ,rente001,0,G
,22,3,,,,,19,49,CBBSFS,persr001,1,0,edmoj001 strikes out. ,edmoj001,0,
,12,3,,,,,20,35,CFBFC,benea001,1,0,persr001 strikes out. ,persr001,1,
,12,3,gland001,,,,21,39,CBCX,benea001,0,0,gland001 singles. ,gland001,1,
,11,3,,gland001,,moram001,22,42,CBB,benea001,0,0,gland001 steals 2B. ,moram001,1,
gland001 scores. ,21,3,,moram001,,,23,46,CBBX,benea001,0,1,moram001 doubles. ,moram001,1,
,02,3,,moram001,,,24,49,CCX,benea001,1,0,,abreb001,1,P
,01,3,,moram001,,,25,51,FX,benea001,1,0,roles001 grounds out. ,roles001,1,G
,12,4,,,,,26,53,SSBS,persr001,1,0,mcgwm001 strikes out. ,mcgwm001,0,
,10,4,,,,,27,55,BX,persr001,1,0,howat001 grounds out. ,howat001,0,G
,10,4,,,,,28,57,BX,persr001,1,0,,drewj001,0,P
,12,4,,,,,29,56,CCBFC,benea001,1,0,liebm001 strikes out. ,liebm001,1,
,22,4,,,,,30,61,CFBBC,benea001,1,0,gantr001 strikes out. ,gantr001,1,
,22,4,,,,,31,67,CCFBBS,benea001,1,0,pritc001 strikes out. ,pritc001,1,
,00,5,paquc001,,,,32,58,X,persr001,0,0,paquc001 singles. ,paquc001,0,
,00,5,,,,marre001,33,59,S,persr001,1,0,paquc001 caught stealing. ,marre001,0,
,12,5,,,,,34,64,SBFFC,persr001,1,0,marre001 strikes out. ,marre001,0,
,31,5,,,,,35,69,BBBCX,persr001,0,1,benea001 homers. ,benea001,0,
,11,5,,,,,36,72,BCX,persr001,1,0,,vinaf001,0,F
,32,5,,,,,37,73,BCBBSX,benea001,1,0,,relad001,1,P
,22,5,,,,,38,78,BCFBC,benea001,1,0,persr001 strikes out. ,persr001,1,
gland001 out. ,11,5,,,,,39,81,BCX,benea001,1,0,gland001 singles. ,gland001,1,
,11,6,rente001,,,,40,75,BFX,persr001,0,0,rente001 singles. ,rente001,0,
rente001 to 2B. ,31,6,edmoj001,rente001,,,41,80,BFBBB,persr001,0,0,edmoj001 walks. ,edmoj001,0,
rente001 to 3B. edmoj001 to 2B. ,12,6,,edmoj001,rente001,mcgwm001,42,84,CFBB,persr001,0,0,Wild Pitch. ,mcgwm001,0,
,32,6,mcgwm001,edmoj001,rente001,,43,93,CFBBFFFBB,persr001,0,0,mcgwm001 walks. ,mcgwm001,0,
,12,6,mcgwm001,edmoj001,rente001,,44,99,FCBFFX,persr001,1,0,,howat001,0,F
rente001 scores. edmoj001 to 3B. mcgwm001 out. ,02,6,drewj001,,edmoj001,,45,102,CSX,persr001,1,1,drewj001 reaches on fielder's choice. ,drewj001,0,
,12,6,drewj001,,edmoj001,,46,107,FSBFS,persr001,1,0,paquc001 strikes out. ,paquc001,0,
,32,6,moram001,,,,47,89,BBCCFBFX,benea001,0,0,moram001 singles. ,moram001,1,
moram001 to 2B. ,22,6,abreb001,moram001,,,48,94,BCFBX,benea001,0,0,abreb001 singles. ,abreb001,1,
moram001 scores. abreb001 to 2B. ,32,6,roles001,abreb001,,,49,100,BBBCFX,benea001,0,1,roles001 singles. ,roles001,1,
abreb001 to 3B. ,00,6,roles001,,abreb001,,50,101,X,benea001,1,0,,liebm001,1,F
,00,6,roles001,,abreb001,,51,102,X,benea001,1,0,,gantr001,1,F
,01,6,roles001,,abreb001,,52,104,FX,benea001,1,0,pritc001 grounds out. ,pritc001,1,G
,30,7,marre001,,,,53,111,BBBB,persr001,0,0,marre001 walks. ,marre001,0,
marre001 to 2B. ,00,7,,marre001,,,54,112,X,persr001,1,0,Sacrifice bunt by benea001.,benea001,0,
,10,7,vinaf001,marre001,,,55,114,BH,persr001,0,0,vinaf001 hit by pitch. ,vinaf001,0,
marre001 scores. vinaf001 to 3B. ,10,7,,rente001,vinaf001,,56,116,BX,persr001,0,1,rente001 doubles. ,rente001,0,
vinaf001 scores. rente001 scores. ,01,7,edmoj001,,,,58,2,CX,aldrs001,0,2,edmoj001 singles. ,edmoj001,0,
edmoj001 to 2B. ,31,7,mcgwm001,edmoj001,,,59,7,BFBBB,aldrs001,0,0,mcgwm001 walks. ,mcgwm001,0,
,22,7,mcgwm001,edmoj001,,,60,12,BBSFS,aldrs001,1,0,howat001 strikes out. ,howat001,0,
,02,7,mcgwm001,edmoj001,,,61,15,CCS,aldrs001,1,0,drewj001 strikes out. ,drewj001,0,
,22,7,,,,,64,109,BBCCS,benea001,1,0,relad001 strikes out. ,relad001,1,
,12,7,,,,,66,116,CCBFFFX,benea001,1,0,,duceb001,1,P
,21,7,gland001,,,,67,120,BCBX,benea001,0,0,gland001 singles. ,gland001,1,
gland001 to 2B. ,11,7,moram001,gland001,,,68,123,BCX,benea001,0,0,moram001 singles. ,moram001,1,
,11,7,moram001,gland001,,,69,126,BCX,benea001,1,0,,abreb001,1,F
,32,8,,,,,71,7,BBFBFFX,boydj001,1,0,,paquc001,0,P
,02,8,,,,,72,10,CFS,boydj001,1,0,marre001 strikes out. ,marre001,0,
,20,8,,,,,74,13,BBX,boydj001,1,0,,davie001,0,F
,22,8,,,,,76,5,CBSBX,sloch001,1,0,,roles001,1,F
,12,8,,,,,77,9,SBFS,sloch001,1,0,liebm001 strikes out. ,liebm001,1,
,00,8,,,,,78,10,X,sloch001,1,0,,gantr001,1,
,22,9,,,,,80,5,BFBFX,gomew001,1,0,,vinaf001,0,F
,11,9,rente001,,,,81,8,BCX,gomew001,0,0,rente001 singles. ,rente001,0,
,11,9,rente001,,,,82,11,BSX,gomew001,1,0,,edmoj001,0,F
rente001 to 2B. ,32,9,mcgwm001,rente001,,,83,17,BCBCBB,gomew001,0,0,mcgwm001 walks. ,mcgwm001,0,
rente001 scores. mcgwm001 to 3B. ,32,9,lankr001,,mcgwm001,,84,23,CBBFBX,gomew001,0,1,lankr001 singles. ,lankr001,0,
,21,9,lankr001,,mcgwm001,,85,27,CBBX,gomew001,1,0,,drewj001,0,F
,01,9,,,,,86,12,CX,sloch001,1,0,pritc001 grounds out. ,pritc001,1,G
,02,9,,,,,88,3,CFX,thomm002,1,0,relad001 grounds out. ,relad001,1,G
,02,9,,,,,90,6,CCX,thomm002,1,0,huntb001 grounds out. ,huntb001,1,G
