id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
castl001,0,1,4,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
kotsm001,0,2,9,5,4,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
floyc001,0,3,7,5,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
wilsp002,0,4,8,5,5,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
millk005,0,5,3,4,3,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
fox-a001,0,6,5,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bergd002,0,7,6,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
bakop001,0,8,2,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
smitc001,0,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
smitm004,0,9,11,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
stroj001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almaa001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boner001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lee-d002,0,9,11,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
gland001,1,1,8,5,4,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
gantr001,1,2,7,5,5,3,0,2,2,1,2,0,0,1,0,0,0,0,1,0,0,0
branj001,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreb001,1,3,9,4,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
roles001,1,4,5,4,4,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
liebm001,1,5,2,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
burrp001,1,6,3,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
moram001,1,7,4,3,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
gomew001,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sefck001,1,7,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ariaa001,1,8,6,3,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
relad001,1,8,12,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
persr001,1,9,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
holzm001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordk001,1,9,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
