id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
ritct001,0,18,9,2,4,4,123,2,1,6,1,1,1,0,29,27,0,0,0,0
loisr001,0,3,0,0,0,0,12,2,0,0,0,0,0,0,3,3,0,0,0,0
saues001,0,0,1,0,1,1,4,0,0,0,1,0,0,0,1,1,0,0,0,0
manzj001,0,3,0,1,0,0,9,0,0,0,0,0,0,0,4,2,0,1,0,0
willm005,0,3,0,1,0,0,24,0,0,0,0,0,0,0,4,3,0,0,0,0
bottk001,1,3,1,1,0,0,25,1,0,1,0,0,0,0,5,4,0,0,0,0
polic001,1,15,4,3,2,2,75,2,0,4,0,0,0,0,21,18,0,0,0,0
brocc001,1,3,1,1,0,0,18,2,0,1,0,0,0,0,5,4,0,0,0,0
padiv001,1,1,3,1,4,4,24,2,0,0,3,0,1,0,6,5,0,0,0,1
gomew001,1,2,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,1,0,0
jacqt001,1,2,1,0,0,0,15,1,0,1,0,0,0,0,2,2,0,0,0,0
nickd001,1,1,1,0,0,0,6,0,0,1,0,0,0,0,2,2,0,0,0,0
