id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
biggc001,0,1,4,5,3,1,2,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0
spieb001,0,2,6,5,5,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0
bagwj001,0,3,3,5,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
camik001,0,4,5,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
bogat001,0,4,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aloum001,0,5,9,5,5,2,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0
wardd002,0,6,7,4,3,2,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0
barkg001,0,6,12,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hidar001,0,7,8,5,4,1,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0
euset001,0,8,2,4,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
limaj001,0,9,1,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
melum001,0,9,11,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
powej001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maddm002,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kendj001,1,1,2,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mearp001,1,2,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gileb002,1,3,9,4,4,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
younk001,1,4,3,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cordw001,1,5,7,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ramia001,1,6,5,4,3,3,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
hermc001,1,7,8,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
benjm001,1,8,4,4,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
bensk001,1,9,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
vandj001,1,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saues001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wilkm001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willm005,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
browa001,1,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
