version,2
info,visteam,SDN
info,hometeam,PIT
info,site,PIT07
info,date,2000/04/27
info,number,0
info,starttime,1:35PM
info,daynight,day
info,usedh,false
info,umphome,rungb901
info,ump1b,shulj901
info,ump2b,rapue901
info,ump3b,millb901
info,pitches,pitches
info,temp,66
info,winddir,tocf
info,windspeed,2
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,164
info,attendance,15459
info,wp,clemm001
info,lp,parrj002
info,save,
start,marta001,"Al Martin",0,1,7
start,jackd003,"Damian Jackson",0,2,6
start,klesr001,"Ryan Klesko",0,3,3
start,nevip001,"Phil Nevin",0,4,5
start,owene001,"Eric Owens",0,5,8
start,boonb002,"Bret Boone",0,6,4
start,hernc001,"Carlos A. Hernandez",0,7,2
start,dehak001,"Kory DeHaan",0,8,9
start,clemm001,"Matt Clement",0,9,1
start,browa001,"Adrian Brown",1,1,8
start,morrw001,"Warren Morris",1,2,4
start,vandj001,"John Vander Wal",1,3,3
start,gileb002,"Brian Giles",1,4,9
start,cordw001,"Wil Cordero",1,5,7
start,mearp001,"Pat Meares",1,6,6
start,ramia001,"Aramis Ramirez",1,7,5
start,osikk001,"Keith Osik",1,8,2
start,parrj002,"Jose Parra",1,9,1
play,1,0,marta001,10,BX,S/78
play,1,0,jackd003,21,BBCX,HR/7.1-H
play,1,0,klesr001,00,X,63/G
play,1,0,nevip001,32,BBBCSC,K/C
play,1,0,owene001,01,CX,S
play,1,0,boonb002,00,X,S8.1-2
play,1,0,hernc001,12,CBFX,D9.2-H;1-H
play,1,0,dehak001,02,CSS,K
play,1,1,browa001,01,CX,1/L1
play,1,1,morrw001,10,BX,63/G
play,1,1,vandj001,22,CBFBX,7/F7
play,2,0,clemm001,12,CCBX,T8
play,2,0,marta001,20,BBX,43/G
play,2,0,jackd003,11,BCX,S9.3-H
play,2,0,klesr001,30,BBBB,W.1-2
play,2,0,nevip001,11,BSX,9/F9D.2-3
play,2,0,owene001,01,SX,46(1)/FO
play,2,1,gileb002,31,BBCBB,W
play,2,1,cordw001,11,CBB,WP.1-2
play,2,1,cordw001,21,CBBX,S9.2-3
play,2,1,mearp001,12,CFBX,6/L6
play,2,1,ramia001,11,BFX,3/P3
play,2,1,osikk001,30,BBBB,W.1-2
play,2,1,parrj002,00,,NP
sub,avenb001,"Bruce Aven",1,9,11
play,2,1,avenb001,22,BSBFC,K/C
play,3,0,boonb002,00,,NP
sub,clonb001,"Brad Clontz",1,9,1
play,3,0,boonb002,02,CFX,9/F9
play,3,0,hernc001,02,CFX,8/F8D
play,3,0,dehak001,00,X,D9
play,3,0,clemm001,22,CCBBC,K/C
play,3,1,browa001,22,BFCBX,53/G
play,3,1,morrw001,32,BFBBCS,K
play,3,1,vandj001,01,CX,43/G
play,4,0,marta001,31,BBBSB,W
play,4,0,jackd003,00,C,SB2
play,4,0,jackd003,01,CX,43/G.2-3
play,4,0,klesr001,30,IIII,IW
play,4,0,nevip001,10,BX,6/L6
play,4,0,owene001,02,CFB,WP.3-H;1-2
play,4,0,owene001,22,CFBBX,43/G
play,4,1,gileb002,21,BCBX,13/G
play,4,1,cordw001,02,CCS,K
play,4,1,mearp001,00,X,13/G
play,5,0,boonb002,01,CX,63/G
play,5,0,hernc001,02,CFFX,53/G
play,5,0,dehak001,30,BBBB,W
play,5,0,clemm001,12,FBCX,13/G
play,5,1,ramia001,00,X,53/G
play,5,1,osikk001,32,CBBBFX,S
play,5,1,clonb001,32,BBCLBH,HP.1-2
play,5,1,browa001,12,CSBC,K/C
play,5,1,morrw001,31,BFBBB,W.2-3;1-2
play,5,1,vandj001,02,FSX,HR/7.3-H;2-H;1-H
play,5,1,gileb002,32,BBBFFFS,K
play,6,0,marta001,32,BSCFBBB,W
play,6,0,jackd003,21,BCBB,CS2(24)
play,6,0,jackd003,31,BCBBB,W
play,6,0,klesr001,00,,NP
sub,saues001,"Scott Sauerbeck",1,9,1
play,6,0,klesr001,21,BBS1,PO1(13)
play,6,0,klesr001,31,BBS1BB,W
play,6,0,nevip001,01,FX,S7.1-2
play,6,0,owene001,10,BC,SB3
play,6,0,owene001,12,BCCFX,8/F8
play,6,1,cordw001,11,CBX,8/F8D
play,6,1,mearp001,21,BFBX,7/F7
play,6,1,ramia001,01,CX,53/G
play,7,0,boonb002,01,CX,S8
play,7,0,hernc001,21,FBBX,8/F8
play,7,0,dehak001,02,CFFX,43/G.1-2
play,7,0,clemm001,00,,NP
sub,gomec001,"Chris Gomez",0,9,11
play,7,0,gomec001,31,CBBBB,W
play,7,0,marta001,01,CX,7/F7
play,7,1,osikk001,00,,NP
sub,walld002,"Donne Wall",0,9,1
play,7,1,osikk001,12,FBCX,63/G
play,7,1,saues001,00,,NP
sub,sojol001,"Luis Sojo",1,9,11
play,7,1,sojol001,21,CBBX,S9
play,7,1,browa001,00,X,8/F8
play,7,1,morrw001,32,CCBBBS,K
play,8,0,jackd003,00,,NP
sub,silvj001,"Jose Silva",1,9,1
play,8,0,jackd003,22,BCFFBC,K/C
play,8,0,klesr001,00,X,8/F8D
play,8,0,nevip001,12,FBSS,K
play,8,1,vandj001,32,BBCSBX,3/G
play,8,1,gileb002,10,BX,8/F8
play,8,1,cordw001,10,BX,9/F9
play,9,0,owene001,20,BBH,HP
play,9,0,boonb002,00,X,E5/G.1-3;B-2
play,9,0,hernc001,32,BCFBBB,W
play,9,0,dehak001,01,CX,S9.3-H;2-H(UR);1-3
play,9,0,walld002,00,,NP
sub,gwynt001,"Tony Gwynn",0,9,11
play,9,0,gwynt001,11,BFX,FC4.3XH(42);1-2;B-1
play,9,0,marta001,00,,NP
sub,willw001,"Woody Williams",0,9,12
play,9,0,marta001,10,BX,7/F7
play,9,0,jackd003,10,BX,S7.2-H(UR);1-2
play,9,0,klesr001,10,BX,HR/7.2-H(UR);1-H(UR);B-H(UR)
play,9,0,nevip001,00,X,S8
play,9,0,owene001,02,CFX,S9.1-2
play,9,0,boonb002,21,BCBX,46(1)/FO.2-3
play,9,1,mearp001,00,,NP
sub,walkk001,"Kevin Walker",0,9,1
play,9,1,mearp001,10,BX,9/F9
play,9,1,ramia001,01,CX,9/F9
play,9,1,osikk001,01,FX,3/G
data,er,clemm001,4
data,er,walld002,0
data,er,walkk001,0
data,er,parrj002,5
data,er,clonb001,1
data,er,saues001,0
data,er,silvj001,1
