advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,32,1,,,,,0,6,BBBCCX,ritct001,1,0,reesp001 grounds out. ,reesp001,0,G
,22,1,,,,,1,11,CSBBX,ritct001,1,0,,cases001,0,F
,12,1,,,,,2,15,FBCS,ritct001,1,0,grifk002 strikes out. ,grifk002,0,
,12,1,,,,,3,4,BFSS,bellr003,1,0,hermc001 strikes out. ,hermc001,1,
,12,1,,,,,4,8,BSFC,bellr003,1,0,morrw001 strikes out. ,morrw001,1,
,31,1,kendj001,,,,5,13,BBFBB,bellr003,0,0,kendj001 walks. ,kendj001,1,
,11,1,kendj001,,,,6,16,BCX,bellr003,1,0,gileb002 grounds out. ,gileb002,1,G
,21,2,yound001,,,,7,19,BSBX,ritct001,0,0,yound001 singles. ,yound001,0,
,31,2,,,,taube001,8,24,CBBBS,ritct001,1,0,yound001 caught stealing. ,taube001,0,
,32,2,taube001,,,,9,31,CBBBSFB,ritct001,0,0,taube001 walks. ,taube001,0,
taube001 to 2B. ,00,2,boona001,taube001,,,10,32,X,ritct001,0,0,boona001 singles. ,boona001,0,
,10,2,,taube001,,,11,34,BX,ritct001,2,0,Double Play. ,tuckm001,0,
,22,2,,,,,12,21,BCBSX,bellr003,1,0,,younk001,1,F
,22,2,,vandj001,,,13,27,CSBFBX,bellr003,0,0,vandj001 doubles. ,vandj001,1,
,21,2,,,vandj001,mearp001,14,31,BCBC,bellr003,0,0,vandj001 steals 3B. ,mearp001,1,
,32,2,,,vandj001,,15,37,BCBCBS,bellr003,1,0,mearp001 strikes out. ,mearp001,1,
,02,2,,,vandj001,,16,40,CFS,bellr003,1,0,sojol001 strikes out. ,sojol001,1,
,01,3,,,,,17,36,CX,ritct001,1,0,castj004 grounds out. ,castj004,0,G
,22,3,,,,,18,41,BFBSC,ritct001,1,0,bellr003 strikes out. ,bellr003,0,
,02,3,,,,,19,44,SSX,ritct001,1,0,reesp001 grounds out. ,reesp001,0,G
,01,3,,,,,20,42,FX,bellr003,1,0,,ritct001,1,F
,12,3,,,,,21,46,FFBX,bellr003,1,0,,hermc001,1,F
,32,3,morrw001,,,,22,53,SBCBBFB,bellr003,0,0,morrw001 walks. ,morrw001,1,
morrw001 out. ,00,3,kendj001,,,,23,54,X,bellr003,1,0,kendj001 reaches on fielder's choice. ,kendj001,1,
,10,4,,,,,24,46,BX,ritct001,1,0,cases001 grounds out. ,cases001,0,G
,12,4,,,,,25,50,FBFX,ritct001,1,0,,grifk002,0,F
,00,4,yound001,,,,26,51,X,ritct001,0,0,yound001 singles. ,yound001,0,
,20,4,yound001,,,,27,54,BBX,ritct001,1,0,taube001 grounds out. ,taube001,0,G
,31,4,gileb002,,,,28,59,BFBBB,bellr003,0,0,gileb002 walks. ,gileb002,1,
,12,4,gileb002,,,,29,63,CCBC,bellr003,1,0,younk001 strikes out. ,younk001,1,
,11,4,,gileb002,,vandj001,30,66,BFB,bellr003,0,0,gileb002 steals 2B. ,vandj001,1,
,32,4,vandj001,gileb002,,,31,72,BFBBFB,bellr003,0,0,vandj001 walks. ,vandj001,1,
gileb002 scores. vandj001 scores. ,00,4,,mearp001,,,32,73,X,bellr003,0,2,mearp001 doubles. ,mearp001,1,
mearp001 to 3B. ,11,4,,,mearp001,,33,76,CBX,bellr003,1,0,sojol001 grounds out. ,sojol001,1,G
,32,4,,,mearp001,,34,82,SSBBBC,bellr003,1,0,ritct001 strikes out. ,ritct001,1,
,00,5,,,,,35,55,X,ritct001,1,0,,boona001,0,P
,32,5,tuckm001,,,,36,61,BBBCSB,ritct001,0,0,tuckm001 walks. ,tuckm001,0,
tuckm001 to 2B. ,00,5,castj004,tuckm001,,,37,62,X,ritct001,0,0,castj004 singles. ,castj004,0,
tuckm001 to 3B. castj004 to 2B. ,00,5,,castj004,tuckm001,,38,63,X,ritct001,1,0,Sacrifice bunt by bellr003.,bellr003,0,
,12,5,,castj004,tuckm001,,39,67,CSBX,ritct001,1,0,,reesp001,0,F
,10,5,,,,,40,84,BX,bellr003,1,0,,hermc001,1,P
,10,5,,,,,41,86,BX,bellr003,1,0,,morrw001,1,F
,20,5,kendj001,,,,42,89,BBX,bellr003,0,0,kendj001 singles. ,kendj001,1,
,10,5,kendj001,,,,43,91,BX,bellr003,1,0,,gileb002,1,F
,10,6,cases001,,,,44,69,BX,ritct001,0,0,cases001 singles. ,cases001,0,
,12,6,cases001,,,,45,73,BFCC,ritct001,1,0,grifk002 strikes out. ,grifk002,0,
cases001 to 2B. ,30,6,yound001,cases001,,,46,77,BBBB,ritct001,0,0,yound001 walks. ,yound001,0,
,12,6,yound001,cases001,,,47,81,FFBX,ritct001,1,0,,taube001,0,P
cases001 to 3B. yound001 to 2B. ,10,6,boona001,yound001,cases001,,48,83,BX,ritct001,0,0,boona001 singles. ,boona001,0,
,00,6,boona001,yound001,cases001,,49,84,X,ritct001,1,0,,tuckm001,0,F
,12,6,,,,,50,95,BCFS,bellr003,1,0,younk001 strikes out. ,younk001,1,
,00,6,,vandj001,,,51,96,X,bellr003,0,0,vandj001 doubles. ,vandj001,1,
,12,6,,vandj001,,,52,100,CBSX,bellr003,1,0,,mearp001,1,F
,30,6,sojol001,vandj001,,,53,104,IIII,bellr003,0,0,sojol001 intentionally walks. ,sojol001,1,
,22,6,sojol001,vandj001,,,54,109,BCCBX,bellr003,1,0,,ritct001,1,
,01,7,,,,,55,86,CX,ritct001,1,0,castj004 grounds out. ,castj004,0,G
,00,7,morrh001,,,,57,87,X,ritct001,0,0,morrh001 singles. ,morrh001,0,
,12,7,morrh001,,,,58,91,BFFS,ritct001,1,0,reesp001 strikes out. ,reesp001,0,
morrh001 to 2B. ,30,7,cases001,morrh001,,,59,95,BBBB,ritct001,0,0,cases001 walks. ,cases001,0,
morrh001 scores. cases001 scores. ,10,7,,,,,60,97,BX,ritct001,0,3,grifk002 homers. ,grifk002,0,
,31,7,yound001,,,,61,102,BBBCB,ritct001,0,0,yound001 walks. ,yound001,0,
,02,7,yound001,,,,63,3,CFS,saues001,1,0,taube001 strikes out. ,taube001,0,
,22,7,,,,,65,6,SSBBFX,desse001,1,0,hermc001 grounds out. ,hermc001,1,G
,00,7,morrw001,,,,66,7,X,desse001,0,0,morrw001 singles. ,morrw001,1,
morrw001 to 2B. ,02,7,kendj001,morrw001,,,67,11,CFFH,desse001,0,0,kendj001 hit by pitch. ,kendj001,1,
morrw001 to 3B. kendj001 out. ,12,7,gileb002,,morrw001,,69,4,SBCX,reyed001,1,0,gileb002 reaches on fielder's choice. ,gileb002,1,
,12,7,gileb002,,morrw001,,70,8,FSBX,reyed001,1,0,,younk001,1,F
,32,8,boona001,,,,71,11,CFBBBFFB,saues001,0,0,boona001 walks. ,boona001,0,
,02,8,boona001,,,,72,14,LCS,saues001,1,0,tuckm001 strikes out. ,tuckm001,0,
,00,8,,boona001,,castj004,74,1,C,clonb001,0,0,boona001 steals 2B. ,castj004,0,
boona001 scores. ,01,8,,,,,75,3,CX,clonb001,0,2,castj004 homers. ,castj004,0,
,02,8,,,,,77,6,CFC,clonb001,1,0,bichd001 strikes out. ,bichd001,0,
,32,8,,,reesp001,,78,12,CBFBBX,clonb001,0,0,reesp001 triples. ,reesp001,0,
,12,8,,,reesp001,,80,4,BCFC,wallj001,1,0,cases001 strikes out. ,cases001,0,
,02,8,,,,,82,3,CSS,wills002,1,0,vandj001 strikes out. ,vandj001,1,
,32,8,,,,,83,12,SSBBFBFFX,wills002,1,0,mearp001 grounds out. ,mearp001,1,G
,11,8,,,,,84,15,SBX,wills002,1,0,sojol001 grounds out. ,sojol001,1,G
,32,9,grifk002,,,,85,11,BCFBBFB,wallj001,0,0,grifk002 walks. ,grifk002,0,
grifk002 to 2B. ,00,9,,grifk002,,,86,12,X,wallj001,1,0,yound001 grounds out. ,yound001,0,G
grifk002 to 3B. ,10,9,,,grifk002,taube001,87,14,BS,wallj001,0,0,Wild Pitch. ,taube001,0,
,32,9,taube001,,grifk002,,88,20,BSFBBB,wallj001,0,0,taube001 walks. ,taube001,0,
grifk002 scores. taube001 out. ,00,9,boona001,,,,89,21,X,wallj001,1,1,boona001 reaches on fielder's choice. ,boona001,0,
boona001 to 2B. ,32,9,tuckm001,boona001,,,90,27,BBCBCB,wallj001,0,0,tuckm001 walks. ,tuckm001,0,
,10,9,tuckm001,boona001,,,91,29,BX,wallj001,1,0,,castj004,0,F
,12,9,,browa001,,,94,19,BCFX,wills002,0,0,browa001 doubles. ,browa001,1,
browa001 to 3B. ,02,9,,,browa001,hermc001,95,22,CSB,wills002,0,0,Wild Pitch. ,hermc001,1,
,12,9,,,browa001,,96,26,CSBS,wills002,1,0,hermc001 strikes out. ,hermc001,1,
,12,9,,,browa001,,97,31,CSBFS,wills002,1,0,morrw001 strikes out. ,morrw001,1,
,11,9,,,browa001,,98,34,BCX,wills002,1,0,kendj001 grounds out. ,kendj001,1,G
