id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
villr001,0,17,5,2,3,3,97,2,0,3,1,1,0,1,23,18,0,2,0,0
wohlm001,0,4,0,0,0,0,26,1,0,0,0,0,0,0,4,4,0,0,0,0
reyed001,0,3,1,1,0,0,15,0,0,1,0,0,0,1,4,1,0,1,0,0
arrob001,1,15,4,3,0,0,77,4,0,4,0,0,1,0,22,19,0,0,0,0
wilkm001,1,3,1,0,0,0,16,1,0,0,1,0,0,1,5,4,0,0,0,0
manzj001,1,2,1,1,0,0,18,0,0,1,0,0,0,0,4,3,0,0,0,0
wallj001,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
skrmm001,1,3,2,0,1,1,23,1,0,2,0,0,0,1,6,5,0,0,0,0
saues001,1,2,1,0,0,0,8,1,0,1,0,0,0,0,3,3,0,0,0,0
willm005,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0
