id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
kendj001,PIT200004040,1,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,HOU,1,1,0
mearp001,PIT200004040,2,6,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
gileb002,PIT200004040,3,9,4,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
younk001,PIT200004040,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
cordw001,PIT200004040,5,7,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
ramia001,PIT200004040,6,5,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
hermc001,PIT200004040,7,8,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
benjm001,PIT200004040,8,4,4,4,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
schmj001,PIT200004040,9,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
wilkm001,PIT200004040,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
vandj001,PIT200004040,9,11,1,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,HOU,1,1,0
silvj001,PIT200004040,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
chrij002,PIT200004040,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
avenb001,PIT200004040,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
kendj001,PIT200004050,1,2,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
mearp001,PIT200004050,2,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HOU,1,1,0
gileb002,PIT200004050,3,9,4,4,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
younk001,PIT200004050,4,3,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
cordw001,PIT200004050,5,7,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
ramia001,PIT200004050,6,5,4,3,3,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
hermc001,PIT200004050,7,8,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
benjm001,PIT200004050,8,4,4,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
bensk001,PIT200004050,9,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,HOU,1,1,0
vandj001,PIT200004050,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
saues001,PIT200004050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
wilkm001,PIT200004050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
willm005,PIT200004050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
browa001,PIT200004050,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
kendj001,PIT200004060,1,2,5,4,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,HOU,1,1,0
mearp001,PIT200004060,2,6,5,5,2,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
gileb002,PIT200004060,3,9,5,5,5,0,3,4,0,2,0,1,2,0,0,0,0,0,0,0,0,HOU,1,1,0
younk001,PIT200004060,4,3,5,4,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
cordw001,PIT200004060,5,7,5,4,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,HOU,1,1,0
morrw001,PIT200004060,6,4,5,5,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
avenb001,PIT200004060,7,8,4,4,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,HOU,1,1,0
browa001,PIT200004060,7,8,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
ramia001,PIT200004060,8,5,5,5,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,HOU,1,1,0
cordf001,PIT200004060,9,1,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
silvj001,PIT200004060,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,1,1,0
kendj001,PIT200004110,1,2,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MON,1,1,0
mearp001,PIT200004110,2,6,4,4,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
gileb002,PIT200004110,3,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
younk001,PIT200004110,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
cordw001,PIT200004110,5,7,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
morrw001,PIT200004110,6,4,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
ramia001,PIT200004110,7,5,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
hermc001,PIT200004110,8,8,3,2,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,MON,1,1,0
wilkm001,PIT200004110,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
saues001,PIT200004110,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
bensk001,PIT200004110,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,MON,1,1,0
avenb001,PIT200004110,9,8,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
kendj001,PIT200004120,1,2,4,3,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
mearp001,PIT200004120,2,6,4,4,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
gileb002,PIT200004120,3,9,4,3,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,MON,1,1,0
younk001,PIT200004120,4,3,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
cordw001,PIT200004120,5,7,4,4,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,MON,1,1,0
willm005,PIT200004120,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
morrw001,PIT200004120,6,4,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
ramia001,PIT200004120,7,5,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MON,1,1,0
hermc001,PIT200004120,8,8,4,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
cordf001,PIT200004120,9,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
petec001,PIT200004120,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
silvj001,PIT200004120,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
vandj001,PIT200004120,9,11,1,1,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,MON,1,1,0
chrij002,PIT200004120,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
browa001,PIT200004120,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
kendj001,PIT200004130,1,2,5,3,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,MON,1,1,0
mearp001,PIT200004130,2,6,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
gileb002,PIT200004130,3,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
younk001,PIT200004130,4,3,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
vandj001,PIT200004130,5,7,4,4,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
morrw001,PIT200004130,6,4,4,4,3,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
sojol001,PIT200004130,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
browa001,PIT200004130,8,8,4,4,3,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,MON,1,1,0
ritct001,PIT200004130,9,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
cordw001,PIT200004130,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
saues001,PIT200004130,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
silvj001,PIT200004130,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
avenb001,PIT200004130,9,11,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,MON,1,1,0
kendj001,PIT200004140,1,2,6,5,3,1,2,0,0,2,1,0,0,0,1,1,0,0,0,0,0,NYN,1,1,0
mearp001,PIT200004140,2,6,6,5,1,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,NYN,1,1,0
gileb002,PIT200004140,3,9,5,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NYN,1,1,0
willm005,PIT200004140,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,1,0
silvj001,PIT200004140,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,1,0
younk001,PIT200004140,4,3,6,5,2,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,NYN,1,1,0
cordw001,PIT200004140,5,7,6,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,NYN,1,1,0
morrw001,PIT200004140,6,4,6,6,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NYN,1,1,0
ramia001,PIT200004140,7,5,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,1,0
vandj001,PIT200004140,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,1,1,0
