advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,21,1,,,,,0,4,BBCX,hitcs001,1,0,,bergp001,0,P
,22,1,,blumg001,,,1,9,BCBSX,hitcs001,0,0,blumg001 doubles. ,blumg001,0,
blumg001 scores. ,32,1,,whitr001,,,2,15,CBBBFX,hitcs001,0,1,whitr001 doubles. ,whitr001,0,
,12,1,,whitr001,,,3,19,FFBX,hitcs001,1,0,guerv001 grounds out. ,guerv001,0,G
whitr001 scores. vidrj001 to 2B. ,00,1,,vidrj001,,,4,20,X,hitcs001,0,1,vidrj001 singles. ,vidrj001,0,
,22,1,,vidrj001,,,5,26,CBBFFC,hitcs001,1,0,stevl001 strikes out. ,stevl001,0,
,12,1,,,,,6,4,BCFS,irabh001,1,0,owene001 strikes out. ,owene001,1,
,00,1,marta001,,,,7,5,X,irabh001,0,0,marta001 singles. ,marta001,1,
marta001 to 2B. ,31,1,gwynt001,marta001,,,8,10,BBBCB,irabh001,0,0,gwynt001 walks. ,gwynt001,1,
,12,1,gwynt001,marta001,,,9,14,BCFS,irabh001,1,0,nevip001 strikes out. ,nevip001,1,
marta001 scores. gwynt001 to 2B. ,21,1,klesr001,gwynt001,,,10,18,BBFX,irabh001,0,1,klesr001 singles. ,klesr001,1,
gwynt001 scores. klesr001 to 2B. ,32,1,boonb002,klesr001,,,11,24,BSBFBX,irabh001,0,1,boonb002 singles. ,boonb002,1,
,12,1,boonb002,klesr001,,,12,28,FFBX,irabh001,1,0,,hernc001,1,L
,01,2,mordm001,,,,13,28,CX,hitcs001,0,0,mordm001 singles. ,mordm001,0,
,02,2,mordm001,,,,14,32,CSFX,hitcs001,1,0,,obric001,0,F
mordm001 to 2B. ,10,2,,mordm001,,,15,34,BX,hitcs001,1,0,Sacrifice bunt by irabh001.,irabh001,0,
,22,2,,mordm001,,,16,39,BBCFC,hitcs001,1,0,bergp001 strikes out. ,bergp001,0,
,21,2,,,,,17,32,BFBX,irabh001,1,0,,jackd003,1,F
,12,2,,,,,18,36,BSSX,irabh001,1,0,hitcs001 grounds out. ,hitcs001,1,G
,12,2,owene001,,,,19,41,BFFFX,irabh001,0,0,owene001 singles. ,owene001,1,
,00,2,owene001,,,,20,42,X,irabh001,1,0,marta001 grounds out. ,marta001,1,G
,31,3,,,,,21,44,BBCBX,hitcs001,1,0,blumg001 grounds out. ,blumg001,0,G
,10,3,whitr001,,,,22,46,BX,hitcs001,0,0,whitr001 singles. ,whitr001,0,
,32,3,whitr001,,,,23,52,BCSBBS,hitcs001,1,0,guerv001 strikes out. ,guerv001,0,
whitr001 out. ,22,3,vidrj001,,,,24,57,BBCCX,hitcs001,1,0,vidrj001 reaches on fielder's choice. ,vidrj001,0,
,01,3,,gwynt001,,,25,44,CX,irabh001,0,0,gwynt001 doubles. ,gwynt001,1,
gwynt001 to 3B. ,11,3,,,gwynt001,,26,47,FBX,irabh001,1,0,nevip001 grounds out. ,nevip001,1,G
gwynt001 scores. ,02,3,,,,,27,50,FSX,irabh001,1,1,klesr001 grounds out. ,klesr001,1,G
,01,3,,,,,28,52,CX,irabh001,1,0,,boonb002,1,F
,22,4,,,,,29,63,BCFBFX,hitcs001,1,0,,stevl001,0,L
,02,4,mordm001,,,,30,66,SCX,hitcs001,0,0,mordm001 reaches on error. ,mordm001,0,G
,02,4,mordm001,,,,31,69,FFS,hitcs001,1,0,obric001 strikes out. ,obric001,0,
,02,4,mordm001,,,,32,72,CFS,hitcs001,1,0,irabh001 strikes out. ,irabh001,0,
,12,4,hernc001,,,,33,56,CBFX,irabh001,0,0,hernc001 singles. ,hernc001,1,
hernc001 to 2B. ,01,4,jackd003,hernc001,,,34,58,FX,irabh001,0,0,jackd003 singles. ,jackd003,1,
,12,4,jackd003,hernc001,,,35,62,BLLS,irabh001,1,0,hitcs001 strikes out. ,hitcs001,1,
hernc001 scores. jackd003 to 3B. ,20,4,owene001,,jackd003,,36,65,BBX,irabh001,0,1,owene001 singles. ,owene001,1,
,00,4,,owene001,jackd003,marta001,37,66,B,irabh001,0,0,owene001 steals 2B. ,marta001,1,
jackd003 scores. owene001 to 3B. ,32,4,,,owene001,,38,72,BBBCSX,irabh001,1,1,marta001 hits sacrifice fly. ,marta001,1,
,10,4,,,owene001,,39,74,BX,irabh001,1,0,,gwynt001,1,F
,10,5,bergp001,,,,40,74,BX,hitcs001,0,0,bergp001 singles. ,bergp001,0,G
bergp001 to 2B. ,31,5,blumg001,bergp001,,,41,79,CBBBB,hitcs001,0,0,blumg001 walks. ,blumg001,0,
bergp001 to 3B. blumg001 to 2B. ,10,5,,blumg001,bergp001,whitr001,43,2,BB,whitm002,0,0,Wild Pitch. ,whitr001,0,
,32,5,,blumg001,bergp001,,44,8,BBBCSS,whitm002,1,0,whitr001 strikes out. ,whitr001,0,
,10,5,,blumg001,bergp001,,45,10,BX,whitm002,1,0,,guerv001,0,F
,01,5,,blumg001,bergp001,,46,12,CX,whitm002,1,0,vidrj001 grounds out. ,vidrj001,0,G
,02,5,,,,,47,77,FSX,irabh001,1,0,,nevip001,1,F
,31,5,,,,,48,82,SBBBX,irabh001,1,0,,klesr001,1,
,01,5,,,,,49,84,CX,irabh001,1,0,,boonb002,1,F
,22,6,,,,,50,17,FBBSX,whitm002,1,0,stevl001 grounds out. ,stevl001,0,G
,30,6,mordm001,,,,51,21,BBBB,whitm002,0,0,mordm001 walks. ,mordm001,0,
mordm001 to 2B. ,02,6,,mordm001,,obric001,52,24,CFN,whitm002,0,0,Balk. ,obric001,0,
,02,6,,mordm001,,,53,27,CFX,whitm002,1,0,,obric001,0,P
,31,6,,mordm001,,,55,32,BBBCX,whitm002,1,0,,traca001,0,F
,11,6,,,,,57,3,BSX,liraf001,1,0,,hernc001,1,P
,32,6,,,,,58,9,BBCBFX,liraf001,1,0,jackd003 grounds out. ,jackd003,1,G
,10,6,,,,,60,11,BX,liraf001,1,0,,dehak001,1,F
,22,7,,,,,62,5,BFFBX,walkk001,1,0,,bergp001,0,F
,00,7,,,,,63,6,X,walkk001,1,0,,blumg001,0,
,32,7,,,,,64,13,CCBBFBX,walkk001,1,0,whitr001 grounds out. ,whitr001,0,G
,20,7,,,,,65,14,BBX,liraf001,1,0,owene001 grounds out. ,owene001,1,G
,21,7,,,,,66,18,BSBX,liraf001,1,0,,marta001,1,F
,00,7,,gwynt001,,,67,19,X,liraf001,0,0,gwynt001 doubles. ,gwynt001,1,
,01,7,,river002,,,69,21,SX,liraf001,1,0,nevip001 grounds out. ,nevip001,1,G
,00,8,,,,,72,14,X,walkk001,1,0,guerv001 grounds out. ,guerv001,0,G
,12,8,,,,,73,20,CBFFFX,walkk001,1,0,vidrj001 grounds out. ,vidrj001,0,G
,31,8,,,,,74,25,BCBBX,walkk001,1,0,stevl001 grounds out. ,stevl001,0,G
,21,8,klesr001,,,,78,4,BBCX,johnm002,0,0,klesr001 singles. ,klesr001,1,
,11,8,,klesr001,,boonb002,79,7,BCB,johnm002,0,0,klesr001 steals 2B. ,boonb002,1,
,21,8,,klesr001,,,80,11,BCBX,johnm002,1,0,,boonb002,1,F
klesr001 to 3B. ,01,8,,,klesr001,,81,13,CX,johnm002,1,0,,hernc001,1,F
,31,8,jackd003,,klesr001,,82,18,CBBBB,johnm002,0,0,jackd003 walks. ,jackd003,1,
,00,8,,jackd003,klesr001,magad001,84,19,B,johnm002,0,0,jackd003 steals 2B. ,magad001,1,
klesr001 scores. jackd003 out. ,20,8,magad001,,,,85,22,BBX,johnm002,1,1,magad001 singles. ,magad001,1,
,21,9,mordm001,,,,87,4,CBBX,boehb001,0,0,mordm001 reaches on error. ,mordm001,0,
mordm001 out. ,00,9,guerw001,,,,88,5,X,boehb001,1,0,guerw001 reaches on fielder's choice. ,guerw001,0,
,11,9,guerw001,,,,89,8,SBX,boehb001,1,0,,schnb001,0,F
guerw001 out. ,00,9,bergp001,,,,90,9,X,boehb001,1,0,bergp001 reaches on fielder's choice. ,bergp001,0,
