id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
reesp001,0,1,4,4,4,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
larkb001,0,2,6,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
grifk002,0,3,8,4,2,1,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
bichd001,0,4,9,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
yound001,0,5,7,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cases001,0,6,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
wills002,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boona001,0,7,5,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
santb001,0,8,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taube001,0,8,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
villr001,0,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tuckm001,0,9,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
owene001,1,1,9,4,4,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
marta001,1,2,7,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
sprae001,1,3,3,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
nevip001,1,4,5,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
boonb002,1,5,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hernc001,1,6,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
river002,1,7,8,3,3,2,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0
jackd003,1,8,6,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eatoa001,1,9,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
walkk001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gomec001,1,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gwynt001,1,9,11,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
dehak001,1,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hofft001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
