id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
washj001,0,18,6,1,4,4,94,7,3,3,0,0,0,0,24,23,0,0,0,0
fyhrm001,0,4,3,1,0,0,31,0,0,2,1,0,0,0,8,7,0,0,0,1
holtm001,0,2,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0
perct001,0,3,1,2,1,1,26,1,0,0,1,0,0,1,7,2,0,1,1,0
levia001,0,2,1,2,1,0,26,1,0,0,1,0,0,0,6,4,0,0,0,2
eatoa001,1,19,8,2,1,1,100,7,0,6,1,1,0,0,28,26,0,0,0,0
walkk001,1,2,0,0,0,0,8,0,0,0,0,0,0,0,2,2,0,0,0,0
erdot001,1,3,1,0,0,0,15,1,0,1,0,0,0,0,4,4,0,0,0,0
hofft001,1,3,4,0,4,4,22,2,1,1,1,1,0,0,7,7,0,0,0,0
walld002,1,3,0,1,0,0,19,0,0,0,0,0,0,0,4,3,0,0,0,0
