id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
marta001,PIT200004250,1,7,5,5,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
jackd003,PIT200004250,2,6,5,5,2,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
gwynt001,PIT200004250,3,9,4,4,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hofft001,PIT200004250,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
sprae001,PIT200004250,3,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
nevip001,PIT200004250,4,5,5,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
klesr001,PIT200004250,5,3,5,4,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,PIT,0,1,0
almac001,PIT200004250,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
boonb002,PIT200004250,6,4,5,5,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
owene001,PIT200004250,7,8,5,5,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,PIT,0,1,0
hernc001,PIT200004250,8,2,5,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,PIT,0,1,0
hitcs001,PIT200004250,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
newhd001,PIT200004250,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
whism001,PIT200004250,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
walld002,PIT200004250,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
dehak001,PIT200004250,9,11,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
marta001,PIT200004260,1,7,5,4,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,PIT,0,1,0
jackd003,PIT200004260,2,6,5,5,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,PIT,0,1,0
gwynt001,PIT200004260,3,9,5,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
nevip001,PIT200004260,4,5,5,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
sprae001,PIT200004260,5,3,4,4,3,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
klesr001,PIT200004260,5,11,1,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
boonb002,PIT200004260,6,4,5,4,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
owene001,PIT200004260,7,8,5,5,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
gonzw001,PIT200004260,8,2,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
willw001,PIT200004260,9,1,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
cunnw001,PIT200004260,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
newhd001,PIT200004260,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hernc001,PIT200004260,9,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,PIT,0,1,0
palav001,PIT200004260,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
whism001,PIT200004260,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
marta001,PIT200004270,1,7,6,4,1,2,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,PIT,0,1,0
jackd003,PIT200004270,2,6,6,5,3,1,2,4,1,2,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
klesr001,PIT200004270,3,3,6,3,1,3,1,3,0,0,0,0,1,0,1,0,1,0,0,0,0,PIT,0,1,0
nevip001,PIT200004270,4,5,6,6,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
owene001,PIT200004270,5,8,6,5,2,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,PIT,0,1,0
boonb002,PIT200004270,6,4,6,6,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hernc001,PIT200004270,7,2,5,4,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
dehak001,PIT200004270,8,9,5,4,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
clemm001,PIT200004270,9,1,3,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,PIT,0,1,0
gomec001,PIT200004270,9,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
walld002,PIT200004270,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
gwynt001,PIT200004270,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
