id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
hitcs001,PIT200004250,18,6,3,1,0,106,5,0,5,1,0,0,0,28,25,0,0,0,0,PIT,0,1,1
whism001,PIT200004250,3,0,1,1,1,21,1,0,0,0,0,2,0,4,2,0,0,1,0,PIT,0,1,0
walld002,PIT200004250,3,0,0,0,0,14,1,0,0,0,0,0,0,4,3,0,1,0,0,PIT,0,1,0
hofft001,PIT200004250,3,1,0,1,0,20,0,0,0,1,0,0,0,5,5,0,0,0,0,PIT,0,1,0
almac001,PIT200004250,4,2,0,1,1,19,0,0,1,0,1,0,0,6,6,0,0,0,0,PIT,0,1,0
willw001,PIT200004260,15,11,1,8,8,85,4,3,6,2,0,0,0,25,24,0,0,0,0,PIT,0,1,1
cunnw001,PIT200004260,6,0,1,0,0,27,3,0,0,0,0,0,0,7,6,0,0,0,0,PIT,0,1,0
palav001,PIT200004260,4,0,0,0,0,15,2,0,0,0,0,0,0,4,4,0,0,0,0,PIT,0,1,0
whism001,PIT200004260,1,1,2,1,1,19,0,0,1,0,0,0,0,4,2,0,0,0,1,PIT,0,1,0
clemm001,PIT200004270,18,3,3,4,4,99,5,1,2,0,0,1,1,25,21,0,0,0,0,PIT,0,1,1
walld002,PIT200004270,6,1,0,0,0,25,1,0,1,0,0,0,0,7,7,0,0,0,0,PIT,0,1,0
walkk001,PIT200004270,3,0,0,0,0,6,0,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
clemm001,PIT200007280,10,6,4,10,9,84,4,2,2,2,0,0,0,21,16,0,1,0,0,PIT,0,1,1
whitm002,PIT200007280,5,4,0,3,3,30,2,1,2,1,0,1,0,9,9,0,0,0,0,PIT,0,1,0
almac001,PIT200007280,6,3,0,2,2,30,1,1,1,1,0,0,0,8,8,0,0,0,0,PIT,0,1,0
erdot001,PIT200007280,3,1,0,1,1,16,0,0,1,0,0,1,2,6,3,0,0,1,0,PIT,0,1,0
tollb001,PIT200007290,12,12,0,8,7,87,3,2,7,3,0,0,0,23,23,0,0,0,0,PIT,0,1,1
almac001,PIT200007290,6,0,0,0,0,32,1,0,0,0,0,0,0,6,6,0,0,0,0,PIT,0,1,0
erdot001,PIT200007290,3,3,1,2,2,22,0,0,3,0,0,0,0,7,6,0,0,0,0,PIT,0,1,0
walkk001,PIT200007290,3,1,1,0,0,21,2,0,1,0,0,0,0,5,4,0,0,0,0,PIT,0,1,0
meadb001,PIT200007300,16,11,3,8,8,102,1,2,5,4,0,0,1,31,27,0,0,0,2,PIT,0,1,1
whitm002,PIT200007300,5,0,1,0,0,22,0,0,0,0,0,0,0,6,5,0,0,0,0,PIT,0,1,0
walkk001,PIT200007300,1,2,0,0,0,12,0,0,2,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
walld002,PIT200007300,2,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,PIT,0,1,0
hofft001,PIT200007300,3,0,0,0,0,6,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
meadb001,LAN200006260,22,6,3,3,3,120,5,2,3,1,0,0,0,31,27,0,0,1,0,LAN,0,1,1
whitm002,LAN200006260,2,0,0,0,0,7,1,0,0,0,0,0,0,2,2,0,0,0,0,LAN,0,1,0
almac001,LAN200006260,3,1,3,2,2,29,1,0,0,1,0,0,0,7,4,0,0,0,0,LAN,0,1,0
cunnw001,LAN200006270,18,5,2,2,2,100,1,1,3,1,0,0,0,24,22,0,0,0,0,LAN,0,1,1
reyec001,LAN200006270,5,1,0,1,1,25,0,1,0,0,0,0,0,6,6,0,0,0,0,LAN,0,1,0
walkk001,LAN200006270,0,1,0,0,0,4,0,0,1,0,0,0,0,1,1,0,0,0,0,LAN,0,1,0
hofft001,LAN200006270,4,1,0,1,1,16,0,1,0,0,0,0,0,5,5,0,0,0,0,LAN,0,1,0
whitm002,LAN200006270,2,2,1,1,1,15,0,0,1,1,0,0,0,5,4,0,0,0,1,LAN,0,1,0
eatoa001,LAN200006280,21,5,4,4,4,125,5,2,3,0,0,0,0,29,25,0,0,0,0,LAN,0,1,1
monts001,LAN200006280,4,1,1,1,1,16,0,0,1,0,0,0,0,6,5,0,0,0,0,LAN,0,1,0
walkk001,LAN200006280,1,1,0,0,0,9,0,0,1,0,0,0,0,2,2,0,0,0,0,LAN,0,1,0
clemm001,LAN200006290,18,5,6,4,4,120,6,0,3,1,1,1,0,27,20,0,0,1,0,LAN,0,1,1
reyec001,LAN200006290,2,0,1,0,0,12,0,0,0,0,0,0,0,3,2,1,0,0,0,LAN,0,1,0
walkk001,LAN200006290,1,1,1,0,0,20,0,0,1,0,0,0,0,3,2,0,0,0,0,LAN,0,1,0
whitm002,LAN200006290,3,0,1,0,0,15,2,0,0,0,0,0,0,4,2,0,1,0,0,LAN,0,1,0
hofft001,LAN200006290,3,0,1,0,0,18,1,0,0,0,0,0,0,4,3,0,0,0,0,LAN,0,1,0
witaj001,LAN200009220,9,2,1,1,1,46,4,1,1,0,0,0,1,13,10,0,1,0,0,LAN,0,1,1
almac001,LAN200009220,6,2,1,0,0,26,1,0,2,0,0,0,0,9,8,0,0,0,0,LAN,0,1,0
maurd001,LAN200009220,3,1,1,1,1,20,2,0,0,1,0,0,0,5,4,0,0,0,0,LAN,0,1,0
davet001,LAN200009220,5,3,0,0,0,22,0,0,3,0,0,0,0,7,7,0,0,0,0,LAN,0,1,0
walkk001,LAN200009220,1,0,0,0,0,6,1,0,0,0,0,0,0,1,1,0,0,0,0,LAN,0,1,0
hofft001,LAN200009220,3,0,0,0,0,12,0,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
willw001,LAN200009230,24,5,1,2,0,119,9,0,5,0,0,0,0,30,29,0,0,0,0,LAN,0,1,1
clemm001,LAN200009240,21,3,3,1,1,102,7,0,2,1,0,1,0,25,22,0,0,0,1,LAN,0,1,1
walkk001,LAN200009240,3,0,1,0,0,14,1,0,0,0,0,0,0,3,2,0,0,0,0,LAN,0,1,0
clemm001,CHN200008280,22,3,6,2,2,111,3,0,2,1,0,1,0,31,25,0,0,0,0,CHN,0,1,1
walld002,CHN200008280,2,0,1,0,0,12,1,0,0,0,0,0,0,3,2,0,0,0,0,CHN,0,1,0
sloch001,CHN200008280,3,0,1,0,0,19,0,0,0,0,0,0,0,4,3,0,0,0,0,CHN,0,1,0
eatoa001,CHN200008290,12,7,4,5,5,97,3,0,5,2,0,0,0,23,19,0,0,0,0,CHN,0,1,1
almac001,CHN200008290,3,0,0,0,0,10,0,0,0,0,0,0,0,4,3,0,0,1,0,CHN,0,1,0
erdot001,CHN200008290,6,1,3,1,1,44,1,0,1,0,0,0,0,10,6,0,0,1,0,CHN,0,1,0
sloch001,CHN200008290,6,1,0,0,0,23,1,0,0,1,0,0,0,7,7,0,0,0,0,CHN,0,1,0
walkk001,CHN200008290,6,0,1,0,0,35,4,0,0,0,0,0,0,7,6,0,0,0,0,CHN,0,1,0
walld002,CHN200008290,3,0,0,0,0,12,1,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
