id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
eldrc001,0,17,5,7,3,3,119,9,1,4,0,0,1,0,29,22,0,0,0,0
lowes001,0,1,0,0,0,0,7,0,0,0,0,0,0,0,2,2,0,0,0,0
wunsk001,0,1,1,1,0,0,14,0,0,1,0,0,0,0,3,2,0,0,0,0
howrb001,0,5,0,2,0,0,27,0,0,0,0,0,0,0,7,5,0,0,0,0
foulk001,0,3,0,1,0,0,12,0,0,0,0,0,0,0,4,3,0,0,0,0
selea001,1,19,3,2,3,3,91,4,1,2,0,0,1,1,26,23,0,0,0,0
rhoda001,1,3,1,0,0,0,5,0,0,1,0,0,0,0,3,3,0,0,0,0
hodgk001,1,1,1,0,0,0,4,0,0,1,0,0,0,0,2,2,0,0,0,0
ramsr001,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
sasak001,1,3,1,0,1,0,13,2,0,0,1,0,0,0,5,5,0,0,0,0
