id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
owene001,0,1,9,5,4,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
marta001,0,2,7,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gwynt001,0,3,10,4,4,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
nevip001,0,4,5,4,4,2,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0
sprae001,0,5,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boonb002,0,6,4,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
river002,0,7,8,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
magad001,0,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hernc001,0,8,2,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
jackd003,0,9,6,3,3,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
klesr001,0,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hendr001,1,1,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ibanr001,1,1,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camem001,1,2,8,5,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
rodra001,1,3,6,5,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
marte001,1,4,10,5,5,2,0,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0
olerj001,1,5,3,5,4,2,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
buhnj001,1,6,9,4,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belld002,1,7,5,4,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
wilsd001,1,8,2,4,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
mclem001,1,9,4,4,3,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
