version,2
info,visteam,CLE
info,hometeam,SEA
info,site,SEA03
info,date,2000/08/13
info,number,0
info,starttime,1:35PM
info,daynight,day
info,usedh,true
info,umphome,welkb901
info,ump1b,culbf901
info,ump2b,froeb901
info,ump3b,wintm901
info,pitches,pitches
info,temp,62
info,winddir,fromlf
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,203
info,attendance,45380
info,wp,speij001
info,lp,garcf002
info,save,
start,loftk001,"Kenny Lofton",0,1,8
start,vizqo001,"Omar Vizquel",0,2,6
start,alomr001,"Roberto Alomar",0,3,4
start,ramim002,"Manny Ramirez",0,4,10
start,thomj002,"Jim Thome",0,5,3
start,cordw001,"Wil Cordero",0,6,7
start,frymt001,"Travis Fryman",0,7,5
start,selbb001,"Bill Selby",0,8,9
start,aloms001,"Sandy Alomar",0,9,2
start,woods001,"Steve Woodard",0,0,1
start,hendr001,"Rickey Henderson",1,1,7
start,marta001,"Al Martin",1,2,8
start,rodra001,"Alex Rodriguez",1,3,6
start,marte001,"Edgar Martinez",1,4,10
start,olerj001,"John Olerud",1,5,3
start,buhnj001,"Jay Buhner",1,6,9
start,guilc001,"Carlos Guillen",1,7,5
start,olivj001,"Joe Oliver",1,8,2
start,mclem001,"Mark McLemore",1,9,4
start,garcf002,"Freddy An. Garcia",1,0,1
play,1,0,loftk001,32,BFBBFFX,E5/G
play,1,0,vizqo001,22,BBCCFS,K
play,1,0,alomr001,31,BBBCB,W.1-2
play,1,0,ramim002,00,X,8/F8D.2-H(E8)(UR);1-3
play,1,0,thomj002,30,BBBI,IW
play,1,0,cordw001,11,CBX,64(1)/FO
play,1,1,hendr001,32,CBCBFBX,8/F8
play,1,1,marta001,22,FSBBS,K
play,1,1,rodra001,12,CCBX,S9
play,1,1,marte001,22,CBBFFS,K
play,2,0,frymt001,00,X,63/G
play,2,0,selbb001,22,BCBSX,4/L4
play,2,0,aloms001,12,BFCX,13/G
play,2,1,olerj001,12,CBCFX,8/F8
play,2,1,buhnj001,12,SBFX,43/G
play,2,1,guilc001,12,SSBX,3/G
play,3,0,loftk001,10,BX,7/F7
play,3,0,vizqo001,20,BBX,5/FL
play,3,0,alomr001,12,CFBX,S7
play,3,0,ramim002,00,X,54(1)/FO
play,3,1,olivj001,32,BBBCFX,HR/7
play,3,1,mclem001,02,CSC,K/C
play,3,1,hendr001,22,SFBBX,53/G
play,3,1,marta001,00,X,T9
play,3,1,rodra001,22,BBCFH,HP
play,3,1,marte001,12,CBFFX,S7.3-H;1-3
play,3,1,olerj001,12,CFBB,SB2
play,3,1,olerj001,32,CFBBBS,K
play,4,0,thomj002,10,BX,S8
