advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,32,1,longt002,,,,0,7,BBCFBFB,garcf002,0,0,longt002 walks. ,longt002,0,
longt002 to 2B. ,11,1,velar001,longt002,,,1,10,BCX,garcf002,0,0,velar001 singles. ,velar001,0,
,12,1,velar001,longt002,,,2,14,CFBS,garcf002,1,0,giamj001 strikes out. ,giamj001,0,
longt002 scores. velar001 to 2B. ,00,1,staim001,velar001,,,3,15,X,garcf002,0,1,staim001 singles. ,staim001,0,
velar001 to 3B. staim001 to 2B. ,30,1,grieb001,staim001,velar001,,4,19,BBBB,garcf002,0,0,grieb001 walks. ,grieb001,0,
,32,1,grieb001,staim001,velar001,,5,29,FFBBFFFFBX,garcf002,1,0,,tejam001,0,F
velar001 scores. staim001 scores. grieb001 to 2B. ,12,1,chave001,grieb001,,,6,35,FFFFBX,garcf002,0,2,chave001 singles. ,chave001,0,
grieb001 to 3B. chave001 to 2B. ,10,1,,chave001,grieb001,giamj002,7,37,B1,garcf002,0,0,Pickoff error. ,giamj002,0,
grieb001 scores. chave001 scores. ,21,1,giamj002,,,,8,42,B1BFX,garcf002,0,2,giamj002 singles. ,giamj002,0,
,12,1,giamj002,,,,9,46,CBFS,garcf002,1,0,hernr002 strikes out. ,hernr002,0,
,22,1,,,,,10,6,CBFFBC,olivo001,1,0,mclem001 strikes out. ,mclem001,1,
,01,1,,,,,11,8,CX,olivo001,1,0,,javis001,1,F
,22,1,,,,,12,13,CBFBX,olivo001,1,0,rodra001 grounds out. ,rodra001,1,G
,21,2,,,,,13,50,BCBX,garcf002,1,0,longt002 grounds out. ,longt002,0,G
,21,2,,,,,14,54,BCBX,garcf002,1,0,,velar001,0,L
,32,2,giamj001,,,,15,61,SBFFBBB,garcf002,0,0,giamj001 walks. ,giamj001,0,
,12,2,giamj001,,,,16,65,BSSS,garcf002,1,0,staim001 strikes out. ,staim001,0,
,32,2,marte001,,,,17,20,BCBSFBB,olivo001,0,0,marte001 walks. ,marte001,1,
