id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
hendr001,CHA200010030,1,7,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CHA,0,3,0
javis001,CHA200010030,1,11,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,3,0
camem001,CHA200010030,2,8,5,4,2,0,2,1,0,2,0,0,0,1,1,0,0,1,0,0,0,CHA,0,3,0
rodra001,CHA200010030,3,6,5,5,3,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,CHA,0,3,0
marte001,CHA200010030,4,10,5,5,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,CHA,0,3,0
olerj001,CHA200010030,5,3,5,5,1,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,CHA,0,3,0
buhnj001,CHA200010030,6,9,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,3,0
ibanr001,CHA200010030,6,12,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CHA,0,3,0
belld002,CHA200010030,7,5,5,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,CHA,0,3,0
olivj001,CHA200010030,8,2,2,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,CHA,0,3,0
marta001,CHA200010030,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,3,0
wilsd001,CHA200010030,8,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,3,0
mclem001,CHA200010030,9,4,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CHA,0,3,0
hendr001,CHA200010040,1,7,3,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,CHA,0,3,0
ibanr001,CHA200010040,1,7,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CHA,0,3,0
camem001,CHA200010040,2,8,5,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,CHA,0,3,0
rodra001,CHA200010040,3,6,5,5,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,CHA,0,3,0
marte001,CHA200010040,4,10,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,CHA,0,3,0
olerj001,CHA200010040,5,3,4,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,CHA,0,3,0
buhnj001,CHA200010040,6,9,4,4,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,CHA,0,3,0
olivj001,CHA200010040,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,3,0
belld002,CHA200010040,7,5,4,4,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,CHA,0,3,0
wilsd001,CHA200010040,8,2,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CHA,0,3,0
javis001,CHA200010040,8,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,3,0
mclem001,CHA200010040,9,4,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,0,3,0
camem001,SEA200010060,1,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,1,3,0
ibanr001,SEA200010060,2,9,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CHA,1,3,0
rodra001,SEA200010060,3,6,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CHA,1,3,0
marte001,SEA200010060,4,10,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,CHA,1,3,0
olerj001,SEA200010060,5,3,4,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CHA,1,3,0
hendr001,SEA200010060,5,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHA,1,3,0
javis001,SEA200010060,6,7,4,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,CHA,1,3,0
belld002,SEA200010060,7,5,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CHA,1,3,0
olivj001,SEA200010060,8,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CHA,1,3,0
guilc001,SEA200010060,8,11,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,CHA,1,3,0
mclem001,SEA200010060,9,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CHA,1,3,0
hendr001,NYA200010100,1,7,3,2,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,NYA,0,4,0
ibanr001,NYA200010100,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
camem001,NYA200010100,2,8,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
rodra001,NYA200010100,3,6,4,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,NYA,0,4,0
marte001,NYA200010100,4,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
olerj001,NYA200010100,5,3,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
buhnj001,NYA200010100,6,9,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
gipsc001,NYA200010100,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
olivj001,NYA200010100,7,2,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
belld002,NYA200010100,8,5,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
mclem001,NYA200010100,9,4,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
camem001,NYA200010110,1,8,4,3,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,NYA,0,4,0
javis001,NYA200010110,2,9,4,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
rodra001,NYA200010110,3,6,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
marte001,NYA200010110,4,10,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
olerj001,NYA200010110,5,3,4,4,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,NYA,0,4,0
marta001,NYA200010110,6,7,4,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NYA,0,4,0
belld002,NYA200010110,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
wilsd001,NYA200010110,8,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
ibanr001,NYA200010110,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
mclem001,NYA200010110,9,4,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
hendr001,SEA200010130,1,7,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
camem001,SEA200010130,2,8,4,4,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
rodra001,SEA200010130,3,6,4,4,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,NYA,1,4,0
marte001,SEA200010130,4,10,4,4,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
buhnj001,SEA200010130,5,9,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
javis001,SEA200010130,5,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
olerj001,SEA200010130,6,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
belld002,SEA200010130,7,5,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
marta001,SEA200010130,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
olivj001,SEA200010130,8,2,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NYA,1,4,0
ibanr001,SEA200010130,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
mclem001,SEA200010130,9,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NYA,1,4,0
javis001,SEA200010140,1,9,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
marta001,SEA200010140,2,7,4,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
rodra001,SEA200010140,3,6,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
marte001,SEA200010140,4,10,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
olerj001,SEA200010140,5,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
camem001,SEA200010140,6,8,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
guilc001,SEA200010140,7,5,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
belld002,SEA200010140,8,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
wilsd001,SEA200010140,9,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
ibanr001,SEA200010140,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
olivj001,SEA200010140,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
hendr001,SEA200010150,1,7,4,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
ibanr001,SEA200010150,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
camem001,SEA200010150,2,8,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NYA,1,4,0
rodra001,SEA200010150,3,6,4,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
marte001,SEA200010150,4,10,4,3,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,NYA,1,4,0
olerj001,SEA200010150,5,3,4,3,2,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,1,NYA,1,4,0
buhnj001,SEA200010150,6,9,4,4,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
gipsc001,SEA200010150,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
belld002,SEA200010150,7,5,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
wilsd001,SEA200010150,8,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
mclem001,SEA200010150,9,4,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NYA,1,4,0
javis001,NYA200010170,1,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
marta001,NYA200010170,2,7,4,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
camem001,NYA200010170,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
rodra001,NYA200010170,3,6,5,5,4,0,2,2,1,1,2,0,1,0,0,0,0,0,0,0,0,NYA,0,4,0
marte001,NYA200010170,4,10,5,4,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
olerj001,NYA200010170,5,3,4,3,2,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,NYA,0,4,0
ibanr001,NYA200010170,6,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYA,0,4,0
